artist_id	name	genres	num_hits	num_collab_hits
5abSRg0xN1NV3gLbuvX24M	Amr Diab	['arab pop', 'belly dance', 'egyptian pop', 'persian pop', 'rif']	23	2
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	21	12
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	9	8
7jVv8c5Fj3E9VhNjxT4snq	Lil Nas X	['lgbtq+ hip hop']	7	3
6KImCVD70vtIoJWnq6nGn3	Harry Styles	['pop']	7	0
56chSp36PsMhpQvUn1kdR3	Marwan Pablo	['egyptian hip hop', 'egyptian trap']	6	1
4nDoRrQiYLoBzwC5BhVJzF	Camila Cabello	['dance pop', 'pop']	6	3
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	5	2
7A8S43ryYdbWpJKeHRZRcq	JACKBOYS	['pop rap']	5	4
4BKC2HOGEqtYz2Xbgp9N1q	Wegz	['egyptian hip hop', 'egyptian trap']	5	0
26VFTg2z8YR0cCuwLzESi2	Halsey	['electropop', 'etherpop', 'indie poptimism', 'pop']	5	3
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	4	3
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	4	0
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	4	2
054D7n62qxjhkfcBZhdRSI	Hamo Bika	['egyptian pop', 'mahraganat', 'shaabi']	4	3
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	4	3
4CflzQprp6nZxKiv0t78tH	Mohamed Ramadan	['egyptian pop', 'mahraganat']	4	2
4gzpq5DPGxSnKTe4SA8HAU	Coldplay	['permanent wave', 'pop']	4	0
7MGFOSQK8O3im8YslR3DLB	Mahmoud El Esseily	['arab pop', 'egyptian pop']	3	0
2Wk167T0fY1fABsHM5qFcI	Sherine	['arab pop', 'egyptian pop']	3	0
5f7VJjfbwm532GiveGC0ZK	Lil Baby	['atl hip hop', 'atl trap', 'rap', 'trap']	3	3
7vk5e3vY1uw9plTHJAMwjN	Alan Walker	['electro house']	3	3
2ZATvtiwzp5pt0ACzi4sxa	shaftee pa	[]	3	0
147CSVEqbtAs61RiDlLW7N	Figo Eld5lawe	['mahraganat']	3	1
5rCq30EbJ3DfZPKybGZj8F	Tamer Ashour	['arab pop', 'egyptian pop']	3	0
4Ga1P7PMIsmqEZqhYZQgDo	Lil Tecca	['melodic rap', 'pluggnb', 'rap']	3	0
4Gso3d4CscCijv0lmajZWs	Don Toliver	['rap', 'trap']	3	2
4r63FhuTkUYltbVAg5TQnk	DaBaby	['hip hop', 'north carolina hip hop', 'rap', 'trap']	3	3
5ZsFI1h6hIdQRw2ti0hz81	ZAYN	['pop', 'uk pop']	3	3
0C8ZW7ezQVs4URX5aX7Kqx	Selena Gomez	['pop', 'post-teen pop']	3	1
2BBnFUgIaLHqoRYPfshoPb	Marwan Moussa	['egyptian hip hop', 'egyptian trap']	3	0
1zNqQNIdeOUZHb8zbZRFMX	Swae Lee	['melodic rap', 'rap', 'trap']	3	3
3KwmxIhSe9UTSEF37kwngR	SHAED	['electropop']	3	2
50co4Is1HCEo8bhOyUWKpn	Young Thug	['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']	3	3
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	3	3
41g2nSmocqVLuYnmndxefu	Ahmed Kamel	['egyptian pop']	3	0
4rTv3Ejc7hKMtmoBOK1B4T	Ali Gatie	['canadian hip hop']	3	0
64KEffDW9EtZ1y2vBYgq8T	Marshmello	['brostep', 'edm', 'pop', 'progressive electro house']	3	3
4o6vIkdmHiEXZOesrJj3KO	Abyusif	['egyptian hip hop', 'egyptian pop', 'egyptian trap']	3	1
6bb9VI1PpPTEmdgcgjTppX	Mohamed Hamaki	['arab pop', 'egyptian pop']	3	0
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	2	0
53XhwfbYqKCa1cC15pYq2q	Imagine Dragons	['modern rock', 'pop', 'rock']	2	0
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	2	2
6cEuCEZu7PAE9ZSzLLc2oQ	R3HAB	['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']	2	2
74KM79TiuVKeVCqs8QtB0B	Sabrina Carpenter	['pop']	2	2
329e4yvIujISKGKz1BZZbO	Farruko	['reggaeton', 'trap latino', 'urbano latino']	2	2
