artist_id	name	genres	years_on_charts	num_hits	num_collab_hits
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	[2019, 2020, 2021, 2022]	90	13
4BKC2HOGEqtYz2Xbgp9N1q	Wegz	['egyptian hip hop', 'egyptian trap']	[2019, 2020, 2021, 2022]	62	20
4o6vIkdmHiEXZOesrJj3KO	Abyusif	['egyptian hip hop', 'egyptian pop', 'egyptian trap']	[2019, 2020, 2021, 2022]	60	20
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	[2019, 2020, 2021, 2022]	59	14
5abSRg0xN1NV3gLbuvX24M	Amr Diab	['arab pop', 'belly dance', 'egyptian pop', 'persian pop', 'rif']	[2019, 2020, 2021, 2022]	58	7
2BBnFUgIaLHqoRYPfshoPb	Marwan Moussa	['egyptian hip hop', 'egyptian trap']	[2019, 2020, 2021, 2022]	50	11
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	[2019, 2020, 2021]	44	30
6bb9VI1PpPTEmdgcgjTppX	Mohamed Hamaki	['arab pop', 'egyptian pop']	[2019, 2020, 2021, 2022]	40	1
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	[2019, 2020, 2021]	37	18
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	[2019, 2020, 2021]	34	25
56chSp36PsMhpQvUn1kdR3	Marwan Pablo	['egyptian hip hop', 'egyptian trap']	[2019, 2020, 2021, 2022]	33	10
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	[2019, 2020, 2021, 2022]	33	4
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	[2019, 2020, 2021]	32	16
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	[2020, 2021]	31	4
1nzgtKYFckznkcVMR3Gg4z	KSI	['uk hip hop']	[2019, 2020, 2021]	31	20
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	[2019, 2020, 2021]	30	14
2H6XYL9D5Z3ErkxCD0gmD6	Abo El Anwar	['egyptian hip hop', 'egyptian trap']	[2019, 2020, 2021, 2022]	29	14
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	[2019, 2020, 2021, 2022]	28	3
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	[2019, 2020, 2021, 2022]	26	16
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	[2019, 2020, 2021, 2022]	25	20
6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	['dance pop', 'pop', 'uk pop']	[2019, 2020, 2021, 2022]	24	12
57UiSuUcw9m0MV4bC2DukM	Molotof	['egyptian hip hop', 'egyptian trap']	[2020, 2021, 2022]	23	20
7yBuSjd5Z3w7acodk51evR	Afroto	['egyptian hip hop', 'egyptian trap']	[2019, 2020, 2021, 2022]	22	13
62IUrFqq28x2SbRdzm9sQt	Hassan Shakosh	['mahraganat']	[2019, 2020, 2021, 2022]	21	20
0C8ZW7ezQVs4URX5aX7Kqx	Selena Gomez	['pop', 'post-teen pop']	[2019, 2020, 2021]	21	8
26VFTg2z8YR0cCuwLzESi2	Halsey	['electropop', 'etherpop', 'indie poptimism', 'pop']	[2019, 2020, 2021]	19	8
5cj0lLjcoR7YOSnhnX0Po5	Doja Cat	['dance pop', 'pop']	[2020, 2021, 2022]	18	10
