artist_id	name	genres	years_on_charts	num_hits	num_collab_hits
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	[2017, 2018, 2019, 2020, 2021, 2022]	118	59
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	98	49
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	[2017, 2018, 2019, 2020, 2021, 2022]	95	45
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	[2018, 2019, 2020, 2021, 2022]	95	39
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	89	38
3MaQwUQBigrjcMYHk8bDKm	Pyhimys	['finnish dance pop', 'finnish hip hop', 'finnish pop', 'suomi rock']	[2017, 2018, 2019, 2020, 2021, 2022]	85	53
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	84	45
55mdlQp6zN8zdyIYB9DDQj	JVG	['finnish dance pop', 'finnish hip hop', 'finnish pop', 'finnish trap']	[2017, 2018, 2019, 2020, 2021, 2022]	82	45
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	[2017, 2018, 2019, 2020, 2021, 2022]	79	31
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	78	16
56fNXc6wRoO6rkxs0mNtL4	Kube	['finnish hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	78	41
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	78	54
1Cs0zKBU1kc0i8ypK3B9ai	David Guetta	['big room', 'dance pop', 'edm', 'pop', 'pop dance']	[2017, 2018, 2019, 2020, 2021, 2022]	77	74
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	[2017, 2018, 2019, 2020, 2021]	72	49
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	67	22
79Pc4RR5E625J7dK543jDw	Mikael Gabriel	['finnish dance pop', 'finnish hip hop', 'finnish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	65	24
7DdW8Ert3Z36hb1FkaZWiI	Elastinen	['finnish dance pop', 'finnish hip hop', 'finnish pop', 'iskelma']	[2017, 2018, 2019, 2020, 2021, 2022]	64	37
2Pn8JMNrnRnSpNRPPgtiWA	ibe	['finnish hip hop', 'finnish trap']	[2017, 2018, 2019, 2020, 2021, 2022]	64	31
54CMkgIraCOO9pSRfPKiKt	Antti Tuisku	['finnish dance pop', 'finnish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	62	10
5WUlDfRSoLAfcVSX1WnrxN	Sia	['australian dance', 'australian pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	61	36
5ZZqIQ25HQmufjjf2trwFO	Cheek	['finnish hip hop', 'finnish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	60	25
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	[2017, 2018, 2019, 2020, 2021, 2022]	58	11
7vk5e3vY1uw9plTHJAMwjN	Alan Walker	['electro house']	[2017, 2018, 2019, 2020, 2021, 2022]	57	49
5cvT1YrzMiVuHMg22UKIk5	Reino Nordin	['finnish dance pop', 'finnish hip hop', 'finnish pop', 'iskelma', 'suomi rock']	[2017, 2018, 2019, 2020, 2021]	54	10
15UsOTVnJzReFVN1VCnxy4	XXXTENTACION	['emo rap', 'miami hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	53	16
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	[2018, 2019, 2020, 2021, 2022]	52	4
3KgHd8tKiKYsazNkydQgYM	Evelina	['finnish dance pop', 'finnish hip hop', 'finnish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	50	9
0xbbe6a1x6g5eGBQfzjWSe	Cledos	['finnish hip hop', 'finnish trap']	[2017, 2018, 2019, 2020, 2021, 2022]	50	37
0hCNtLu0JehylgoiP8L4Gh	Nicki Minaj	['hip pop', 'pop', 'queens hip hop', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	50	47
1iVTfRuCrTJJ7QudNpQatF	Gasellit	['finnish dance pop', 'finnish hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	49	26
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	[2017, 2018, 2019, 2020, 2021, 2022]	49	35
69GGBxA162lTqCwzJG5jLp	The Chainsmokers	['electropop', 'pop']	[2017, 2018, 2019, 2020, 2022]	48	27
3c9CUpHeB5BCQOHp8uiPzY	Ellinoora	['finnish dance pop', 'finnish pop', 'iskelma', 'suomi rock']	[2017, 2018, 2019, 2020, 2021, 2022]	47	10
2E5rkwWAKphgpurncaoAyn	Nikke Ankara	['finnish dance pop', 'finnish hip hop', 'finnish pop']	[2017, 2018, 2019, 2020, 2021]	47	19
53XhwfbYqKCa1cC15pYq2q	Imagine Dragons	['modern rock', 'pop', 'rock']	[2017, 2018, 2019, 2020, 2021, 2022]	47	6
0kWknKjD7r2hNh8KntEx59	TIPPA	['finnish dance pop', 'finnish hip hop', 'finnish trap']	[2017, 2018, 2019, 2020, 2021, 2022]	46	31
3I4GcOB25cSJHa9d7Bsgji	costee	['finnish dance pop', 'finnish hip hop', 'finnish pop']	[2018, 2019, 2020, 2021, 2022]	46	17
1vCWHaC5f2uS3yhpwWbIA6	Avicii	['edm', 'pop', 'pop dance']	[2017, 2018, 2019, 2020, 2021, 2022]	46	27
6c0mTNAxJxlp9HpKTUZwA8	ALMA	[]	[2017, 2018, 2019, 2020]	45	19
5fyBhURKALJ81CC9X4DvZP	Vesala	['finnish pop', 'iskelma', 'suomi rock']	[2017, 2018, 2019, 2020, 2021, 2022]	44	7
6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	['dance pop', 'pop', 'uk pop']	[2017, 2018, 2019, 2020, 2021, 2022]	44	23
5sDIQrB2V7pRAdNM8dEc7g	Gettomasa	['finnish hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	43	30
18KcOgLds5SUgIpQIveiJN	Keko Salata	['finnish dance pop', 'finnish hip hop', 'finnish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	41	19
7meg3neLTT2WR1LDjL8jze	SANNI	['finnish dance pop', 'finnish hip hop', 'finnish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	41	6
4O15NlyKLIASxsJ0PrXPfz	Lil Uzi Vert	['melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']	[2017, 2018, 2019, 2020, 2021]	41	20
0KzoK9bz1M6R9cDBLAOF4q	Vesta	['finnish indie', 'finnish pop', 'suomi rock']	[2017, 2018, 2019, 2020, 2021, 2022]	39	8
3zh3U2eQ64EhBFbJuxgf1M	Teflon Brothers	['finnish dance pop', 'finnish hip hop', 'finnish pop', 'suomi rock']	[2017, 2018, 2019, 2020, 2021, 2022]	39	28
1xUhNgw4eJDZfvumIpcz1B	Children Of Bodom	['alternative metal', 'finnish death metal', 'finnish melodeath', 'groove metal', 'melodic death metal', 'metal', 'nu metal', 'power metal', 'speed metal']	[2018, 2019, 2021]	39	0
0hD2uZfgcwrRRMcPYQ45pf	Eevil Stöö	['finnish hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	39	29
2YZyLoL8N0Wb9xBt1NhZWg	Kendrick Lamar	['conscious hip hop', 'hip hop', 'rap', 'west coast rap']	[2017, 2018, 2019, 2020, 2021]	39	24
0JTMRuiDzOCjWuYtWMgv2s	Haloo Helsinki!	['finnish pop', 'suomi rock']	[2017, 2018, 2019, 2020, 2021, 2022]	39	2
1VPmR4DJC1PlOtd0IADAO0	$uicideboy$	['cloud rap', 'dark trap', 'new orleans rap', 'underground hip hop']	[2017, 2018, 2019, 2020, 2021]	39	2
7yD78gcA2QR0sRQM4Lj7sM	Juha Tapio	['finnish pop', 'iskelma', 'suomi rock']	[2017, 2018, 2019, 2020, 2021, 2022]	39	7
0eDvMgVFoNV3TpwtrVCoTj	Pop Smoke	['brooklyn drill', 'rap']	[2019, 2020, 2021]	39	24
23fqKkggKUBHNkbKtXEls4	Kygo	['edm', 'pop', 'pop dance', 'tropical house']	[2017, 2018, 2019, 2020, 2021, 2022]	38	38
