artist_id	name	genres	years_on_charts	num_hits	num_collab_hits
3IW7ScrzXmPvZhB27hmfgy	Jul	['french hip hop', 'pop urbaine', 'rap marseille']	[2017, 2018, 2019, 2020, 2021, 2022]	430	151
6Te49r3A6f5BiIgBRxH7FH	Ninho	['french hip hop', 'pop urbaine']	[2017, 2018, 2019, 2020, 2021, 2022]	197	107
4sbXXFzEWJY2zsZjelerjX	Dadju	['french hip hop', 'pop urbaine', 'r&b francais']	[2017, 2018, 2019, 2020, 2021, 2022]	155	77
6W5uA6CNMf3hd2j4a2XWCx	Naps	['french hip hop', 'pop urbaine', 'rap marseille']	[2017, 2018, 2019, 2020, 2021, 2022]	150	68
2kXKa3aAFngGz2P4GjG5w2	SCH	['french hip hop', 'pop urbaine', 'rap francais', 'rap marseille']	[2017, 2018, 2019, 2020, 2021, 2022]	141	66
1ntQKIMIgESKpKoNXVBvQg	Kaaris	['drill francais', 'french hip hop', 'pop urbaine', 'rap francais', 'trap antillais']	[2017, 2018, 2019, 2020, 2021, 2022]	139	54
1q7T9rFQ2a2ukA1PU51fo3	Koba LaD	['french hip hop', 'pop urbaine', 'rap francais']	[2018, 2019, 2020, 2021, 2022]	134	66
6qFt3TjvxMt77YGsktWG8Z	Sofiane	['french hip hop', 'pop urbaine', 'rap conscient', 'rap francais']	[2017, 2018, 2019, 2020, 2021]	132	70
7DUTsWY3RBd64vh8UtgtYA	Lacrim	['arabic hip hop', 'french hip hop', 'pop urbaine', 'rap francais']	[2017, 2018, 2019, 2020, 2021, 2022]	132	65
3CnCGFxXbOA8bAK54jR8js	Vald	['french hip hop', 'pop urbaine', 'rap conscient']	[2017, 2018, 2019, 2020, 2021, 2022]	128	49
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	[2017, 2018, 2019, 2020, 2021]	126	58
