artist_id	name	genres	num_hits	num_collab_hits
5VadK1havLhK1OpKYsXv9y	D-Block Europe	['melodic drill', 'uk hip hop']	54	16
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	52	25
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	39	19
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	33	16
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	32	24
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	32	11
2SrSdSvpminqmStGELCSNd	Stormzy	['grime', 'uk hip hop']	31	15
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	30	8
6vWDO969PvNqNYHIOW5v0m	Beyoncé	['pop', 'r&b']	29	10
4Xi6LSfFqv26XgP9NKN26U	AJ Tracey	['grime', 'uk hip hop', 'ukg revival']	28	11
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	28	5
2jku7tDXc6XoB6MO2hFuqg	Tory Lanez	['canadian hip hop', 'canadian trap', 'melodic rap', 'r&b', 'rap', 'toronto rap', 'trap']	27	22
6Ip8FS7vWT1uKkJSweANQK	Dave	['uk hip hop']	27	15
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	26	21
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	26	3
3rbtPd0NcvhO2AzMfzx90z	Fredo	['grime', 'uk hip hop']	24	9
4GNC7GD6oZMSxPGyXy4MNB	Lewis Capaldi	['pop', 'uk pop']	22	1
2p1fiYHYiXz9qi0JJyxBzN	Skepta	['birmingham grime', 'grime', 'instrumental grime', 'uk hip hop']	22	15
1GxkXlMwML1oSg5eLPiAz3	Michael Bublé	['adult standards', 'canadian pop', 'jazz pop', 'lounge']	21	6
2PJEagPIxaBugeMjIyKVXF	Aitch	['manchester hip hop', 'uk hip hop']	20	13
14H15rElxdGClICOZXEYHP	MoStack	['afrobeats', 'afroswing', 'grime', 'london rap', 'uk hip hop']	20	10
6UCQYrcJ6wab6gnQ89OJFh	Headie One	['uk hip hop']	20	13
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	19	11
6FQqZYVfTNQ1pCqfkwVFEa	Foals	['alternative dance', 'garage rock', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'oxford indie', 'rock']	18	0
00FQb4jTyendYWaN8pK0wa	Lana Del Rey	['art pop', 'pop']	18	2
