artist_id	name	genres	years_on_charts	num_hits	num_collab_hits
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	[2017, 2018, 2019, 2020, 2021, 2022]	196	96
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	[2017, 2018, 2019, 2020, 2021, 2022]	180	25
5VadK1havLhK1OpKYsXv9y	D-Block Europe	['melodic drill', 'uk hip hop']	[2018, 2019, 2020, 2021, 2022]	120	50
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	[2018, 2019, 2020, 2021, 2022]	112	46
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	[2017, 2018, 2019, 2020, 2021, 2022]	109	49
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	[2017, 2018, 2019, 2020, 2021, 2022]	105	50
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	104	54
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	[2017, 2018, 2019, 2020, 2021, 2022]	100	77
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	97	41
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	93	47
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	88	35
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	84	54
3e7awlrlDSwF3iM0WBjGMp	Little Mix	['girl group', 'pop', 'talent show', 'uk pop']	[2017, 2018, 2019, 2020, 2021, 2022]	83	19
1RyvyyTE3xzB2ZywiAwp0i	Future	['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']	[2017, 2018, 2019, 2020, 2021, 2022]	74	57
4Xi6LSfFqv26XgP9NKN26U	AJ Tracey	['grime', 'uk hip hop', 'ukg revival']	[2017, 2018, 2019, 2020, 2021, 2022]	74	38
3rbtPd0NcvhO2AzMfzx90z	Fredo	['grime', 'uk hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	73	27
6UCQYrcJ6wab6gnQ89OJFh	Headie One	['uk hip hop']	[2018, 2019, 2020, 2021, 2022]	71	50
2hlmm7s2ICUX0LVIhVFlZQ	Gunna	['atl hip hop', 'melodic rap', 'rap', 'trap']	[2018, 2019, 2020, 2021, 2022]	71	53
3mIj9lX2MWuHmhNCA7LSCW	The 1975	['modern alternative rock', 'modern rock', 'pop', 'pov: indie', 'rock']	[2017, 2018, 2019, 2020, 2021]	70	1
0hCNtLu0JehylgoiP8L4Gh	Nicki Minaj	['hip pop', 'pop', 'queens hip hop', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	70	54
5f7VJjfbwm532GiveGC0ZK	Lil Baby	['atl hip hop', 'atl trap', 'rap', 'trap']	[2018, 2019, 2020, 2021, 2022]	69	56
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	[2017, 2018, 2019, 2020, 2021, 2022]	68	38
2SrSdSvpminqmStGELCSNd	Stormzy	['grime', 'uk hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	67	38
2p1fiYHYiXz9qi0JJyxBzN	Skepta	['birmingham grime', 'grime', 'instrumental grime', 'uk hip hop']	[2017, 2018, 2019, 2020, 2021]	65	51
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	64	16
50co4Is1HCEo8bhOyUWKpn	Young Thug	['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']	[2017, 2018, 2019, 2020, 2021, 2022]	63	62
