artist_id	name	genres	num_hits	num_collab_hits
3KcZf8BFeFBtnGyOZmUggd	Mad Clip	['greek hip hop', 'greek trap']	63	42
1UdbiTrv73Dp7F0s3OHmn2	Light	['greek hip hop', 'greek trap']	62	43
7bg4UOzqHiULOABzTycGyX	Immune	['greek drill']	45	38
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	36	25
0eDvMgVFoNV3TpwtrVCoTj	Pop Smoke	['brooklyn drill', 'rap']	34	22
2CeSpJpSDU42CUgPdGfyo0	Thug Slime	['greek trap']	32	20
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	31	2
4YiKEuOS5GwMujJMkIPGFN	RICTA	['greek drill']	31	31
48h12D3cJbqfn1ReVL9qbw	Strat	['greek drill']	31	30
7zYmrye7LvmpMkfHWrENu9	Mike G	['greek trap']	28	28
6YYOTK6Qyv6PuFipPxCCoe	RACK	['greek drill']	28	27
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	27	3
1SZwJYkX5jEm8xqZXSGXjj	iLLEOo	['greek hip hop', 'greek trap']	27	25
5qDpS8QhKjNRZ6aRrcpY1Z	BeTaf Beats	[]	25	25
4lpfvtAHLELZcezTOUHiQX	DJ.Silence	['dutch house']	24	24
6wN4QyhoM6fN49kEB25rnl	SNIK	['greek hip hop', 'greek trap']	23	13
6WzxopGY3sy97IeNFaDELc	Trannos	['greek drill', 'greek trap']	23	20
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	22	14
0fxvzvlu3VQV3wDIhAxBmn	DJ Stephan	['greek trap']	22	22
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	22	10
0vUcZVCNG7i5OV0zb8Icfw	Hawk	['greek hip hop', 'greek trap']	21	21
0V0TEffOhc8TSKqNyC0sjr	City Center	[]	21	21
0lAWpj5szCSwM4rUMHYmrr	Måneskin	['indie rock italiano', 'italian pop', 'pop']	21	0
1OJxI4NQfY6osMvhfRMMEX	Dof Twogee	['greek drill', 'greek hip hop']	21	21
6AgTAQt8XS6jRWi4sX7w49	Polo G	['chicago rap', 'rap']	21	13
2ZXlAIBIejTdK0VlfsAqMV	Ypo	['greek hip hop', 'greek trap']	20	18
4NKSnDH3KS823DGnHDDDsy	Bloody Hawk	['greek hip hop']	20	3
1lqh5puCZTMsGJalV8Rjbe	Zoro&Buzz	['greek underground rap']	20	20
0JDrljGBQpzIKFIcZ4R1H4	Dani Gambino	['greek drill', 'greek hip hop']	20	10
2t6NEGChLyMUnGnW1LupcS	Mani	['greek underground rap']	19	19
1tHNXjqv2f4qfAldD1hF5I	Fi Vita Sigma	['greek underground rap']	19	19
4VMldqLa3majLarabWzuqk	Night Grind	['greek drill']	19	19
7jVv8c5Fj3E9VhNjxT4snq	Lil Nas X	['lgbtq+ hip hop']	19	6
29Bl0nvClztM0dpgY2vvcc	Billy Sio	['greek hip hop', 'greek trap']	18	17
1POlf5v8Q8ciCcWlAcxnEm	HGEMONA$	['greek drill']	18	15
4dpARuHxo51G3z768sgnrY	Adele	['british soul', 'pop', 'pop soul', 'uk pop']	18	0
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	17	9
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	17	12
5cj0lLjcoR7YOSnhnX0Po5	Doja Cat	['dance pop', 'pop']	16	10
6WP5LSNdr1E55tl6USzhVB	Sin Boy	['greek hip hop', 'greek trap']	16	1
1zeAbUJAbLOWeYpgRVnYmu	FLY LO	['greek drill', 'greek trap']	16	14
0cy6ZMOTeautXRNJsR6PiV	Ivan Greko	['greek drill', 'greek trap']	16	12
6l3HvQ5sa6mXTsMTB19rO5	J. Cole	['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']	16	7
2S6IpjPbMmKLJMhUJCIFMB	Tsaki	['greek hip hop', 'greek trap']	16	16
50co4Is1HCEo8bhOyUWKpn	Young Thug	['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']	15	15
501ecrQlNfbAmZawdV0hzg	Lil Barty	['greek trap']	15	9
00FQb4jTyendYWaN8pK0wa	Lana Del Rey	['art pop', 'pop']	15	2
5vcLO0kMM1sarGeTNRoQks	Styl Mo	['greek trap']	15	15
2y2N214hXiUO9Y1VyYl8tB	dwmnd	['greek hip hop']	15	15
0WxSlQlue0fq99fXfGBmxA	Fy	['greek trap']	15	12
7AWAljMatr7bxddF4kWzXG	TOQUEL	['greek hip hop', 'greek trap']	15	9
1uENJBsvFjDUv7OrH3DaKR	ATC Nico	['greek drill']	14	11
2Iy8kK89T3l62dJcAkflqM	Bossikan	['greek drill', 'greek trap']	14	14
1McMsnEElThX1knmY4oliG	Olivia Rodrigo	['pop']	14	0
6hyFvbMnKrLVujJZnovsWz	Marseaux	['greek fem rap', 'greek hip hop', 'greek pop']	14	8
6oMuImdp5ZcFhWP0ESe6mG	Migos	['atl hip hop', 'hip hop', 'rap', 'trap']	14	7
2PEGJAUmJGBWFxIMMyIvVl	Joker/Two-Face	['greek hip hop', 'greek underground rap']	14	14
