artist_id	name	genres	years_on_charts	num_hits	num_collab_hits
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	[2017, 2018, 2019, 2020, 2021, 2022]	153	77
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	[2017, 2018, 2019, 2020, 2021]	110	87
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	[2017, 2018, 2019, 2020, 2021, 2022]	98	43
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	[2017, 2018, 2019, 2020, 2021]	97	20
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	92	44
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	91	40
1UdbiTrv73Dp7F0s3OHmn2	Light	['greek hip hop', 'greek trap']	[2018, 2019, 2020, 2021, 2022]	89	57
3KcZf8BFeFBtnGyOZmUggd	Mad Clip	['greek hip hop', 'greek trap']	[2018, 2019, 2020, 2021, 2022]	86	63
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	[2018, 2019, 2020, 2021, 2022]	85	38
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	81	45
1SZwJYkX5jEm8xqZXSGXjj	iLLEOo	['greek hip hop', 'greek trap']	[2018, 2019, 2020, 2021, 2022]	76	57
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	[2017, 2018, 2019, 2020, 2021]	72	13
00FQb4jTyendYWaN8pK0wa	Lana Del Rey	['art pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	70	19
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	68	24
1RyvyyTE3xzB2ZywiAwp0i	Future	['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']	[2017, 2018, 2019, 2020, 2021, 2022]	68	54
0hCNtLu0JehylgoiP8L4Gh	Nicki Minaj	['hip pop', 'pop', 'queens hip hop', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	68	57
6oMuImdp5ZcFhWP0ESe6mG	Migos	['atl hip hop', 'hip hop', 'rap', 'trap']	[2017, 2018, 2019, 2020, 2021]	66	36
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	64	43
1URnnhqYAYcrqrcwql10ft	21 Savage	['atl hip hop', 'hip hop', 'rap', 'trap']	[2017, 2018, 2019, 2020, 2021, 2022]	64	46
15UsOTVnJzReFVN1VCnxy4	XXXTENTACION	['emo rap', 'miami hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	62	20
6WP5LSNdr1E55tl6USzhVB	Sin Boy	['greek hip hop', 'greek trap']	[2018, 2019, 2020, 2021, 2022]	60	18
0WxSlQlue0fq99fXfGBmxA	Fy	['greek trap']	[2018, 2019, 2020, 2021, 2022]	60	33
4O15NlyKLIASxsJ0PrXPfz	Lil Uzi Vert	['melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']	[2017, 2018, 2019, 2020, 2021]	60	35
0VRj0yCOv2FXJNP47XQnx5	Quavo	['atl hip hop', 'melodic rap', 'rap', 'trap']	[2017, 2018, 2019, 2020, 2021]	60	53
6wN4QyhoM6fN49kEB25rnl	SNIK	['greek hip hop', 'greek trap']	[2018, 2019, 2020, 2021, 2022]	59	34
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	[2018, 2019, 2020, 2021, 2022]	57	5
2CeSpJpSDU42CUgPdGfyo0	Thug Slime	['greek trap']	[2020, 2021, 2022]	57	26
50co4Is1HCEo8bhOyUWKpn	Young Thug	['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']	[2017, 2018, 2019, 2020, 2021, 2022]	55	55
0eDvMgVFoNV3TpwtrVCoTj	Pop Smoke	['brooklyn drill', 'rap']	[2019, 2020, 2021, 2022]	52	33
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	[2017, 2018, 2019, 2020, 2021, 2022]	52	25
2hlmm7s2ICUX0LVIhVFlZQ	Gunna	['atl hip hop', 'melodic rap', 'rap', 'trap']	[2018, 2019, 2020, 2021, 2022]	51	43
5f7VJjfbwm532GiveGC0ZK	Lil Baby	['atl hip hop', 'atl trap', 'rap', 'trap']	[2018, 2019, 2020, 2021, 2022]	49	41
4xRYI6VqpkE3UwrDrAZL8L	Logic	['conscious hip hop', 'hip hop', 'pop rap', 'rap']	[2017, 2018, 2019, 2020]	49	23
4r63FhuTkUYltbVAg5TQnk	DaBaby	['hip hop', 'north carolina hip hop', 'rap', 'trap']	[2019, 2020, 2021, 2022]	48	29
7siPnM6FjNP8KnXO5YDwAH	Mente Fuerte	['greek hip hop', 'greek trap']	[2018, 2019, 2020, 2021, 2022]	48	32
1LxWE4LOhnqeaAx2tVUK6p	Saske	['greek hip hop', 'greek trap']	[2018, 2019, 2020, 2021, 2022]	48	43
4kYSro6naA4h99UJvo89HB	Cardi B	['pop', 'rap']	[2017, 2018, 2019, 2020, 2021]	47	37
7bg4UOzqHiULOABzTycGyX	Immune	['greek drill']	[2020, 2021, 2022]	46	39
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	[2017, 2018, 2019, 2020, 2021]	46	34
6l3HvQ5sa6mXTsMTB19rO5	J. Cole	['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']	[2018, 2019, 2020, 2021]	43	18
6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	['dance pop', 'pop', 'uk pop']	[2017, 2018, 2019, 2020, 2021, 2022]	42	19
0vUcZVCNG7i5OV0zb8Icfw	Hawk	['greek hip hop', 'greek trap']	[2018, 2019, 2020, 2021, 2022]	41	41
2ZXlAIBIejTdK0VlfsAqMV	Ypo	['greek hip hop', 'greek trap']	[2019, 2020, 2021, 2022]	41	30
7n2wHs1TKAczGzO7Dd2rGr	Shawn Mendes	['canadian pop', 'pop', 'viral pop']	[2017, 2018, 2019, 2020, 2021]	41	10
0C8ZW7ezQVs4URX5aX7Kqx	Selena Gomez	['pop', 'post-teen pop']	[2017, 2018, 2019, 2020, 2021]	41	20
0iEtIxbK0KxaSlF7G42ZOp	Metro Boomin	['rap']	[2017, 2018, 2019, 2020]	41	41
0fxvzvlu3VQV3wDIhAxBmn	DJ Stephan	['greek trap']	[2019, 2020, 2021, 2022]	40	40
2YZyLoL8N0Wb9xBt1NhZWg	Kendrick Lamar	['conscious hip hop', 'hip hop', 'rap', 'west coast rap']	[2017, 2018, 2019, 2020, 2021]	40	25
4nDoRrQiYLoBzwC5BhVJzF	Camila Cabello	['dance pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	39	17
4DdkRBBYG6Yk9Ka8tdJ9BW	Offset	['atl hip hop', 'rap', 'trap']	[2017, 2018, 2019, 2020, 2021]	39	34
4YiKEuOS5GwMujJMkIPGFN	RICTA	['greek drill']	[2020, 2021, 2022]	38	38
7gZfnEnfiaHzxARJ2LeXrf	6ix9ine	['emo rap']	[2018, 2019, 2020, 2021]	38	25
4NKSnDH3KS823DGnHDDDsy	Bloody Hawk	['greek hip hop']	[2019, 2020, 2021, 2022]	36	8
55Aa2cqylxrFIXC767Z865	Lil Wayne	['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']	[2017, 2018, 2019, 2020, 2021, 2022]	36	31
13ubrt8QOOCPljQ2FL1Kca	A$AP Rocky	['east coast hip hop', 'hip hop', 'rap', 'trap']	[2017, 2018, 2019, 2020, 2021]	36	26
48h12D3cJbqfn1ReVL9qbw	Strat	['greek drill']	[2020, 2021, 2022]	35	32
7jVv8c5Fj3E9VhNjxT4snq	Lil Nas X	['lgbtq+ hip hop']	[2019, 2020, 2021, 2022]	35	15
26VFTg2z8YR0cCuwLzESi2	Halsey	['electropop', 'etherpop', 'indie poptimism', 'pop']	[2017, 2018, 2019, 2020, 2021]	35	16
1tHNXjqv2f4qfAldD1hF5I	Fi Vita Sigma	['greek underground rap']	[2020, 2021, 2022]	34	34
69GGBxA162lTqCwzJG5jLp	The Chainsmokers	['electropop', 'pop']	[2017, 2018, 2019, 2020]	34	23
699OTQXzgjhIYAHMy9RyPD	Playboi Carti	['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	33	15
53XhwfbYqKCa1cC15pYq2q	Imagine Dragons	['modern rock', 'pop', 'rock']	[2017, 2018, 2019, 2021, 2022]	33	4
7zYmrye7LvmpMkfHWrENu9	Mike G	['greek trap']	[2020, 2021, 2022]	32	32
1OJxI4NQfY6osMvhfRMMEX	Dof Twogee	['greek drill', 'greek hip hop']	[2019, 2020, 2021, 2022]	32	32
501ecrQlNfbAmZawdV0hzg	Lil Barty	['greek trap']	[2019, 2020, 2021, 2022]	31	20
4lpfvtAHLELZcezTOUHiQX	DJ.Silence	['dutch house']	[2019, 2020, 2021, 2022]	31	31
5LHRHt1k9lMyONurDHEdrp	Tyga	['hip hop', 'pop rap', 'rap', 'trap']	[2018, 2019, 2020, 2021]	31	28
4VMldqLa3majLarabWzuqk	Night Grind	['greek drill']	[2018, 2019, 2020, 2021, 2022]	30	30
1vyhD5VmyZ7KMfW5gqLgo5	J Balvin	['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']	[2017, 2018, 2019, 2020, 2021]	30	27
6AgTAQt8XS6jRWi4sX7w49	Polo G	['chicago rap', 'rap']	[2019, 2020, 2021]	30	20
6YYOTK6Qyv6PuFipPxCCoe	RACK	['greek drill']	[2020, 2021, 2022]	30	29
7c0XG5cIJTrrAgEC3ULPiq	Ty Dolla $ign	['hip hop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']	[2017, 2018, 2019, 2020, 2021]	30	30
1zNqQNIdeOUZHb8zbZRFMX	Swae Lee	['melodic rap', 'rap', 'trap']	[2017, 2018, 2019, 2020, 2021]	30	29
5qDpS8QhKjNRZ6aRrcpY1Z	BeTaf Beats	[]	[2020, 2021, 2022]	29	29
1Cs0zKBU1kc0i8ypK3B9ai	David Guetta	['big room', 'dance pop', 'edm', 'pop', 'pop dance']	[2017, 2018, 2019, 2021]	29	28
13y7CgLHjMVRMDqxdx0Xdo	Gucci Mane	['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']	[2017, 2018, 2019]	29	29
6WzxopGY3sy97IeNFaDELc	Trannos	['greek drill', 'greek trap']	[2020, 2021, 2022]	28	21
0V0TEffOhc8TSKqNyC0sjr	City Center	[]	[2021, 2022]	28	28
6SWOdiks4Ac3lMM8NCqDm0	MG	['greek hip hop', 'greek trap']	[2019, 2020, 2021, 2022]	28	17
64Eb4jttIVIP6T2qVBP8wh	Slogan	['greek hip hop', 'greek trap']	[2018, 2019, 2020, 2021]	28	17
6KImCVD70vtIoJWnq6nGn3	Harry Styles	['pop']	[2017, 2019, 2020, 2021]	28	0
7fyyicH0HcrSE4GC6UmzEr	Smuggler	['greek trap']	[2018, 2019, 2020, 2021]	28	20
29Bl0nvClztM0dpgY2vvcc	Billy Sio	['greek hip hop', 'greek trap']	[2019, 2020, 2021]	27	23
3LcKlNE5nPPFpDtmc2wtdC	Moose	['greek trap']	[2019, 2020, 2021, 2022]	27	26
7AWAljMatr7bxddF4kWzXG	TOQUEL	['greek hip hop', 'greek trap']	[2018, 2019, 2020, 2021, 2022]	27	15
7tYKF4w9nC0nq9CsPZTHyP	SZA	['pop', 'r&b', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	27	25
2t6NEGChLyMUnGnW1LupcS	Mani	['greek underground rap']	[2020, 2021, 2022]	26	26
2Iy8kK89T3l62dJcAkflqM	Bossikan	['greek drill', 'greek trap']	[2020, 2021, 2022]	26	26
4V8LLVI7PbaPR0K2TGSxFF	Tyler, The Creator	['hip hop', 'rap']	[2019, 2020, 2021, 2022]	26	10
5vcLO0kMM1sarGeTNRoQks	Styl Mo	['greek trap']	[2019, 2021]	26	18
5VzicjuhIv0IwMz15hEORa	VLOSPA	['greek trap']	[2019, 2020, 2021, 2022]	26	11
02kJSzxNuaWGqwubyUba0Z	G-Eazy	['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']	[2017, 2018, 2019, 2020, 2021]	26	25
3e7awlrlDSwF3iM0WBjGMp	Little Mix	['girl group', 'pop', 'talent show', 'uk pop']	[2017, 2018, 2019, 2020, 2021]	26	9
7BXe1v4YJm7R5wg2ioeA1q	Dirty Harry	['greek trap']	[2020, 2021, 2022]	25	13
39E15l8zeCDYpSZwFNX4G2	Eleni Foureira	['greek pop', 'laiko']	[2017, 2018, 2019, 2020, 2021, 2022]	25	7
2wY79sveU1sp5g7SokKOiI	Sam Smith	['pop', 'uk pop']	[2017, 2018, 2019, 2020, 2021]	25	4
1HY2Jd0NmPuamShAr6KMms	Lady Gaga	['art pop', 'dance pop', 'pop']	[2017, 2018, 2019, 2020]	25	8
5YquORfLTx6nWMlBzJstx7	Konstantinos Argiros	['greek pop', 'laiko']	[2017, 2018, 2019, 2020, 2021, 2022]	24	3
1lqh5puCZTMsGJalV8Rjbe	Zoro&Buzz	['greek underground rap']	[2020, 2021]	24	24
5YGY8feqx7naU7z4HrwZM6	Miley Cyrus	['pop']	[2017, 2018, 2019, 2020, 2021]	24	12
1vCWHaC5f2uS3yhpwWbIA6	Avicii	['edm', 'pop', 'pop dance']	[2017, 2018, 2019, 2020]	24	11
3wyVrVrFCkukjdVIdirGVY	Lil Pump	['emo rap', 'miami hip hop', 'pop rap', 'rap', 'trap']	[2017, 2018, 2019, 2020]	24	13
5cj0lLjcoR7YOSnhnX0Po5	Doja Cat	['dance pop', 'pop']	[2019, 2020, 2021, 2022]	23	14
5EZmxPSk3RuSe9jda5RGxG	Long3	['greek hip hop', 'greek trap']	[2018, 2019, 2020, 2021, 2022]	23	21
6Xgp2XMz1fhVYe7i6yNAax	Trippie Redd	['melodic rap', 'rap', 'trap']	[2017, 2018, 2019, 2020, 2021]	23	17
2S6IpjPbMmKLJMhUJCIFMB	Tsaki	['greek hip hop', 'greek trap']	[2019, 2020, 2021, 2022]	23	22
64KEffDW9EtZ1y2vBYgq8T	Marshmello	['brostep', 'edm', 'pop', 'progressive electro house']	[2017, 2018, 2019, 2020, 2021]	23	21
0QHgL1lAIqAw0HtD7YldmP	DJ Khaled	['hip hop', 'miami hip hop', 'pop rap', 'rap']	[2017, 2018, 2019, 2020, 2021]	23	23
0cy6ZMOTeautXRNJsR6PiV	Ivan Greko	['greek drill', 'greek trap']	[2020, 2021, 2022]	22	15
0kw0RBxQ5PjqTePr8TrTI1	Negros Tou Moria	['greek hip hop']	[2019, 2020, 2021, 2022]	22	22
0JDrljGBQpzIKFIcZ4R1H4	Dani Gambino	['greek drill', 'greek hip hop']	[2020, 2021, 2022]	22	12
3YQKmKGau1PzlVlkL1iodx	Twenty One Pilots	['modern rock', 'pop', 'pov: indie', 'rock']	[2017, 2018, 2019, 2020, 2021]	22	0
5Rl15oVamLq7FbSb0NNBNy	5 Seconds of Summer	['boy band', 'pop']	[2018, 2019, 2020]	22	4
0lAWpj5szCSwM4rUMHYmrr	Måneskin	['indie rock italiano', 'italian pop', 'pop']	[2021, 2022]	21	0
1POlf5v8Q8ciCcWlAcxnEm	HGEMONA$	['greek drill']	[2020, 2021, 2022]	21	18
4dpARuHxo51G3z768sgnrY	Adele	['british soul', 'pop', 'pop soul', 'uk pop']	[2017, 2018, 2019, 2021, 2022]	21	0
31W5EY0aAly4Qieq6OFu6I	A Boogie Wit da Hoodie	['melodic rap', 'rap', 'trap']	[2018, 2019, 2020, 2021]	21	17
04gDigrS5kc9YWfZHwBETP	Maroon 5	['pop']	[2017, 2018, 2019, 2020, 2021]	21	18
5WUlDfRSoLAfcVSX1WnrxN	Sia	['australian dance', 'australian pop', 'pop']	[2017, 2018, 2019, 2020, 2021]	21	15
6S2OmqARrzebs0tKUEyXyp	Demi Lovato	['pop', 'post-teen pop']	[2017, 2018, 2019, 2020, 2021]	21	9
1zeAbUJAbLOWeYpgRVnYmu	FLY LO	['greek drill', 'greek trap']	[2020, 2021, 2022]	20	17
1nzgtKYFckznkcVMR3Gg4z	KSI	['uk hip hop']	[2019, 2020, 2021]	20	12
62tV1e6rfkhuGPewxuOsjD	Nume	['greek trap']	[2020, 2021, 2022]	20	20
