artist_id	name	genres	num_hits	num_collab_hits
6XyY86QOPPrYVGvF9ch6wz	Linkin Park	['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']	42	3
2QcZxAgcs2I1q7CtCkl6MI	Eason Chan	['c-pop', 'cantopop', 'mandopop']	31	0
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	30	8
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	['c-pop', 'mandopop', 'taiwan pop', 'zhongguo feng']	29	2
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	29	3
04gDigrS5kc9YWfZHwBETP	Maroon 5	['pop']	26	19
2wY79sveU1sp5g7SokKOiI	Sam Smith	['pop', 'uk pop']	26	1
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	23	11
2g0QLUYku8AuPVK2udRV7i	Leslie Cheung	['c-pop', 'cantopop']	22	3
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	20	13
69GGBxA162lTqCwzJG5jLp	The Chainsmokers	['electropop', 'pop']	18	12
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	18	1
2YZyLoL8N0Wb9xBt1NhZWg	Kendrick Lamar	['conscious hip hop', 'hip hop', 'rap', 'west coast rap']	17	7
1IDuSpntFl2Mutofvrrutc	Jason Chan	['cantopop']	17	0
53XhwfbYqKCa1cC15pYq2q	Imagine Dragons	['modern rock', 'pop', 'rock']	16	2
7CajNmpbOovFoOoasH2HaY	Calvin Harris	['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']	16	15
4Kxlr1PRlDKEB0ekOCyHgX	BIGBANG	['k-pop', 'k-pop boy group']	14	0
5WUlDfRSoLAfcVSX1WnrxN	Sia	['australian dance', 'australian pop', 'pop']	13	4
4gzpq5DPGxSnKTe4SA8HAU	Coldplay	['permanent wave', 'pop']	13	4
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	13	9
4nDoRrQiYLoBzwC5BhVJzF	Camila Cabello	['dance pop', 'pop']	13	8
0ZED1XzwlLHW4ZaG4lOT6m	Julia Michaels	['pop']	13	6
0hCNtLu0JehylgoiP8L4Gh	Nicki Minaj	['hip pop', 'pop', 'queens hip hop', 'rap']	12	12
68gYAqni9tSrACmLCp4qoM	Janice Vidal	['cantopop']	12	3
00FQb4jTyendYWaN8pK0wa	Lana Del Rey	['art pop', 'pop']	12	8
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	12	9
6S2OmqARrzebs0tKUEyXyp	Demi Lovato	['pop', 'post-teen pop']	12	3
2zzKlxMsKTPMsZacZCPRNA	Joey Yung	['cantopop']	11	1
26VFTg2z8YR0cCuwLzESi2	Halsey	['electropop', 'etherpop', 'indie poptimism', 'pop']	11	6
163tK9Wjr9P9DmM0AVK7lm	Lorde	['art pop', 'metropopolis', 'nz pop', 'pop']	11	3
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	11	9
7tYKF4w9nC0nq9CsPZTHyP	SZA	['pop', 'r&b', 'rap']	11	11
38t0Qk7AJg7YdrXmOC6TH1	Pakho Chau	['cantopop']	11	3
5YsDFZYpkNgiIxfDW6rXlu	JW	['cantopop']	10	2
0UtXMxHMXhwQUI6G6TFDt1	Gin Lee	['cantopop', 'malaysian mandopop']	10	3
64M6ah0SkkRsnPGtGiRAbb	Bebe Rexha	['dance pop', 'pop']	10	8
13ubrt8QOOCPljQ2FL1Kca	A$AP Rocky	['east coast hip hop', 'hip hop', 'rap', 'trap']	10	10
6VuMaDnrHyPL1p4EHjYLi7	Charlie Puth	['pop', 'viral pop']	10	6
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	9	6
6jJ0s89eD6GaHleKKya26X	Katy Perry	['pop']	9	8
1HBjj22wzbscIZ9sEb5dyf	Jonas Blue	['pop', 'pop dance', 'tropical house', 'uk dance']	9	9
23fqKkggKUBHNkbKtXEls4	Kygo	['edm', 'pop', 'pop dance', 'tropical house']	9	9
4A0TivfinfALCAMJqqjZIk	Funk Wav	[]	9	9
1opXC6lrFxsiDks53X5d3Q	AGA	['cantopop']	9	2
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	9	8
3qNVuliS40BLgXGxhdBdqu	TAEYEON	['k-pop']	9	1
7gAppWoH7pcYmphCVTXkzs	The Vamps	['boy band', 'pop']	9	8
02kJSzxNuaWGqwubyUba0Z	G-Eazy	['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']	9	9
6TIYQ3jFPwQSRmorSezPxX	Machine Gun Kelly	['ohio hip hop', 'pop rap']	9	9
1RyvyyTE3xzB2ZywiAwp0i	Future	['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']	9	8
5p7f24Rk5HkUZsaS3BLG5F	Hailee Steinfeld	['pop']	9	8
6V1SwiosQqf5XvmoTMCGa9	Dear Jane	['cantopop']	9	0
0VRj0yCOv2FXJNP47XQnx5	Quavo	['atl hip hop', 'melodic rap', 'rap', 'trap']	8	8
2snm3HmsnDUDxbIChdl2Oj	Justin Hurwitz	['hollywood', 'movie tunes', 'soundtrack']	8	1
1Cs0zKBU1kc0i8ypK3B9ai	David Guetta	['big room', 'dance pop', 'edm', 'pop', 'pop dance']	8	7
2pYLo2RugZpdhYRub5nKcV	Phil Lam	['cantopop']	8	0
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	8	7
3lva01D3HtmlEKjuxAZ7bC	Justin Lo	['cantopop']	8	0
1Hsdzj7Dlq2I7tHP7501T4	Niall Horan	['pop']	8	0
1GxkXlMwML1oSg5eLPiAz3	Michael Bublé	['adult standards', 'canadian pop', 'jazz pop', 'lounge']	8	3
16s0YTFcyjP4kgFwt7ktrY	Mayday	['mandopop', 'taiwan pop']	8	0
3cjEqqelV9zb4BYE3qDQ4O	EXO	['k-pop', 'k-pop boy group']	8	0
41MozSoPIsD1dJM0CLPjZF	BLACKPINK	['k-pop', 'k-pop girl group', 'pop']	8	0
0GCtLaB5rBjoUpQdXogZzj	Alfred Hui	['cantopop']	8	2
29Ukw6Kx8IyOABZFklKpaX	Supper Moment	['cantopop']	7	0
7Dx7RhX0mFuXhCOUgB01uM	JJ Lin	['mandopop', 'singaporean mandopop', 'singaporean pop']	7	0
