artist_id	name	genres	num_hits	num_collab_hits
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	33	22
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	31	21
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	29	12
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	28	1
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	28	3
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	23	4
1GxkXlMwML1oSg5eLPiAz3	Michael Bublé	['adult standards', 'canadian pop', 'jazz pop', 'lounge']	23	7
5ALUgNuS421MZrrrAhM9Bv	Bruno X Spacc	['hungarian hip hop', 'hungarian pop']	22	6
0eDvMgVFoNV3TpwtrVCoTj	Pop Smoke	['brooklyn drill', 'rap']	21	15
0Hir00e5sSBEH8WqOmvi8h	Halott Pénz	['hungarian pop']	21	10
6EIriUxo7vznEgJtTDlXpq	Azahriah	['hungarian pop']	21	5
7jVv8c5Fj3E9VhNjxT4snq	Lil Nas X	['lgbtq+ hip hop']	19	7
5cj0lLjcoR7YOSnhnX0Po5	Doja Cat	['dance pop', 'pop']	17	9
3PMRY3PR5xAe5UpRfPPuaG	Dzsúdló	['hungarian hip hop', 'hungarian pop', 'magyar trap']	17	5
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	16	10
1UIPahyz7pEKaU6RQvU3FC	Follow The Flow	['hungarian pop']	16	2
6AgTAQt8XS6jRWi4sX7w49	Polo G	['chicago rap', 'rap']	16	11
6zqr73J6gm3Son1vnWkbfK	Kisé	['hungarian hip hop', 'magyar trap']	16	8
1Cs0zKBU1kc0i8ypK3B9ai	David Guetta	['big room', 'dance pop', 'edm', 'pop', 'pop dance']	16	15
1vpC76RZf9ndFkOEB7agn9	Bagossy Brothers Company	['hungarian pop', 'hungarian rock', 'magyar alternative']	16	0
4dpARuHxo51G3z768sgnrY	Adele	['british soul', 'pop', 'pop soul', 'uk pop']	16	0
