artist_id	name	genres	years_on_charts	num_hits	num_collab_hits
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	157	25
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	[2017, 2018, 2019, 2020, 2021, 2022]	93	15
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	[2017, 2018, 2019, 2020, 2021, 2022]	60	28
3cjEqqelV9zb4BYE3qDQ4O	EXO	['k-pop', 'k-pop boy group']	[2017, 2018, 2019, 2020, 2021]	51	0
2IDLDx25HU1nQMKde4n61a	Rich Brian	['indonesian hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	50	22
69GGBxA162lTqCwzJG5jLp	The Chainsmokers	['electropop', 'pop']	[2017, 2018, 2019, 2020, 2021]	50	35
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	[2017, 2018, 2019, 2020, 2021, 2022]	46	17
5JZ7CnR6gTvEMKX4g70Amv	Lauv	['pop']	[2017, 2018, 2019, 2020, 2021, 2022]	46	24
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	46	32
41MozSoPIsD1dJM0CLPjZF	BLACKPINK	['k-pop', 'k-pop girl group', 'pop']	[2017, 2018, 2019, 2020, 2021]	45	7
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	[2017, 2018, 2019, 2020, 2021]	44	22
6XyY86QOPPrYVGvF9ch6wz	Linkin Park	['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']	[2017]	40	4
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	[2017, 2018, 2019, 2020, 2021]	36	27
0ghlgldX5Dd6720Q3qFyQB	TOMORROW X TOGETHER	['k-pop', 'k-pop boy group']	[2019, 2020, 2021, 2022]	36	2
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	[2017, 2018, 2019, 2020, 2021]	33	20
7n2wHs1TKAczGzO7Dd2rGr	Shawn Mendes	['canadian pop', 'pop', 'viral pop']	[2017, 2018, 2019, 2020, 2021, 2022]	33	10
4nDoRrQiYLoBzwC5BhVJzF	Camila Cabello	['dance pop', 'pop']	[2017, 2018, 2019, 2020, 2021]	32	19
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	[2018, 2019, 2020, 2021, 2022]	32	3
4rUYk0fV0Z4pOtwVbEAyK9	Glenn Fredly	['indonesian jazz', 'indonesian pop']	[2017, 2018, 2019, 2020, 2021, 2022]	32	8
7f4ignuCJhLXfZ9giKT7rH	NCT 127	['k-pop', 'k-pop boy group']	[2017, 2018, 2019, 2020, 2021, 2022]	32	2
04gDigrS5kc9YWfZHwBETP	Maroon 5	['pop']	[2017, 2018, 2019, 2020, 2021, 2022]	32	23
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	29	15
2wY79sveU1sp5g7SokKOiI	Sam Smith	['pop', 'uk pop']	[2017, 2018, 2019, 2020, 2021]	28	6
7vk5e3vY1uw9plTHJAMwjN	Alan Walker	['electro house']	[2017, 2018, 2019, 2020, 2022]	28	22
6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	['dance pop', 'pop', 'uk pop']	[2017, 2018, 2019, 2020, 2021, 2022]	28	15
1gBUSTR3TyDdTVFIaQnc02	NCT DREAM	['k-pop', 'k-pop boy group']	[2017, 2018, 2019, 2020, 2021, 2022]	28	2
5OZXWMwDhlYBRvoOfcX0sk	Raisa	['indonesian pop', 'indonesian r&b', 'indonesian singer-songwriter']	[2017, 2018, 2019, 2020, 2021]	27	9
2iDVt6mFbtbDEZG5ax0dTi	Tulus	['indonesian jazz', 'indonesian pop', 'indonesian singer-songwriter']	[2017, 2018, 2019, 2020, 2021, 2022]	27	1
3paGCCtX1Xr4Gx53mSeZuQ	NCT U	['k-pop', 'k-pop boy group']	[2018, 2020, 2021, 2022]	27	2
2kxP07DLgs4xlWz8YHlvfh	NIKI	['indonesian r&b']	[2017, 2018, 2019, 2020, 2021, 2022]	26	11
1vCWHaC5f2uS3yhpwWbIA6	Avicii	['edm', 'pop', 'pop dance']	[2017, 2018, 2019, 2022]	25	12
49tQo2QULno7gxHutgccqF	LANY	['la pop']	[2017, 2018, 2019, 2020, 2021, 2022]	25	5
5TnQc2N1iKlFjYD7CPGvFc	DAY6	['k-pop', 'k-pop boy group']	[2018, 2019, 2020, 2021]	25	0
7d86ERlvO5UG44j7Va0Y0C	Pamungkas	['indonesian pop', 'indonesian singer-songwriter']	[2019, 2020, 2021, 2022]	25	1
26VFTg2z8YR0cCuwLzESi2	Halsey	['electropop', 'etherpop', 'indie poptimism', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	25	14
4gzpq5DPGxSnKTe4SA8HAU	Coldplay	['permanent wave', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	25	8
20zafXaLhm5IcXnSU93rNn	Nadin Amizah	['indonesian pop']	[2017, 2018, 2019, 2020, 2021, 2022]	24	7
51kyrUsAVqUBcoDEMFkX12	Hindia	[]	[2019, 2020, 2021, 2022]	24	9
0C8ZW7ezQVs4URX5aX7Kqx	Selena Gomez	['pop', 'post-teen pop']	[2017, 2018, 2019, 2020, 2021]	24	15
7n2Ycct7Beij7Dj7meI4X0	TWICE	['k-pop', 'k-pop girl group', 'pop']	[2018, 2019, 2020, 2021, 2022]	24	0
28DdkLhrzQNizZ0ExQpyku	Rizky Febian	['indonesian pop']	[2017, 2018, 2019, 2020, 2021, 2022]	24	8
64KEffDW9EtZ1y2vBYgq8T	Marshmello	['brostep', 'edm', 'pop', 'progressive electro house']	[2017, 2018, 2019, 2020, 2021]	23	19
1z4g3DjTBBZKhvAroFlhOM	Red Velvet	['k-pop', 'k-pop girl group']	[2017, 2018, 2019, 2020, 2021]	23	1
4dpARuHxo51G3z768sgnrY	Adele	['british soul', 'pop', 'pop soul', 'uk pop']	[2017, 2018, 2019, 2021, 2022]	23	0
3KonOYiLsU53m4yT7gNotP	TREASURE	['k-pop', 'k-pop boy group']	[2020, 2021, 2022]	23	0
2Ooa3TrmlskyBftzenv6xQ	Payung Teduh	['indonesian folk', 'indonesian indie', 'indonesian pop', 'indonesian singer-songwriter']	[2017, 2018, 2019, 2020, 2021, 2022]	22	4
0du5cEVh5yTK9QJze8zA0C	Bruno Mars	['dance pop', 'pop']	[2017, 2018, 2019, 2021, 2022]	22	11
06QVnTCdjs4jPKO0487EGV	Fiersa Besari	['bandung indie', 'indonesian folk pop', 'indonesian indie', 'indonesian pop', 'indonesian pop punk']	[2018, 2019, 2020, 2021, 2022]	21	6
53XhwfbYqKCa1cC15pYq2q	Imagine Dragons	['modern rock', 'pop', 'rock']	[2017, 2018, 2019, 2020, 2021, 2022]	21	5
4ufh0WuMZh6y4Dmdnklvdl	BAEKHYUN	['k-pop']	[2017, 2018, 2019, 2020, 2021]	21	4
1HBjj22wzbscIZ9sEb5dyf	Jonas Blue	['pop', 'pop dance', 'tropical house', 'uk dance']	[2017, 2018, 2019]	21	21
0hCNtLu0JehylgoiP8L4Gh	Nicki Minaj	['hip pop', 'pop', 'queens hip hop', 'rap']	[2017, 2018, 2019, 2020, 2021]	21	20
6VuMaDnrHyPL1p4EHjYLi7	Charlie Puth	['pop', 'viral pop']	[2017, 2018, 2019, 2021, 2022]	21	8
23fqKkggKUBHNkbKtXEls4	Kygo	['edm', 'pop', 'pop dance', 'tropical house']	[2017, 2018, 2019, 2020]	20	20
7nqOGRxlXj7N2JYbgNEjYH	SEVENTEEN	['k-pop', 'k-pop boy group']	[2017, 2018, 2019, 2020, 2021]	20	1
