artist_id	name	genres	num_hits	num_collab_hits
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	100	14
6AgTAQt8XS6jRWi4sX7w49	Polo G	['chicago rap', 'rap']	41	24
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	40	26
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	37	10
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	37	5
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	36	24
4dpARuHxo51G3z768sgnrY	Adele	['british soul', 'pop', 'pop soul', 'uk pop']	31	0
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	31	12
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	29	3
0eDvMgVFoNV3TpwtrVCoTj	Pop Smoke	['brooklyn drill', 'rap']	27	19
5cj0lLjcoR7YOSnhnX0Po5	Doja Cat	['dance pop', 'pop']	25	13
1GxkXlMwML1oSg5eLPiAz3	Michael Bublé	['adult standards', 'canadian pop', 'jazz pop', 'lounge']	23	7
1nzgtKYFckznkcVMR3Gg4z	KSI	['uk hip hop']	23	17
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	22	12
7jLSEPYCYQ5ssWU3BICqrW	Picture This	['irish pop']	20	0
7jVv8c5Fj3E9VhNjxT4snq	Lil Nas X	['lgbtq+ hip hop']	20	7
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	19	11
6l3HvQ5sa6mXTsMTB19rO5	J. Cole	['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']	19	8
0LcJLqbBmaGUft1e9Mm8HV	ABBA	['europop', 'swedish pop']	19	0
4V8LLVI7PbaPR0K2TGSxFF	Tyler, The Creator	['hip hop', 'rap']	18	10
6Ip8FS7vWT1uKkJSweANQK	Dave	['uk hip hop']	17	9
5KNNVgR6LBIABRIomyCwKJ	Dermot Kennedy	['folk-pop', 'irish pop', 'uk pop']	16	2
1McMsnEElThX1knmY4oliG	Olivia Rodrigo	['pop']	16	2
2tIP7SsRs7vjIcLrU85W8J	The Kid LAROI	['australian hip hop']	16	10
3rbtPd0NcvhO2AzMfzx90z	Fredo	['grime', 'uk hip hop']	16	5
163tK9Wjr9P9DmM0AVK7lm	Lorde	['art pop', 'metropopolis', 'nz pop', 'pop']	15	0
00FQb4jTyendYWaN8pK0wa	Lana Del Rey	['art pop', 'pop']	15	1
0du5cEVh5yTK9QJze8zA0C	Bruno Mars	['dance pop', 'pop']	14	12
