artist_id	name	genres	years_on_charts	num_hits	num_collab_hits
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	[2018, 2019, 2020, 2021]	114	59
1IAEef07H0fd9aA8aUHUlL	Omer Adam	['israeli mediterranean', 'israeli pop', 'mizrahi']	[2018, 2019, 2020, 2021, 2022]	99	28
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	[2018, 2019, 2020, 2021, 2022]	76	30
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	[2018, 2019, 2020, 2021, 2022]	66	27
54jZWpivOTllo1afYNSx5U	Eyal Golan	['israeli mediterranean', 'israeli pop', 'mizrahi', 'persian pop']	[2018, 2019, 2020, 2021, 2022]	65	20
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	[2018, 2019, 2020, 2021]	63	41
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	[2018, 2019, 2020, 2021, 2022]	61	23
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	[2018, 2019, 2020, 2021, 2022]	61	34
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	[2018, 2019, 2020, 2021, 2022]	59	19
6uQl3gu1AIXyvqCAxnc2q4	Eden Hason	['israeli mediterranean']	[2018, 2019, 2020, 2021, 2022]	57	8
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	[2018, 2019, 2020, 2021, 2022]	53	27
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	[2018, 2019, 2020, 2021, 2022]	52	4
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	[2018, 2019, 2020, 2021, 2022]	49	9
6VdxGMRiiFQhI8F0FkuQZg	Itay Levi	['israeli mediterranean', 'mizrahi']	[2018, 2019, 2020, 2021, 2022]	48	13
0xHa28taiElkcQf9o3z76g	Static & Ben El	['israeli pop', 'jewish pop']	[2018, 2019, 2020, 2021, 2022]	46	27
2eUKkTNZsIuZzV95DM0cbt	Eden Ben Zaken	['israeli mediterranean', 'israeli pop']	[2018, 2019, 2020, 2021, 2022]	45	14
2JQK9mzxqKz16lSgICHDTx	Ravid Plotnik	['israeli hip hop', 'israeli trap']	[2018, 2019, 2020, 2021, 2022]	42	13
6l3HvQ5sa6mXTsMTB19rO5	J. Cole	['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']	[2018, 2019, 2020, 2021, 2022]	41	15
15UsOTVnJzReFVN1VCnxy4	XXXTENTACION	['emo rap', 'miami hip hop']	[2018, 2019, 2020, 2021]	40	10
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	[2018, 2019, 2020, 2021, 2022]	37	29
5EBnQEKoaiAk37Q7cfGrE1	Idan Raichel	['israeli mediterranean', 'israeli pop', 'israeli singer-songwriter']	[2018, 2019, 2020, 2021, 2022]	37	13
17pbOSPIn3lmY0vHhOlKGL	Tuna	['israeli hip hop', 'israeli pop']	[2018, 2019, 2020, 2021, 2022]	36	13
6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	['dance pop', 'pop', 'uk pop']	[2018, 2019, 2020, 2021, 2022]	35	16
0hCNtLu0JehylgoiP8L4Gh	Nicki Minaj	['hip pop', 'pop', 'queens hip hop', 'rap']	[2018, 2019, 2020, 2021, 2022]	35	32
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	[2018, 2019, 2020, 2021, 2022]	35	22
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	[2018, 2019, 2020, 2021, 2022]	35	26
7n2wHs1TKAczGzO7Dd2rGr	Shawn Mendes	['canadian pop', 'pop', 'viral pop']	[2018, 2019, 2020, 2021, 2022]	35	12
1URnnhqYAYcrqrcwql10ft	21 Savage	['atl hip hop', 'hip hop', 'rap', 'trap']	[2018, 2019, 2020, 2021]	35	24
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	[2018, 2019, 2020, 2021, 2022]	33	11
3EOEK57CV77D4ovYVcmiyt	Dennis Lloyd	['israeli pop']	[2018, 2019, 2020, 2021, 2022]	33	3
69GGBxA162lTqCwzJG5jLp	The Chainsmokers	['electropop', 'pop']	[2018, 2019, 2020, 2022]	31	22
5WUlDfRSoLAfcVSX1WnrxN	Sia	['australian dance', 'australian pop', 'pop']	[2018, 2019, 2020, 2021, 2022]	31	24
7jVv8c5Fj3E9VhNjxT4snq	Lil Nas X	['lgbtq+ hip hop']	[2019, 2020, 2021, 2022]	30	13
3VTm1513t2LL1mSKzzyQuj	Ishay Ribo	['israeli pop']	[2018, 2019, 2020, 2021, 2022]	29	9
3jK9MiCrA42lLAdMGUZpwa	Anderson .Paak	['escape room', 'hip hop', 'indie soul', 'neo soul']	[2018, 2019, 2020, 2021, 2022]	29	23
4kYSro6naA4h99UJvo89HB	Cardi B	['pop', 'rap']	[2018, 2019, 2020, 2021]	29	23
4r63FhuTkUYltbVAg5TQnk	DaBaby	['hip hop', 'north carolina hip hop', 'rap', 'trap']	[2019, 2020, 2021, 2022]	28	19
1vyhD5VmyZ7KMfW5gqLgo5	J Balvin	['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']	[2018, 2019, 2020, 2021]	28	27
