artist_id	name	genres	num_hits	num_collab_hits
4YRxDV8wJFPHPTeXepOstw	Arijit Singh	['desi pop', 'filmi', 'modern bollywood']	29	25
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	19	3
0LyfQWJT6nXafLPZqxe9Of	Various Artists	[]	18	0
6LEG9Ld1aLImEFEVHdWNSB	AP Dhillon	['desi hip hop', 'desi pop', 'punjabi hip hop', 'punjabi pop']	18	17
5DHi2MeoRgAwPE0A0qwRMl	Gurinder Gill	['punjabi hip hop']	13	13
1wRPtKGflJrBx9BmLsSwlU	Pritam	['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']	12	12
5uemEEtB1ZC3s1KM7gReeH	MC STAN	['desi emo rap', 'desi hip hop']	11	2
1mYsTxnqsietFxj1OgoGbG	A.R. Rahman	['filmi']	10	9
4f7KfxeHq9BiylGmyXepGt	Tanishk Bagchi	['desi pop', 'filmi', 'modern bollywood']	8	8
4vvW590Gq8dNWsP5BM9FkS	Gminxr	[]	7	7
6aQfrWHwAcuY8IYItbChZh	Shinda Kahlon	[]	7	7
0y59o4v8uw5crbN9M3JiL1	Badshah	['desi hip hop', 'desi pop', 'desi trap', 'filmi', 'modern bollywood']	7	7
1tqysapcCh1lWEAc9dIFpa	Jubin Nautiyal	['desi pop', 'filmi', 'hare krishna', 'modern bollywood']	7	7
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	6	2
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	6	2
09UmIX92EUH9hAK4bxvHx6	Mithoon	['desi pop', 'filmi', 'modern bollywood']	6	6
4eB5clMaoi0cCRnCwLkkiS	Harnoor	['desi pop', 'punjabi pop']	6	2
0oOet2f43PA68X5RxKobEy	Shreya Ghoshal	['desi pop', 'filmi', 'modern bollywood']	6	6
1mBydYMVBECdDmMfE2sEUO	Sachin-Jigar	['desi pop', 'filmi', 'gujarati pop', 'modern bollywood']	6	6
2oSONSC9zQ4UonDKnLqksx	Atif Aslam	['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'sufi']	6	4
