artist_id	name	genres	years_on_charts	num_hits	num_collab_hits
0LyfQWJT6nXafLPZqxe9Of	Various Artists	[]	[2019, 2020, 2021, 2022]	134	0
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	[2019, 2020, 2021, 2022]	92	18
4YRxDV8wJFPHPTeXepOstw	Arijit Singh	['desi pop', 'filmi', 'modern bollywood']	[2019, 2020, 2021, 2022]	88	72
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	[2019, 2020, 2021, 2022]	76	13
4f7KfxeHq9BiylGmyXepGt	Tanishk Bagchi	['desi pop', 'filmi', 'modern bollywood']	[2019, 2020, 2021, 2022]	63	63
5f4QpKfy7ptCHwTqspnSJI	Neha Kakkar	['desi pop', 'filmi', 'modern bollywood']	[2019, 2020, 2021, 2022]	59	57
4PULA4EFzYTrxYvOVlwpiQ	Sidhu Moose Wala	['desi hip hop', 'desi pop', 'pakistani hip hop', 'punjabi hip hop']	[2019, 2020, 2021, 2022]	58	31
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	[2019, 2020, 2021, 2022]	50	15
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	[2019, 2020, 2021, 2022]	50	32
0y59o4v8uw5crbN9M3JiL1	Badshah	['desi hip hop', 'desi pop', 'desi trap', 'filmi', 'modern bollywood']	[2019, 2020, 2021, 2022]	46	41
1tqysapcCh1lWEAc9dIFpa	Jubin Nautiyal	['desi pop', 'filmi', 'hare krishna', 'modern bollywood']	[2019, 2020, 2021, 2022]	46	39
4Ai0pGz6GhQavjzaRhPTvz	DIVINE	['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']	[2019, 2020, 2021]	41	22
1wRPtKGflJrBx9BmLsSwlU	Pritam	['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']	[2019, 2020, 2021, 2022]	40	40
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	[2019, 2020, 2021, 2022]	40	23
6DARBhWbfcS9E4yJzcliqQ	Karan Aujla	['desi hip hop', 'desi pop', 'punjabi pop']	[2019, 2020, 2021, 2022]	39	16
0C8ZW7ezQVs4URX5aX7Kqx	Selena Gomez	['pop', 'post-teen pop']	[2019, 2020, 2021, 2022]	36	17
2FKWNmZWDBZR4dE5KX4plR	Diljit Dosanjh	['desi pop', 'filmi', 'modern bollywood']	[2019, 2020, 2021, 2022]	35	6
1mYsTxnqsietFxj1OgoGbG	A.R. Rahman	['filmi']	[2019, 2020, 2021, 2022]	34	28
5rQoBDKFnd1n6BkdbgVaRL	Guru Randhawa	['desi pop', 'filmi', 'modern bollywood']	[2019, 2020, 2021, 2022]	33	25
0T1CMVkqffHlqEk4BcAph1	Tulsi Kumar	['desi pop', 'filmi', 'modern bollywood']	[2019, 2020, 2021, 2022]	32	32
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	[2019, 2020, 2021, 2022]	29	20
2GoeZ0qOTt6kjsWW4eA6LS	Darshan Raval	['desi pop', 'filmi', 'gujarati pop', 'modern bollywood']	[2019, 2020, 2021, 2022]	28	13
4zCH9qm4R2DADamUHMCa6O	Anirudh Ravichander	['desi hip hop', 'filmi', 'tamil hip hop']	[2019, 2020, 2021, 2022]	26	24
0oOet2f43PA68X5RxKobEy	Shreya Ghoshal	['desi pop', 'filmi', 'modern bollywood']	[2019, 2020, 2021, 2022]	26	22
1OPqAyxsQc8mcRmoNBAnVk	Dhvani Bhanushali	['desi pop', 'filmi', 'modern bollywood']	[2019, 2020, 2021, 2022]	26	26
1mBydYMVBECdDmMfE2sEUO	Sachin-Jigar	['desi pop', 'filmi', 'gujarati pop', 'modern bollywood']	[2019, 2020, 2021, 2022]	26	26
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	[2019, 2020, 2021, 2022]	25	4
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	[2019, 2020, 2021, 2022]	24	12
5ZsFI1h6hIdQRw2ti0hz81	ZAYN	['pop', 'uk pop']	[2019, 2020, 2021, 2022]	23	11
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	[2019, 2020, 2021, 2022]	23	15
56SjZARoEvag3RoKWIb16j	B Praak	['desi pop', 'filmi', 'punjabi pop']	[2019, 2020, 2021, 2022]	23	13
69GGBxA162lTqCwzJG5jLp	The Chainsmokers	['electropop', 'pop']	[2019, 2020, 2021, 2022]	23	18
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	[2019, 2020, 2021]	23	12
41MozSoPIsD1dJM0CLPjZF	BLACKPINK	['k-pop', 'k-pop girl group', 'pop']	[2019, 2020, 2021, 2022]	23	5
5JZ7CnR6gTvEMKX4g70Amv	Lauv	['pop']	[2019, 2020, 2021, 2022]	23	17
7jVv8c5Fj3E9VhNjxT4snq	Lil Nas X	['lgbtq+ hip hop']	[2019, 2020, 2021, 2022]	22	9
2P9JaCtpbQSuZOgvtPrUJ8	Jass Manak	['desi hip hop', 'desi pop', 'punjabi pop']	[2019, 2020, 2021, 2022]	22	9
7qjJw7ZM2ekDSahLXPjIlN	Sid Sriram	['filmi']	[2019, 2020, 2021, 2022]	21	17
6IP4VnqS1pOiQcPVP4zx0H	Prem Dhillon	['punjabi pop']	[2020, 2021, 2022]	20	7
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	[2019, 2020, 2021]	20	15
26VFTg2z8YR0cCuwLzESi2	Halsey	['electropop', 'etherpop', 'indie poptimism', 'pop']	[2019, 2020, 2021, 2022]	19	11
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	[2019, 2020, 2021]	19	12
7uIbLdzzSEqnX0Pkrb56cR	Yo Yo Honey Singh	['desi pop', 'filmi', 'hindi hip hop', 'modern bollywood']	[2019, 2020, 2021]	19	16
7vk5e3vY1uw9plTHJAMwjN	Alan Walker	['electro house']	[2019, 2020, 2021, 2022]	18	15
6LEG9Ld1aLImEFEVHdWNSB	AP Dhillon	['desi hip hop', 'desi pop', 'punjabi hip hop', 'punjabi pop']	[2020, 2021, 2022]	18	17
7n2wHs1TKAczGzO7Dd2rGr	Shawn Mendes	['canadian pop', 'pop', 'viral pop']	[2019, 2020, 2021, 2022]	18	6
0NZtn1Kyq08alpHCTRf3dv	Tony Kakkar	['desi pop', 'filmi', 'modern bollywood']	[2019, 2020, 2021, 2022]	18	12
55kkrbuMkdzPGD7YGA6xrJ	Gurlez Akhtar	['punjabi pop']	[2019, 2020, 2021, 2022]	18	18
1sVmXkzX2ukc6QvasrDBES	Asees Kaur	['desi pop', 'filmi', 'modern bollywood']	[2019, 2020, 2021, 2022]	18	17
4IKVDbCSBTxBeAsMKjAuTs	Armaan Malik	['desi pop', 'filmi', 'modern bollywood']	[2019, 2020, 2021, 2022]	17	12
2oSONSC9zQ4UonDKnLqksx	Atif Aslam	['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'sufi']	[2019, 2020, 2021, 2022]	17	13
5uemEEtB1ZC3s1KM7gReeH	MC STAN	['desi emo rap', 'desi hip hop']	[2021, 2022]	17	3
64KEffDW9EtZ1y2vBYgq8T	Marshmello	['brostep', 'edm', 'pop', 'progressive electro house']	[2019, 2020, 2021, 2022]	16	14
3dN9MQpjIyNxyeRfz4EDZe	Rochak Kohli	['desi pop', 'modern bollywood']	[2019, 2020, 2021, 2022]	16	16
5T2I75UlGBcWd5nVyfmL13	Mika Singh	['desi pop', 'filmi', 'modern bollywood']	[2019, 2020, 2021]	16	16
6WOdPJmexxFINcKMkP2jMG	Sachet Tandon	['desi pop', 'filmi', 'modern bollywood']	[2019, 2020, 2021, 2022]	16	16
4nDoRrQiYLoBzwC5BhVJzF	Camila Cabello	['dance pop', 'pop']	[2019, 2020, 2021, 2022]	16	7
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	[2019, 2020, 2021, 2022]	15	4
3ZxZ03fj3tXBZHZWzvaLSM	Neeti Mohan	['desi pop', 'filmi', 'modern bollywood']	[2019, 2020, 2021, 2022]	15	15
3tPQOjkxO3mrYrrgkTeXgH	Nikhita Gandhi	['desi pop', 'modern bollywood']	[2019, 2020, 2021, 2022]	15	15
5cj0lLjcoR7YOSnhnX0Po5	Doja Cat	['dance pop', 'pop']	[2019, 2020, 2021, 2022]	14	7
7M3xY5iHSzEtoL3FpqOD75	Garry Sandhu	['desi pop', 'punjabi pop']	[2019, 2020, 2021, 2022]	14	11
6Mv8GjQa7LKUGCAqa9qqdb	Vishal-Shekhar	['desi pop', 'filmi', 'modern bollywood']	[2019, 2020, 2021, 2022]	14	14
6CXEwIaXYfVJ84biCxqc9k	Vishal Dadlani	['desi pop', 'filmi', 'modern bollywood']	[2019, 2020, 2021]	14	12
