artist_id	name	genres	num_hits	num_collab_hits
0VRj0yCOv2FXJNP47XQnx5	Quavo	['atl hip hop', 'melodic rap', 'rap', 'trap']	27	27
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	27	11
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	27	25
4jfe3cL8wzjPxD9CViP2dW	Aron Can	['icelandic hip hop', 'icelandic indie', 'icelandic pop']	26	6
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	24	13
1RyvyyTE3xzB2ZywiAwp0i	Future	['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']	24	14
2wY79sveU1sp5g7SokKOiI	Sam Smith	['pop', 'uk pop']	22	1
6MBiPjSFsYijvVDtKDwVs4	Herra Hnetusmjör	['icelandic hip hop', 'icelandic pop']	21	8
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	21	3
2YZyLoL8N0Wb9xBt1NhZWg	Kendrick Lamar	['conscious hip hop', 'hip hop', 'rap', 'west coast rap']	20	8
76MhNEhAVHSwifZFFr7khX	Joey Christ	['icelandic hip hop']	20	16
1GxkXlMwML1oSg5eLPiAz3	Michael Bublé	['adult standards', 'canadian pop', 'jazz pop', 'lounge']	19	5
6cC3KmZOI4EG7a94PtKEYb	JóiPé	['icelandic hip hop', 'icelandic pop']	18	17
6extd4B6hl8VTmnlhpl2bY	Huncho Jack	['melodic rap', 'trap']	18	18
4CNv5s1ekgsBNtfQvtaKUe	Alexander Jarl	['icelandic hip hop']	18	3
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	16	10
6yI1aFdfAnjSHaDnHBFAD9	Króli	['icelandic hip hop']	16	16
50co4Is1HCEo8bhOyUWKpn	Young Thug	['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']	16	13
0zGt5wXkvlORfIk5tnFxAD	Baggalútur	['classic icelandic pop', 'icelandic pop', 'icelandic rock']	16	2
5viGHhUi0l9iemcUI3nE57	Úlfur Úlfur	['icelandic hip hop', 'icelandic pop']	15	2
6oMuImdp5ZcFhWP0ESe6mG	Migos	['atl hip hop', 'hip hop', 'rap', 'trap']	15	11
7yuLFZmY5CuPf81al33Ot2	Sturla Atlas	['icelandic pop']	14	5
15UsOTVnJzReFVN1VCnxy4	XXXTENTACION	['emo rap', 'miami hip hop']	14	1
3hvKmeo12OU7ai8Mpgraf7	Floni	['icelandic electronic', 'icelandic hip hop']	14	3
1URnnhqYAYcrqrcwql10ft	21 Savage	['atl hip hop', 'hip hop', 'rap', 'trap']	14	12
1Xylc3o4UrD53lo9CvFvVg	Zara Larsson	['pop', 'scandipop', 'swedish electropop', 'swedish pop']	13	4
0j0YjzQLf57Dc9tpehBDdU	Sigurður Guðmundsson	['classic icelandic pop', 'icelandic folk', 'icelandic pop', 'icelandic rock']	12	12
0iEtIxbK0KxaSlF7G42ZOp	Metro Boomin	['rap']	12	12
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	11	5
4WYUozUi0ap1WyOyIsOAJ7	Memfismafían	['classic icelandic pop', 'icelandic pop', 'icelandic rock']	11	11
4O15NlyKLIASxsJ0PrXPfz	Lil Uzi Vert	['melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']	11	3
6wWVKhxIU2cEi0K81v7HvP	Rammstein	['german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte']	11	0
4DdkRBBYG6Yk9Ka8tdJ9BW	Offset	['atl hip hop', 'rap', 'trap']	11	11
7FRQP6Ivwv3DQCLxpR3I6Z	Birnir	['icelandic hip hop']	11	8
7CajNmpbOovFoOoasH2HaY	Calvin Harris	['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']	10	9
3wyVrVrFCkukjdVIdirGVY	Lil Pump	['emo rap', 'miami hip hop', 'pop rap', 'rap', 'trap']	10	4
6KImCVD70vtIoJWnq6nGn3	Harry Styles	['pop']	10	0
0L8ExT028jH3ddEcZwqJJ5	Red Hot Chili Peppers	['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']	10	0
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	9	7
0hCNtLu0JehylgoiP8L4Gh	Nicki Minaj	['hip pop', 'pop', 'queens hip hop', 'rap']	8	8
04gDigrS5kc9YWfZHwBETP	Maroon 5	['pop']	8	8
6jJ0s89eD6GaHleKKya26X	Katy Perry	['pop']	7	7
0c173mlxpT3dSFRgMO8XPh	Big Sean	['detroit hip hop', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']	7	4
0hHSuSCpKFLU5twpJNTO3t	Friðrik Dór	['icelandic pop']	7	3
0bPOOMpOPbgBrsOrt1Sfvi	Björgvin Halldórsson	['classic icelandic pop']	7	6
6ZjFtWeHP9XN7FeKSUe80S	Bing Crosby	['adult standards', 'easy listening', 'lounge']	7	2
6XyY86QOPPrYVGvF9ch6wz	Linkin Park	['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']	7	3
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	7	5
46VwdSiSccsgzNhJP9sGhQ	Emmsjé Gauti	['icelandic hip hop', 'icelandic pop']	7	4
7tYKF4w9nC0nq9CsPZTHyP	SZA	['pop', 'r&b', 'rap']	7	7
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	7	1
13y7CgLHjMVRMDqxdx0Xdo	Gucci Mane	['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']	7	7
53XhwfbYqKCa1cC15pYq2q	Imagine Dragons	['modern rock', 'pop', 'rock']	6	0
4A0TivfinfALCAMJqqjZIk	Funk Wav	[]	6	6
13ubrt8QOOCPljQ2FL1Kca	A$AP Rocky	['east coast hip hop', 'hip hop', 'rap', 'trap']	6	6
6icQOAFXDZKsumw3YXyusw	Lil Yachty	['atl hip hop', 'melodic rap', 'rap', 'trap']	6	5
26VFTg2z8YR0cCuwLzESi2	Halsey	['electropop', 'etherpop', 'indie poptimism', 'pop']	6	3
69GGBxA162lTqCwzJG5jLp	The Chainsmokers	['electropop', 'pop']	6	4
3AA28KZvwAUcZuOKwyblJQ	Gorillaz	['alternative hip hop', 'modern rock', 'rock']	6	6
6S2OmqARrzebs0tKUEyXyp	Demi Lovato	['pop', 'post-teen pop']	6	2
1Hsdzj7Dlq2I7tHP7501T4	Niall Horan	['pop']	6	0
5mL0Q3L0GbkSj4lTkU745U	Attan	['icelandic hip hop', 'icelandic pop']	5	0
7jy3rLJdDQY21OgRLCZ9sD	Foo Fighters	['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']	5	0
02kJSzxNuaWGqwubyUba0Z	G-Eazy	['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']	5	5
0LyfQWJT6nXafLPZqxe9Of	Various Artists	[]	5	0
6vWDO969PvNqNYHIOW5v0m	Beyoncé	['pop', 'r&b']	5	5
4kYSro6naA4h99UJvo89HB	Cardi B	['pop', 'rap']	5	4
4YnmlfVdziLiqFQtQ4zTcq	Páll Óskar	['classic icelandic pop', 'icelandic pop']	5	0
2rd4gPVTRgvoI6H4xZiNZH	Svala	['icelandic pop']	5	1
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	5	3
5pKCCKE2ajJHZ9KAiaK11H	Rihanna	['barbadian pop', 'pop', 'urban contemporary']	5	3
0QHgL1lAIqAw0HtD7YldmP	DJ Khaled	['hip hop', 'miami hip hop', 'pop rap', 'rap']	5	5
1HBjj22wzbscIZ9sEb5dyf	Jonas Blue	['pop', 'pop dance', 'tropical house', 'uk dance']	4	4
23fqKkggKUBHNkbKtXEls4	Kygo	['edm', 'pop', 'pop dance', 'tropical house']	4	4
0C8ZW7ezQVs4URX5aX7Kqx	Selena Gomez	['pop', 'post-teen pop']	4	3
2kCcBybjl3SAtIcwdWpUe3	Lil Peep	['cloud rap', 'emo rap', 'lgbtq+ hip hop']	4	0
2h93pZq0e7k5yf4dywlkpM	Frank Ocean	['lgbtq+ hip hop', 'neo soul']	4	3
4ljaFYAgLBet2a5qtgGrsG	Vilhjálmur Vilhjálmsson	['classic icelandic pop']	4	2
4nDoRrQiYLoBzwC5BhVJzF	Camila Cabello	['dance pop', 'pop']	4	3
3JhNCzhSMTxs9WLGJJxWOY	Macklemore	['pop rap', 'seattle hip hop']	4	4
2l19aqbqP2H5aKEUYCVM9h	Sálin hans Jóns míns	['classic icelandic pop', 'icelandic pop', 'icelandic rock']	4	0
