artist_id	name	genres	num_hits	num_collab_hits
4upwdFMlZBmQ68jP9jPzjK	Gemitaiz	['italian hip hop']	51	25
23TFHmajVfBtlRx5MXqgoz	Sfera Ebbasta	['italian hip hop', 'italian pop', 'trap italiana', 'trap latino']	51	27
15UsOTVnJzReFVN1VCnxy4	XXXTENTACION	['emo rap', 'miami hip hop']	48	12
7F2utINZ6tSokSiZTQBE27	Guè	['italian hip hop', 'italian pop']	43	36
5SulO4l40qDuV9zUGLZx7n	Capo Plaza	['italian hip hop', 'italian pop', 'trap italiana']	35	17
4b3MWJACM6T1QwGKoFe7pp	Vegas Jones	['italian hip hop']	32	11
53XhwfbYqKCa1cC15pYq2q	Imagine Dragons	['modern rock', 'pop', 'rock']	31	2
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	30	16
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	30	9
4CuMwzDzEdlUJMEna38VQ0	Dark Polo Gang	['italian hip hop', 'italian indie pop', 'italian pop', 'trap italiana']	29	8
3MkkSf3u5KU52Mb2iMrqeX	MadMan	['italian hip hop']	28	15
1AgAVqo74e2q4FVvg0xpT7	Tedua	['indie liguria', 'italian hip hop', 'italian pop', 'rap genovese', 'trap italiana']	26	25
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	25	8
3hBQ4zniNdQf1cqqo6hzuW	Salmo	['italian hip hop', 'italian pop', 'italian underground hip hop', 'rap sardegna']	24	7
29nrwultxQ8jENVmXoyMqK	Carl Brave	['italian adult pop', 'italian pop', 'rap napoletano', 'rome indie']	24	15
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	23	5
0lI3rF4hi4op6UxqlLHPzv	Achille Lauro	['italian adult pop', 'italian hip hop', 'italian pop']	23	23
215ciYy7TIYnGRim0I1nJ3	JUNIOR CALLY	['italian hip hop', 'italian pop']	21	3
3yiEJ9SByXZMXTwaKdVFN4	Luchè	['italian hip hop', 'italian pop', 'rap napoletano']	21	9
57aMHpsX2SXTbLatmeEd6j	Boss Doms	['brostep', 'edm']	21	21
6jwzGu5VdkR5tsRROYuxso	DrefGold	['italian hip hop', 'italian pop', 'trap italiana']	21	21
1xqolkIzTFMmqgCuD48WNt	Shade	['italian adult pop', 'italian hip hop', 'italian pop']	20	11
6FtwCmLY6L1sqvjaQ2lV6G	Emis Killa	['italian hip hop', 'italian pop']	20	9
2nftqfbLohpDYzY8VUlvbm	Benji & Fede	['italian adult pop', 'italian pop']	20	4
6jQZzWW3JlEtcRDSzFVKSP	Nitro	['italian hip hop']	19	8
6p2OF8M4ob4KovaU0SUX4b	Carl Brave x Franco126	['italian hip hop', 'italian pop', 'rome indie']	19	2
5iot8OPcosJN9nCl7I5SdK	Irama	['italian adult pop', 'italian pop']	19	0
63isdzBiMOaYkMiX6XddfB	Mezzosangue	['italian hip hop', 'italian underground hip hop']	19	1
3hN3iJMbbBmqBSAMx5veDa	Ultimo	['italian adult pop', 'italian pop']	18	2
7gZfnEnfiaHzxARJ2LeXrf	6ix9ine	['emo rap']	18	15
1i8SpTcr7yvPOmcqrbnVXY	Ozuna	['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']	18	12
3egWSWp7Y4FyCKIyvXbw7L	Ghali	['italian hip hop', 'italian pop', 'milan indie']	18	6
1vCWHaC5f2uS3yhpwWbIA6	Avicii	['edm', 'pop', 'pop dance']	18	6
1vyhD5VmyZ7KMfW5gqLgo5	J Balvin	['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']	18	16
1xsYReh7zhty26wD4tprKh	Chris Nolan	['italian hip hop']	18	18
6oMuImdp5ZcFhWP0ESe6mG	Migos	['atl hip hop', 'hip hop', 'rap', 'trap']	17	9
0lAWpj5szCSwM4rUMHYmrr	Måneskin	['indie rock italiano', 'italian pop', 'pop']	17	1
49UAapOfpOg1ZOU4xf2NgY	Noyz Narcos	['italian hip hop', 'italian underground hip hop']	17	9
6YBgd2LKccEB3pX6UaW1Yp	Thegiornalisti	['italian adult pop', 'italian pop', 'rome indie']	17	1
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	17	7
582KhTHEVOONNQLmQ5612r	Calcutta 	['italian adult pop', 'italian indie pop', 'italian pop', 'rome indie']	16	2
7KFOc3T4Xo8DVZt4PWw2qN	Gazzelle	['italian pop', 'rome indie']	16	1
3fhMfkPPzksWuw0hEm4ldm	Ernia	['italian hip hop', 'italian pop', 'milan indie']	16	3
0hCNtLu0JehylgoiP8L4Gh	Nicki Minaj	['hip pop', 'pop', 'queens hip hop', 'rap']	16	15
056KMTw6IztdQjBmFfVyO3	Rkomi	['italian hip hop', 'italian pop']	16	9
5dXlc7MnpaTeUIsHLVe3n4	Coez	['italian adult pop', 'italian pop', 'rap napoletano', 'rome indie']	15	10
1Cs0zKBU1kc0i8ypK3B9ai	David Guetta	['big room', 'dance pop', 'edm', 'pop', 'pop dance']	14	14
69GGBxA162lTqCwzJG5jLp	The Chainsmokers	['electropop', 'pop']	14	6
5AZuEF0feCXMkUCwQiQlW7	Marracash	['italian hip hop', 'italian pop', 'italian underground hip hop', 'rap napoletano']	14	8
4qIoIeQMYVvtWqJYMF354H	Daves The Kid	[]	14	14
0QJ3p787u7KD0ZhD5vzrCA	Anastasio	['italian hip hop', 'italian pop']	13	2
0ffKEtMDnROKWyJtXUnLbJ	Dani Faiv	['italian hip hop']	12	10
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	12	9
1BvLhDkql2F6d4G5aaajY2	Jamil	['italian hip hop']	11	5
7Ln80lUS6He07XvHI8qqHH	Arctic Monkeys	['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']	11	0
7u710e44HW3K7A5eTnRqHC	Fabri Fibra	['italian hip hop', 'italian pop', 'rap napoletano']	11	10
1vKXVGgIDP1XXZX4Tehjtn	Il Pagante	['italian pop']	11	7
3xGlLcG9CUrs5MvFkSLOS5	Marco Mengoni	['italian adult pop', 'italian pop']	11	4
2iK8weavvfS2xJCmzNzNE5	J-AX	['italian adult pop', 'italian pop']	10	9
1r4hJ1h58CWwUQe3MxPuau	Maluma	['latin pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']	10	6
5WUlDfRSoLAfcVSX1WnrxN	Sia	['australian dance', 'australian pop', 'pop']	10	8
4kYSro6naA4h99UJvo89HB	Cardi B	['pop', 'rap']	10	10
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	10	7
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	10	3
59MLbXG0jLVwJup3KAd6m1	Mr.Rain	['italian adult pop', 'italian hip hop', 'italian pop']	10	2
0VRj0yCOv2FXJNP47XQnx5	Quavo	['atl hip hop', 'melodic rap', 'rap', 'trap']	9	9
2YZyLoL8N0Wb9xBt1NhZWg	Kendrick Lamar	['conscious hip hop', 'hip hop', 'rap', 'west coast rap']	9	7
1URnnhqYAYcrqrcwql10ft	21 Savage	['atl hip hop', 'hip hop', 'rap', 'trap']	9	7
1GxkXlMwML1oSg5eLPiAz3	Michael Bublé	['adult standards', 'canadian pop', 'jazz pop', 'lounge']	9	4
