artist_id	name	genres	years_on_charts	num_hits	num_collab_hits
7F2utINZ6tSokSiZTQBE27	Guè	['italian hip hop', 'italian pop']	[2017, 2018, 2019, 2020, 2021, 2022]	205	168
4upwdFMlZBmQ68jP9jPzjK	Gemitaiz	['italian hip hop']	[2017, 2018, 2019, 2020, 2021]	140	107
23TFHmajVfBtlRx5MXqgoz	Sfera Ebbasta	['italian hip hop', 'italian pop', 'trap italiana', 'trap latino']	[2017, 2018, 2019, 2020, 2021, 2022]	138	87
056KMTw6IztdQjBmFfVyO3	Rkomi	['italian hip hop', 'italian pop']	[2017, 2018, 2019, 2020, 2021, 2022]	115	75
0jdNdfi4vAuVi7a6cPDFBM	Lazza	['italian hip hop', 'italian pop', 'rap genovese', 'trap italiana']	[2017, 2018, 2019, 2020, 2021, 2022]	108	83
5AZuEF0feCXMkUCwQiQlW7	Marracash	['italian hip hop', 'italian pop', 'italian underground hip hop', 'rap napoletano']	[2017, 2018, 2019, 2020, 2021, 2022]	107	74
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	[2017, 2018, 2019, 2020, 2021]	104	51
5SulO4l40qDuV9zUGLZx7n	Capo Plaza	['italian hip hop', 'italian pop', 'trap italiana']	[2017, 2018, 2019, 2020, 2021, 2022]	103	69
3egWSWp7Y4FyCKIyvXbw7L	Ghali	['italian hip hop', 'italian pop', 'milan indie']	[2017, 2018, 2019, 2020, 2021, 2022]	94	39
1AgAVqo74e2q4FVvg0xpT7	Tedua	['indie liguria', 'italian hip hop', 'italian pop', 'rap genovese', 'trap italiana']	[2017, 2018, 2019, 2020, 2021, 2022]	90	86
6FtwCmLY6L1sqvjaQ2lV6G	Emis Killa	['italian hip hop', 'italian pop']	[2017, 2018, 2019, 2020, 2021, 2022]	88	72
3MkkSf3u5KU52Mb2iMrqeX	MadMan	['italian hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	88	58
0lI3rF4hi4op6UxqlLHPzv	Achille Lauro	['italian adult pop', 'italian hip hop', 'italian pop']	[2017, 2018, 2019, 2020, 2021, 2022]	86	60
6289Bbkkk3gaCbh1K7Rv8F	Izi	['indie liguria', 'italian hip hop', 'italian pop', 'rap genovese', 'trap italiana']	[2017, 2018, 2019, 2020, 2021, 2022]	85	54
4CuMwzDzEdlUJMEna38VQ0	Dark Polo Gang	['italian hip hop', 'italian indie pop', 'italian pop', 'trap italiana']	[2017, 2018, 2019, 2020]	84	40
3fhMfkPPzksWuw0hEm4ldm	Ernia	['italian hip hop', 'italian pop', 'milan indie']	[2017, 2018, 2019, 2020, 2021, 2022]	84	45
3hBQ4zniNdQf1cqqo6hzuW	Salmo	['italian hip hop', 'italian pop', 'italian underground hip hop', 'rap sardegna']	[2017, 2018, 2019, 2020, 2021, 2022]	79	49
3pgCLfNbw5ozIfoNsvDU7i	Fedez	['italian adult pop', 'italian pop']	[2017, 2018, 2019, 2020, 2021, 2022]	77	50
4yUvIAm9mSJyLt1WLrOxAZ	Mecna	['italian hip hop', 'r&b italiano']	[2017, 2018, 2019, 2020, 2021, 2022]	75	47
5dXlc7MnpaTeUIsHLVe3n4	Coez	['italian adult pop', 'italian pop', 'rap napoletano', 'rome indie']	[2017, 2018, 2019, 2020, 2021, 2022]	74	33
27LlKWxS3KXW7RRAxN5S8s	Geolier	['italian hip hop', 'italian pop', 'rap napoletano', 'trap italiana']	[2018, 2019, 2020, 2021, 2022]	74	57
7u710e44HW3K7A5eTnRqHC	Fabri Fibra	['italian hip hop', 'italian pop', 'rap napoletano']	[2017, 2018, 2019, 2020, 2021, 2022]	73	56
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	73	35
19i93sA0D7yS9dYoVNBqAA	thasup	['italian hip hop', 'italian pop', 'trap italiana']	[2017, 2018, 2019, 2020, 2021, 2022]	72	56
