artist_id	name	genres	num_hits	num_collab_hits
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	25	2
0ixzjrK1wkN2zWBXt3VW3W	Yuuri	['j-pop', 'japanese singer-songwriter', 'japanese teen pop']	16	0
64tJ2EAv1R6UaZqc4iOCyj	YOASOBI	['j-pop', 'japanese teen pop']	16	1
7lbSsjYACZHn1MSDXPxNF2	Hikaru Utada	['anime', 'classic j-pop', 'j-pop', 'japanese singer-songwriter']	12	1
6mEQK9m2krja6X1cfsAjfl	Ado	['j-pop', 'japanese teen pop']	12	0
6rs1KAoQnFalSqSU4LTh8g	back number	['j-pop', 'j-rock']	11	0
2IUl3m1H1EQ7QfNbNWvgru	Vaundy	['j-pop', 'japanese soul']	11	0
5Vo1hnCRmCM6M4thZCInCj	OFFICIAL HIGE DANDISM	['anime', 'anime rock', 'j-pop']	10	0
7JthQ6zwNzfxRfIEjp6wUs	HIRAIDAI	['j-pop', 'japanese singer-songwriter', 'japanese teen pop']	8	0
6bDWAcdtVR3WHz2xtiIPUi	Fujii Kaze	['japanese teen pop']	8	0
6wxfx1yhyqjCPYwwxJktR2	King Gnu	['j-pop', 'j-rock']	8	0
1t17z3vfuc82cxSDMrvryJ	Macaroni Empitsu	['anime', 'j-pop', 'japanese alternative rock', 'japanese teen pop']	7	0
5kVZa4lFUmAQlBogl1fkd6	Aimyon	['j-acoustic', 'j-pop']	7	0
0bAsR2unSRpn6BQPEnNlZm	Aimer	['anime', 'anime rock', 'j-pixie', 'j-pop', 'j-poprock']	6	1
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	5	2
6n4SsAp5VjvIBg3s9QCcPX	SUDA MASAKI	['anime rock', 'j-pop', 'japanese punk rock']	5	0
4WqXqPmUuenMIr4QaFrZXN	Saucy Dog	['j-indie', 'j-pop', 'japanese alternative rock']	5	0
1snhtMLeb2DYoMOcVbb8iB	Kenshi Yonezu	['anime', 'j-pop']	5	0
4QvgGvpgzgyUOo8Yp8LDm9	Mrs. GREEN APPLE	['anime rock', 'j-pop', 'j-rock']	4	1
45ft4DyTCEJfQwTBHXpdhM	milet	['j-pop']	4	1
7n2Ycct7Beij7Dj7meI4X0	TWICE	['k-pop', 'k-pop girl group', 'pop']	4	0
58oPVy7oihAEXE0Ott6JOf	Eve	['anime', 'anime rock']	4	0
3z8diLlUCkN1j9N9ZdnfBJ	NiziU	['j-pop']	4	0
38WbKH6oKAZskBhqDFA8Uj	ZUTOMAYO	['j-pop']	4	0
4SJ7qRgJYNXB9Yttzs4aSa	Ryokuoushoku Shakai	['j-pop']	4	0
5kjGRHClVacSyllOUqU1S0	SPITZ	['classic j-pop', 'j-pop', 'j-rock']	3	0
0jJmZHZHNe8n24Y33z5Nil	DISH//	['anime', 'j-division', 'j-pop']	3	0
6YVMFz59CuY7ngCxTxjpxE	aespa	['k-pop', 'k-pop girl group']	3	0
4GxWcui9BlMJH9VOOK5wav	Higuchi Ai	['japanese alternative pop']	3	0
6LesPuO1nhgJ2acJ4MjyBI	和ぬか	['japanese teen pop']	3	2
5t5FqBwTcgKTaWmfEbwQY9	ENHYPEN	['anime', 'k-pop boy group']	3	0
0hBYSjDjcAaAuSZcpN8jk9	JP THE WAVY	['j-rap', 'japanese trap']	3	3
