artist_id	name	genres	years_on_charts	num_hits	num_collab_hits
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	[2021, 2022]	133	20
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	[2021, 2022]	50	33
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	[2021, 2022]	37	13
7f4ignuCJhLXfZ9giKT7rH	NCT 127	['k-pop', 'k-pop boy group']	[2021, 2022]	35	1
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	[2021, 2022]	34	6
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	[2021, 2022]	33	4
3HqSLMAZ3g3d5poNaI7GOU	IU	['k-pop', 'pop']	[2021, 2022]	33	8
7nqOGRxlXj7N2JYbgNEjYH	SEVENTEEN	['k-pop', 'k-pop boy group']	[2021, 2022]	33	0
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	[2021]	32	22
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	[2021, 2022]	28	8
7IEhlwWQA7pCkEvzwwHehE	ASH ISLAND	['k-rap']	[2021, 2022]	24	14
7n2Ycct7Beij7Dj7meI4X0	TWICE	['k-pop', 'k-pop girl group', 'pop']	[2021, 2022]	23	0
3qNVuliS40BLgXGxhdBdqu	TAEYEON	['k-pop']	[2021, 2022]	23	3
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	[2021]	22	1
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	[2021, 2022]	22	12
3hvinNZRzTLoREmqFiKr1b	CHANGMO	['k-rap', 'korean r&b']	[2021, 2022]	21	14
0ghlgldX5Dd6720Q3qFyQB	TOMORROW X TOGETHER	['k-pop', 'k-pop boy group']	[2021, 2022]	20	2
2MtHuR0W2idZdF7x4wddqq	GIRIBOY	['k-rap', 'korean r&b']	[2021, 2022]	20	14
5cj0lLjcoR7YOSnhnX0Po5	Doja Cat	['dance pop', 'pop']	[2021, 2022]	19	11
4V8LLVI7PbaPR0K2TGSxFF	Tyler, The Creator	['hip hop', 'rap']	[2021, 2022]	19	11
41MozSoPIsD1dJM0CLPjZF	BLACKPINK	['k-pop', 'k-pop girl group', 'pop']	[2021, 2022]	19	3
5dCvSnVduaFleCnyy98JMo	HEIZE	['k-pop', 'korean pop', 'korean r&b']	[2021, 2022]	19	13
7cVZApDoQZpS447nHTsNqu	LeeHi	['k-pop']	[2021, 2022]	19	8
4dpARuHxo51G3z768sgnrY	Adele	['british soul', 'pop', 'pop soul', 'uk pop']	[2021, 2022]	18	0
1gBUSTR3TyDdTVFIaQnc02	NCT DREAM	['k-pop', 'k-pop boy group']	[2021, 2022]	17	0
7jVv8c5Fj3E9VhNjxT4snq	Lil Nas X	['lgbtq+ hip hop']	[2021, 2022]	17	7
4TnGh5PKbSjpYqpIdlW5nz	MONSTA X	['k-pop', 'k-pop boy group']	[2021]	17	0
5snNHNlYT2UrtZo5HCJkiw	Epik High	['k-pop', 'k-rap', 'korean old school hip hop']	[2021, 2022]	17	11
4gzpq5DPGxSnKTe4SA8HAU	Coldplay	['permanent wave', 'pop']	[2021, 2022]	16	8
0du5cEVh5yTK9QJze8zA0C	Bruno Mars	['dance pop', 'pop']	[2021, 2022]	15	14
6l3HvQ5sa6mXTsMTB19rO5	J. Cole	['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']	[2021]	15	6
3paGCCtX1Xr4Gx53mSeZuQ	NCT U	['k-pop', 'k-pop boy group']	[2021, 2022]	15	1
3jK9MiCrA42lLAdMGUZpwa	Anderson .Paak	['escape room', 'hip hop', 'indie soul', 'neo soul']	[2021, 2022]	14	13
2019zR22qK2RBvCqtudBaI	OH MY GIRL	['k-pop', 'k-pop girl group']	[2021, 2022]	14	0
4tZwfgrHOc3mvqYlEYSvVi	Daft Punk	['electro', 'filter house', 'rock']	[2021]	14	8
1McMsnEElThX1knmY4oliG	Olivia Rodrigo	['pop']	[2021, 2022]	14	0
6UbmqUEgjLA6jAcXwbM1Z9	BIBI	['k-pop', 'korean r&b']	[2021, 2022]	14	5
2KC9Qb60EaY0kW4eH68vr3	ITZY	['k-pop', 'k-pop girl group']	[2021, 2022]	14	0
6PvvGcCY2XtUcSRld1Wilr	Silk Sonic	['neo soul']	[2021, 2022]	13	13
25wMXkplvEHJpJHX8A6Ved	lIlBOI	['k-rap']	[2021, 2022]	13	13
2dIgFjalVxs4ThymZ67YCE	Stray Kids	['k-pop', 'k-pop boy group', 'pop']	[2021]	13	1
2hRQKC0gqlZGPrmUKbcchR	SHINee	['k-pop', 'k-pop boy group']	[2021]	13	0
181bsRPaVXVlUKXrxwZfHK	Megan Thee Stallion	['houston rap', 'pop', 'rap', 'trap queen']	[2021, 2022]	13	12
50co4Is1HCEo8bhOyUWKpn	Young Thug	['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']	[2021, 2022]	12	12
4XDi67ZENZcbfKnvMnTYsI	Jay Park	['k-pop', 'k-rap', 'korean r&b']	[2021, 2022]	12	10
01XYiBYaoMJcNhPokrg0l0	STAYC	['k-pop', 'k-pop girl group']	[2021, 2022]	12	0
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	[2021, 2022]	11	8
0tkHE1pQ5ZCgQb8WZ0ba79	Gaeko	['k-rap', 'korean r&b']	[2021, 2022]	11	11
6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	['dance pop', 'pop', 'uk pop']	[2021, 2022]	11	6
6YVMFz59CuY7ngCxTxjpxE	aespa	['k-pop', 'k-pop girl group']	[2021, 2022]	11	0
5JZ7CnR6gTvEMKX4g70Amv	Lauv	['pop']	[2021, 2022]	11	6
0siBQaURCli5wn2lqv8WZg	DPR LIVE	['korean r&b']	[2021, 2022]	11	6
0tzSBCPJZmHTdOA3ZV2mN3	CL	['k-pop']	[2021]	11	5
4ufh0WuMZh6y4Dmdnklvdl	BAEKHYUN	['k-pop']	[2021]	11	2
5NUVwRESNqYBUTRbiATjy7	BE'O	['k-rap']	[2021, 2022]	11	9
6N7b9mUVwn885jI7RRg8no	MIRANI	['k-rap']	[2021, 2022]	11	11
698zn8fEOIr1OrfqG4283S	TOIL	['k-rap']	[2021, 2022]	10	10
0su5mZ6qhvOUhz7ckEx8rR	YUMDDA	['k-rap']	[2021, 2022]	10	10
5o615XColiSVMPDWlslKSk	Wonstein	[]	[2021, 2022]	10	8
49tQo2QULno7gxHutgccqF	LANY	['la pop']	[2021]	10	2
