artist_id	name	genres	num_hits	num_collab_hits
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	39	4
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	33	15
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	26	10
6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	['dance pop', 'pop', 'uk pop']	26	12
699OTQXzgjhIYAHMy9RyPD	Playboi Carti	['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']	26	5
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	25	7
0Y2zzjMum7MSOCvI0GNbv5	OG Version	['lithuanian hip hop', 'lithuanian pop', 'lithuanian trap']	25	14
4O15NlyKLIASxsJ0PrXPfz	Lil Uzi Vert	['melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']	25	12
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	24	11
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	23	14
3MZsBdqDrRTJihTHQrO6Dq	Joji	['viral pop']	23	6
4DQbaxUPm9YqY4ytHU4c7e	MITCH RECORDS	[]	21	20
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	19	2
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	19	14
1HY2Jd0NmPuamShAr6KMms	Lady Gaga	['art pop', 'dance pop', 'pop']	19	6
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	17	13
1URnnhqYAYcrqrcwql10ft	21 Savage	['atl hip hop', 'hip hop', 'rap', 'trap']	17	17
23fqKkggKUBHNkbKtXEls4	Kygo	['edm', 'pop', 'pop dance', 'tropical house']	16	16
0iEtIxbK0KxaSlF7G42ZOp	Metro Boomin	['rap']	16	16
4r63FhuTkUYltbVAg5TQnk	DaBaby	['hip hop', 'north carolina hip hop', 'rap', 'trap']	16	12
0fA0VVWsXO9YnASrzqfmYu	Kid Cudi	['hip hop', 'ohio hip hop', 'pop rap', 'rap']	15	5
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	15	1
0C8ZW7ezQVs4URX5aX7Kqx	Selena Gomez	['pop', 'post-teen pop']	14	3
41MozSoPIsD1dJM0CLPjZF	BLACKPINK	['k-pop', 'k-pop girl group', 'pop']	13	5
1IguwRyjy5JKRb9ErCQsq1	Abudu	['baltic post-punk', 'lithuanian pop']	13	0
4LLpKhyESsyAXpc4laK94U	Mac Miller	['hip hop', 'pittsburgh rap', 'rap']	13	0
2wY79sveU1sp5g7SokKOiI	Sam Smith	['pop', 'uk pop']	12	4
1RyvyyTE3xzB2ZywiAwp0i	Future	['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']	12	12
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	12	10
26VFTg2z8YR0cCuwLzESi2	Halsey	['electropop', 'etherpop', 'indie poptimism', 'pop']	12	5
3ijila8dsJCViL148nKkW9	Solo Ansamblis	['baltic post-punk', 'lithuanian pop']	11	0
1GxkXlMwML1oSg5eLPiAz3	Michael Bublé	['adult standards', 'canadian pop', 'jazz pop', 'lounge']	11	4
7EvvLZS0GP7XuNlWFFXpFR	Lilas ir Innomine	['lithuanian hip hop', 'lithuanian pop']	11	3
5JZ7CnR6gTvEMKX4g70Amv	Lauv	['pop']	11	7
3RVo39Gdcw1dRZV6Ur9emz	DIXON	[]	11	11
1nzgtKYFckznkcVMR3Gg4z	KSI	['uk hip hop']	10	6
5INjqkS1o8h1imAzPqGZBb	Tame Impala	['australian psych', 'modern rock', 'neo-psychedelic', 'rock']	10	0
5RmQ8k4l3HZ8JoPb4mNsML	Agust D	['k-rap']	10	4
2hlmm7s2ICUX0LVIhVFlZQ	Gunna	['atl hip hop', 'melodic rap', 'rap', 'trap']	10	9
5WUlDfRSoLAfcVSX1WnrxN	Sia	['australian dance', 'australian pop', 'pop']	10	4
56OLtN2Eqc3fMT40ehCj5d	Justinas Jarutis	['lithuanian pop']	10	5
5cj0lLjcoR7YOSnhnX0Po5	Doja Cat	['dance pop', 'pop']	9	6
757aE44tKEUQEqRuT6GnEB	Roddy Ricch	['melodic rap', 'rap', 'trap']	9	8
0eDvMgVFoNV3TpwtrVCoTj	Pop Smoke	['brooklyn drill', 'rap']	9	6
53xjuOkCa7byXggNs2VZOw	Furytto	['lithuanian trap']	9	7
4Gso3d4CscCijv0lmajZWs	Don Toliver	['rap', 'trap']	9	5
4npEfmQ6YuiwW1GpUmaq3F	Ava Max	['pop']	8	1
2HhdwMR6R7qJ7cbZugtsrw	Mitch	[]	8	8
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	8	7
6ZjFtWeHP9XN7FeKSUe80S	Bing Crosby	['adult standards', 'easy listening', 'lounge']	8	3
0CinAWYkte8opxVAPI3nMu	Jessica Shy	['lithuanian pop']	8	5
7n2wHs1TKAczGzO7Dd2rGr	Shawn Mendes	['canadian pop', 'pop', 'viral pop']	8	4
5YGY8feqx7naU7z4HrwZM6	Miley Cyrus	['pop']	8	2
2LIk90788K0zvyj2JJVwkJ	Jack Harlow	['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']	8	4
50co4Is1HCEo8bhOyUWKpn	Young Thug	['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']	8	8
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	7	5
6jx9UX4W6wVbifcN8U246U	Jovani	['lithuanian edm', 'lithuanian pop']	7	5
1yxSLGMDHlW21z4YXirZDS	Black Eyed Peas	['dance pop', 'pop', 'pop rap']	7	6
2tIP7SsRs7vjIcLrU85W8J	The Kid LAROI	['australian hip hop']	7	4
3jfKIjYYnAfdUW40Uragnd	Free Finga	['lithuanian hip hop', 'lithuanian pop']	7	3
5NZYAepZio6FuS3htuvEth	SoS.A.	[]	7	7
0XNKQFs2Ewb3y0VsFUFc5l	MORGENSHTERN	['russian hip hop', 'russian trap']	6	5
2cFrymmkijnjDg9SS92EPM	blackbear	['pop']	6	4
183TKnqzjgiFZGO0EGvpUh	M.A.K.	[]	6	6
64KEffDW9EtZ1y2vBYgq8T	Marshmello	['brostep', 'edm', 'pop', 'progressive electro house']	6	6
77SW9BnxLY8rJ0RciFqkHh	The Neighbourhood	['modern alternative rock', 'modern rock', 'pop', 'pov: indie']	6	0
3AA28KZvwAUcZuOKwyblJQ	Gorillaz	['alternative hip hop', 'modern rock', 'rock']	5	5
181bsRPaVXVlUKXrxwZfHK	Megan Thee Stallion	['houston rap', 'pop', 'rap', 'trap queen']	5	3
1G29J8b3UnUFUilGCbUlXf	ACO	['japanese jazztronica', 'shibuya-kei']	5	5
2NjfBq1NflQcKSeiDooVjY	Tones And I	['australian pop']	5	0
5Rl15oVamLq7FbSb0NNBNy	5 Seconds of Summer	['boy band', 'pop']	5	0
0H39MdGGX6dbnnQPt6NQkZ	SAINt JHN	['melodic rap', 'slap house']	5	5
5rGrDvrLOV2VV8SCFVGWlj	Imanbek	['electro house', 'pop dance', 'slap house']	5	5
1i8SpTcr7yvPOmcqrbnVXY	Ozuna	['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']	5	5
6JOVhCHXHhk92Eo6ppVNlE	Beissoul & Einius	['lithuanian pop']	5	0
0T5UNkhytLQkUMkkAqhDzf	8 Kambarys	['lithuanian hip hop', 'lithuanian pop']	5	2
7gOdHgIoIKoe4i9Tta6qdD	Jonas Brothers	['boy band', 'pop']	5	1
4nDoRrQiYLoBzwC5BhVJzF	Camila Cabello	['dance pop', 'pop']	5	4
3e7awlrlDSwF3iM0WBjGMp	Little Mix	['girl group', 'pop', 'talent show', 'uk pop']	5	0
5f7VJjfbwm532GiveGC0ZK	Lil Baby	['atl hip hop', 'atl trap', 'rap', 'trap']	5	3
6KImCVD70vtIoJWnq6nGn3	Harry Styles	['pop']	5	0
6jJ0s89eD6GaHleKKya26X	Katy Perry	['pop']	5	0
4iHNK0tOyZPYnBU7nGAgpQ	Mariah Carey	['dance pop', 'pop', 'urban contemporary']	5	1
5Pwc4xIPtQLFEnJriah9YJ	OneRepublic	['piano rock', 'pop']	5	2
1dfeR4HaWDbWqFHLkxsg1d	Queen	['classic rock', 'glam rock', 'rock']	5	1
4q3ewBCX7sLwd24euuV69X	Bad Bunny	['reggaeton', 'trap latino', 'urbano latino']	5	3
1Mxqyy3pSjf8kZZL4QVxS0	Frank Sinatra	['adult standards', 'easy listening', 'lounge']	5	1
1kfCwVVXg1E5gFZQPM152L	jautì	['baltic post-punk', 'lithuanian indie', 'lithuanian pop']	5	0
4kYSro6naA4h99UJvo89HB	Cardi B	['pop', 'rap']	4	4
0qSX3s5pJnAlSsgsCne8Cz	Brett Eldredge	['contemporary country', 'country', 'country road', 'modern country rock']	4	2
0c173mlxpT3dSFRgMO8XPh	Big Sean	['detroit hip hop', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']	4	4
1Hsdzj7Dlq2I7tHP7501T4	Niall Horan	['pop']	4	0
7c0XG5cIJTrrAgEC3ULPiq	Ty Dolla $ign	['hip hop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']	4	4
6S2OmqARrzebs0tKUEyXyp	Demi Lovato	['pop', 'post-teen pop']	4	2
3PhoLpVuITZKcymswpck5b	Elton John	['glam rock', 'mellow gold', 'piano rock', 'rock']	4	2
1OB278sOZVSFx5vXqYha83	J. Rey Soul	[]	4	4
6fWVd57NKTalqvmjRd2t8Z	24kGoldn	['cali rap']	4	3
4Uc8Dsxct0oMqx0P6i60ea	Conan Gray	['bedroom pop', 'pop', 'pov: indie']	4	1
3McTKJDgAb7YHbPYOp9LQL	Donny Montell	['lithuanian pop']	4	1
6l3HvQ5sa6mXTsMTB19rO5	J. Cole	['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']	4	0
0VRj0yCOv2FXJNP47XQnx5	Quavo	['atl hip hop', 'melodic rap', 'rap', 'trap']	4	4
5ZsFI1h6hIdQRw2ti0hz81	ZAYN	['pop', 'uk pop']	4	3
1j7EykIII5bXsfuu4EQ0Zq	Keanu Blunt	['lithuanian pop']	4	4
1vyhD5VmyZ7KMfW5gqLgo5	J Balvin	['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']	4	3
3WGpXCj9YhhfX11TToZcXP	Troye Sivan	['australian pop', 'pop', 'viral pop']	4	2
6YxtMx8c5tjVRRHsqjEERp	M.O.030	['german hip hop']	4	3
6MPCFvOQv5cIGfw3jODMF0	Internet Money	['pop rap']	4	4
7rkW85dBwwrJtlHRDkJDAC	NAV	['canadian hip hop', 'canadian trap', 'melodic rap', 'rap', 'toronto rap', 'trap']	4	4
5fMUXHkw8R8eOP2RNVYEZX	Diplo	['edm', 'electro house', 'moombahton', 'pop dance']	4	4
4LEiUm1SRbFMgfqnQTwUbQ	Bon Iver	['chamber pop', 'eau claire indie', 'indie folk', 'melancholia', 'modern rock']	4	1
07YZf4WDAMNwqr4jfgOZ8y	Jason Derulo	['dance pop', 'pop']	4	3
1wFdWxzcJOmD61tZBVk0lu	Jazzu	['lithuanian pop']	4	0
6icQOAFXDZKsumw3YXyusw	Lil Yachty	['atl hip hop', 'melodic rap', 'rap', 'trap']	4	4
49e4v89VmlDcFCMyDv9wQ9	Dean Martin	['adult standards', 'easy listening', 'lounge', 'vocal jazz']	4	0
7d3r71GLq14ZSF9TNxhyDt	7th Block	['lithuanian hip hop', 'lithuanian trap']	4	1
1XLWox9w1Yvbodui0SRhUQ	StaySolidRocky	['melodic rap']	4	2
7o4wZjVHHWe4gw4oenPmcK	Evgenya Redko	['lithuanian pop']	4	2
2vf4pRsEY6LpL5tKmqWb64	Elderbrook	[]	4	1
0hCNtLu0JehylgoiP8L4Gh	Nicki Minaj	['hip pop', 'pop', 'queens hip hop', 'rap']	4	4
4yvcSjfu4PC0CYQyLy4wSq	Glass Animals	['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']	4	0
7Ln80lUS6He07XvHI8qqHH	Arctic Monkeys	['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']	4	0
5XmuuM2C6t4HSPa3FSuU3h	WanMor	[]	4	4
6JL8zeS1NmiOftqZTRgdTz	Meghan Trainor	['hip pop', 'pop']	4	2
34G31kGbSQmemVlI0G784o	THE ROOP	['lithuanian rock']	4	0
5LHRHt1k9lMyONurDHEdrp	Tyga	['hip hop', 'pop rap', 'rap', 'trap']	4	3
3sgAdiPhuvZrC1Di13TVbO	Flying Saucer Gang	['lithuanian hip hop', 'lithuanian pop', 'lithuanian trap']	4	2
7uaIm6Pw7xplS8Dy06V6pT	Trevor Daniel	['melodic rap']	3	1
3mIj9lX2MWuHmhNCA7LSCW	The 1975	['modern alternative rock', 'modern rock', 'pop', 'pov: indie', 'rock']	3	0
0seAUteh6YCMTYjXgAOpMz	Marijonas Mikutavičius	['lithuanian pop']	3	0
69GGBxA162lTqCwzJG5jLp	The Chainsmokers	['electropop', 'pop']	3	3
5pUo3fmmHT8bhCyHE52hA6	Liam Payne	['pop']	3	2
55jryyk7RhvMbrvoF0ndBh	SLAVA MARLOW	['russian hip hop']	3	1
6trIghKwHRUyxwvm66HLHH	Fousheé	['indie r&b']	3	2
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	3	3
3t5xRXzsuZmMDkQzgOX35S	Robin Schulz	['deep euro house', 'deep house', 'edm', 'german dance', 'pop dance', 'tropical house']	3	3
06DWHsuUorE205znY5eYfs	2Kvėpavimas	['lithuanian pop']	3	0
3BmGtnKgCSGYIUhmivXKWX	Kelly Clarkson	['dance pop', 'pop', 'talent show']	3	1
4zbz40hlj1xjpP8npH8A8a	Monique	['lithuanian pop']	3	1
6Gk5hoM7eW8NSCYhICMDHw	Zak Abel	['uk contemporary r&b']	3	3
5V0MlUE1Bft0mbLlND7FJz	Ella Fitzgerald	['adult standards', 'jazz', 'jazz blues', 'soul', 'swing', 'vocal jazz']	3	0
2cWZOOzeOm4WmBJRnD5R7I	Normani	['pop', 'r&b']	3	3
3KwmxIhSe9UTSEF37kwngR	SHAED	['electropop']	3	3
0LcJLqbBmaGUft1e9Mm8HV	ABBA	['europop', 'swedish pop']	3	0
7xaDVu3YWJLnyoExZy9iWt	NKSN	['german r&b']	3	3
2YLwIrzSnsbpBMKWzwu6JD	Monika LIU	['lithuanian indie', 'lithuanian pop']	3	0
1Cs0zKBU1kc0i8ypK3B9ai	David Guetta	['big room', 'dance pop', 'edm', 'pop', 'pop dance']	3	3
7A8S43ryYdbWpJKeHRZRcq	JACKBOYS	['pop rap']	3	3
7c3dFZZx9JueKPMYFZ1hXx	VELVET	['lithuanian pop']	3	1
7gZfnEnfiaHzxARJ2LeXrf	6ix9ine	['emo rap']	3	1
