artist_id	name	genres	years_on_charts	num_hits	num_collab_hits
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	[2017, 2018, 2019, 2020, 2021, 2022]	67	32
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	40	29
0eDvMgVFoNV3TpwtrVCoTj	Pop Smoke	['brooklyn drill', 'rap']	[2020, 2021]	40	26
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	[2018, 2019, 2020, 2021, 2022]	38	15
3CJKkU0XuElRT1z8rEtIYg	Luciano	['german drill', 'german hip hop']	[2019, 2020, 2021, 2022]	36	16
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	[2017, 2019, 2020, 2021, 2022]	31	11
1aS5tqEs9ci5P9KD9tZWa6	Bonez MC	['german hip hop', 'hamburg hip hop']	[2017, 2019, 2020, 2021, 2022]	31	18
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	[2017, 2019, 2020, 2021, 2022]	30	12
5eioJDe26lOqkAMbuhzZYs	Gzuz	['deep german hip hop', 'german hip hop', 'hamburg hip hop']	[2017, 2019, 2020, 2021, 2022]	28	16
2UwqpfQtNuhBwviIC0f2ie	Damso	['belgian hip hop', 'french hip hop', 'pop urbaine', 'r&b francais', 'rap belge', 'rap conscient']	[2019, 2020, 2021, 2022]	28	7
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	26	16
6ZjFtWeHP9XN7FeKSUe80S	Bing Crosby	['adult standards', 'easy listening', 'lounge']	[2017, 2018, 2019, 2020, 2021]	26	7
4WZGDpNwrC0vNQyl9QzF7d	Capital Bra	['german hip hop']	[2018, 2019, 2020, 2021, 2022]	25	17
5pVRwX5ZQR7hfJ18w8ZYkl	Ufo361	['german cloud rap', 'german hip hop']	[2019, 2020, 2021, 2022]	24	16
0Dvx6p8JDyzeOPGmaCIH1L	RAF Camora	['german hip hop']	[2017, 2019, 2020, 2021, 2022]	23	12
6Te49r3A6f5BiIgBRxH7FH	Ninho	['french hip hop', 'pop urbaine']	[2019, 2020, 2021, 2022]	22	7
2hlmm7s2ICUX0LVIhVFlZQ	Gunna	['atl hip hop', 'melodic rap', 'rap', 'trap']	[2019, 2020, 2021, 2022]	20	14
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	[2017, 2018, 2019, 2020, 2021]	20	15
58wXmynHaAWI5hwlPZP3qL	Booba	['french hip hop', 'old school rap francais', 'pop urbaine', 'rap conscient']	[2019, 2020, 2021]	19	10
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	[2017, 2018, 2019, 2020, 2021]	19	10
1GxkXlMwML1oSg5eLPiAz3	Michael Bublé	['adult standards', 'canadian pop', 'jazz pop', 'lounge']	[2017, 2018, 2019, 2020, 2021]	18	6
6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	['dance pop', 'pop', 'uk pop']	[2017, 2018, 2019, 2020, 2021, 2022]	18	11
3NH8t45zOTqzlZgBvZRjvB	PNL	['french hip hop', 'pop urbaine']	[2018, 2019]	17	0
6h1s4i4XKIYv4ErDelLDN0	Samra	['german hip hop']	[2019, 2020, 2021]	17	12
2kXKa3aAFngGz2P4GjG5w2	SCH	['french hip hop', 'pop urbaine', 'rap francais', 'rap marseille']	[2020, 2021]	17	6
54kCbQZaZWHnwwj9VP2hn4	Zola	['french hip hop', 'pop urbaine', 'r&b francais', 'rap francais']	[2019, 2020]	16	3
4FpJcNgOvIpSBeJgRg3OfN	Orelsan	['french hip hop', 'old school rap francais', 'rap conscient']	[2021]	16	3
7jVv8c5Fj3E9VhNjxT4snq	Lil Nas X	['lgbtq+ hip hop']	[2019, 2020, 2021, 2022]	15	8
1qQLhymHXFPtP5U8KNKsm6	Apache 207	['german hip hop']	[2019, 2020, 2021]	15	1
5j4HeCoUlzhfWtjAfM1acR	Stromae	['belgian pop', 'g-house']	[2021, 2022]	15	0
