artist_id	name	genres	num_hits	num_collab_hits
0XNKQFs2Ewb3y0VsFUFc5l	MORGENSHTERN	['russian hip hop', 'russian trap']	44	13
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	37	25
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	34	3
52SusfPq6EW5PgrjUqMHSy	Prāta Vētra	['latvian pop']	33	10
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	29	9
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	26	2
0eDvMgVFoNV3TpwtrVCoTj	Pop Smoke	['brooklyn drill', 'rap']	24	16
0lAWpj5szCSwM4rUMHYmrr	Måneskin	['indie rock italiano', 'italian pop', 'pop']	22	0
1gCOYbJNUa1LBVO5rlx0jB	Oxxxymiron	['russian grime', 'russian hip hop', 'russian trap']	22	0
4dpARuHxo51G3z768sgnrY	Adele	['british soul', 'pop', 'pop soul', 'uk pop']	21	0
1OZcpETfzoPuEHJN5Y9qUc	Carnival Youth	['indie surf', 'latvian indie', 'latvian pop']	20	0
4V8LLVI7PbaPR0K2TGSxFF	Tyler, The Creator	['hip hop', 'rap']	19	10
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	19	13
2KoLmBXwsgMkfAvoPBlPmb	Egor Kreed	['russian hip hop', 'russian pop']	18	10
5NMwoStnfHT4LdETlJSwDT	Big Baby Tape	['russian hip hop', 'russian trap']	18	17
55jryyk7RhvMbrvoF0ndBh	SLAVA MARLOW	['russian hip hop']	18	9
1nzgtKYFckznkcVMR3Gg4z	KSI	['uk hip hop']	18	12
3X4o7qy1ci4qtCVg2AtuXb	Singapūras Satīns	['latvian hip hop']	17	5
6l3HvQ5sa6mXTsMTB19rO5	J. Cole	['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']	17	7
5NipqMGsY4AUeb7kGT8aVz	kizaru	['russian emo rap', 'russian hip hop', 'russian trap']	17	16
7jVv8c5Fj3E9VhNjxT4snq	Lil Nas X	['lgbtq+ hip hop']	17	6
6AgTAQt8XS6jRWi4sX7w49	Polo G	['chicago rap', 'rap']	16	11
5cj0lLjcoR7YOSnhnX0Po5	Doja Cat	['dance pop', 'pop']	15	9
01pSsqt7FLdq2SC6UqjER3	Raimonds Pauls	['classic latvian pop', 'latvian pop']	15	14
5meD8C7oGK5yUEY2T7ZZ7W	Max Korzh	['belarusian hip hop', 'russian hip hop']	15	0
0LcJLqbBmaGUft1e9Mm8HV	ABBA	['europop', 'swedish pop']	15	0
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	14	3
1McMsnEElThX1knmY4oliG	Olivia Rodrigo	['pop']	14	0
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	14	9
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	14	2
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	13	8
6DTzn5I7ckMyeB2ChPQCef	Edavārdi	['latvian hip hop']	13	3
1GxkXlMwML1oSg5eLPiAz3	Michael Bublé	['adult standards', 'canadian pop', 'jazz pop', 'lounge']	13	4
6Xgp2XMz1fhVYe7i6yNAax	Trippie Redd	['melodic rap', 'rap', 'trap']	13	11
3YQKmKGau1PzlVlkL1iodx	Twenty One Pilots	['modern rock', 'pop', 'pov: indie', 'rock']	13	0
1VPmR4DJC1PlOtd0IADAO0	$uicideboy$	['cloud rap', 'dark trap', 'new orleans rap', 'underground hip hop']	13	1
7LT18zOJn9Z83KN4IwpfAr	Ziedu Vija	['latvian hip hop']	13	3
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	12	7
7tkMUE1aCZQssaTYKdgmry	ansis	['latvian hip hop']	12	7
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	12	4
13ubrt8QOOCPljQ2FL1Kca	A$AP Rocky	['east coast hip hop', 'hip hop', 'rap', 'trap']	12	5
33tFkBLsl6f8TjKkV0uF0C	Lovejoy	['pixel', 'pov: indie']	12	0
6lCjsH7dRjXIbYHdRJHAc1	Labvēlīgais Tips	['latvian pop']	11	0
4Yc8JFIitXc6EHFlvlMElf	Katō	['latvian pop']	10	1
39wUlmskWbXVwU5Ttw2cJL	Eliots	['latvian hip hop']	10	4
181bsRPaVXVlUKXrxwZfHK	Megan Thee Stallion	['houston rap', 'pop', 'rap', 'trap queen']	9	7
6oO3QiWdVj5FZQwbdRtsRh	Zemfira	['classic russian rock', 'russian rock', 'tatar pop']	9	0
4icoz2e4mkyQaZbGH4cjwy	IGO	['latvian pop', 'latvian rock']	9	4
