artist_id	name	genres	num_hits	num_collab_hits
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	19	11
0bmKQDkU4J3gUykZS8tb6v	LFERDA	['arabic hip hop', 'north moroccan rap', 'rap maroc']	18	5
7CUFPNi1TU8RowpnFRSsZV	Niska	['french hip hop', 'pop urbaine', 'r&b francais']	17	7
2kXKa3aAFngGz2P4GjG5w2	SCH	['french hip hop', 'pop urbaine', 'rap francais', 'rap marseille']	17	6
7fmcLXdUj5tVr806b7Uzt3	7liwa	['arabic hip hop', 'rap maroc']	17	5
2iHkY7NEHJSOF6O7rQaDww	Naar	['rap maroc', 'trap maroc']	17	17
0GgY7hjMoGDsX8ZDe2mwds	Soolking	['french hip hop', 'pop urbaine', 'r&b francais', 'rap algerien']	13	7
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	12	10
3YwqjMyrRfuixi2pbgTGCE	Heuss L'enfoiré	['french hip hop', 'pop urbaine', 'rap francais']	9	7
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	9	4
1H0D7p5aN8tGG8DPLt0Nbv	Lbenj	['arabic hip hop', 'moroccan pop', 'rap maroc']	9	6
7DBIKXxSh2BMPqSN7UB4rS	Madd	['arabic hip hop', 'rap maroc', 'trap maroc']	8	5
6Te49r3A6f5BiIgBRxH7FH	Ninho	['french hip hop', 'pop urbaine']	8	6
4BFLElxtBEdsdwGA1kHTsx	ElGrandeToto	['arabic hip hop', 'rap maroc']	8	2
1vyhD5VmyZ7KMfW5gqLgo5	J Balvin	['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']	7	7
7jVv8c5Fj3E9VhNjxT4snq	Lil Nas X	['lgbtq+ hip hop']	7	3
5zEEIY6GgehBNaA70JTMSL	Moov'art	[]	7	7
0NXrycBiXx8pi8yxU2ZaMY	MC JAY	[]	7	7
6vXTefBL93Dj5IqAWq6OTv	French Montana	['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']	6	4
4nDoRrQiYLoBzwC5BhVJzF	Camila Cabello	['dance pop', 'pop']	6	4
0NjXtqYWpnV055KhfZgtuY	Saad Lamjarred	['arab pop', 'moroccan pop', 'rif', 'shaabi']	6	2
4cgw3nEf6uOQ2NqHwSXErR	Balti	['arabic hip hop', 'rif', 'tunisian pop']	5	3
50co4Is1HCEo8bhOyUWKpn	Young Thug	['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']	5	5
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	5	5
7A8S43ryYdbWpJKeHRZRcq	JACKBOYS	['pop rap']	5	4
32CwjdHMHSpEkC3UAyIwPp	Hatim Ammor	['arab pop', 'moroccan pop', 'rif']	5	0
3NH8t45zOTqzlZgBvZRjvB	PNL	['french hip hop', 'pop urbaine']	5	0
4sbXXFzEWJY2zsZjelerjX	Dadju	['french hip hop', 'pop urbaine', 'r&b francais']	4	3
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	4	2
4r63FhuTkUYltbVAg5TQnk	DaBaby	['hip hop', 'north carolina hip hop', 'rap', 'trap']	4	3
3jrZXTzqSuTBdfJeoSts1n	Anas	['r&b francais']	4	4
1zNqQNIdeOUZHb8zbZRFMX	Swae Lee	['melodic rap', 'rap', 'trap']	4	4
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	4	3
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	4	4
5LHRHt1k9lMyONurDHEdrp	Tyga	['hip hop', 'pop rap', 'rap', 'trap']	4	3
6KImCVD70vtIoJWnq6nGn3	Harry Styles	['pop']	4	0
5Et8bRmkENeaA7SPwj1OxL	Shobee	['rap maroc', 'trap maroc']	4	4
7douYKOyzk9ZRvGFu9UOnm	Mons	['rap maroc']	4	1
1q7T9rFQ2a2ukA1PU51fo3	Koba LaD	['french hip hop', 'pop urbaine', 'rap francais']	4	3
26VFTg2z8YR0cCuwLzESi2	Halsey	['electropop', 'etherpop', 'indie poptimism', 'pop']	4	2
3977Z9BZCFbJQYwdIdVwgc	Tagne	['rap maroc']	3	3
4kYSro6naA4h99UJvo89HB	Cardi B	['pop', 'rap']	3	3
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	3	3
6eQdvOOIyiwu6kfzdbUnxU	Muslim	['arabic hip hop', 'moroccan pop', 'north moroccan rap', 'rap maroc']	3	0
7ltDVBr6mKbRvohxheJ9h1	ROSALÍA	['pop', 'r&b en espanol']	3	3
2g8Pu5gVtDpkYGsP3RLepJ	Draganov	['rap maroc']	3	0
3CnCGFxXbOA8bAK54jR8js	Vald	['french hip hop', 'pop urbaine', 'rap conscient']	3	2
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	3	2
25eYSizNX4BK5ZtqAq8pE8	Nouamane Belaiachi	['arab pop', 'moroccan pop']	3	0
4Ga1P7PMIsmqEZqhYZQgDo	Lil Tecca	['melodic rap', 'pluggnb', 'rap']	3	0
4Gso3d4CscCijv0lmajZWs	Don Toliver	['rap', 'trap']	3	2
0CaWnepnGfVPs8uNwOzav6	Zouhair Bahaoui	['moroccan pop', 'rif']	3	0
1LdM8YpAO4V6YRsIfJWlpZ	Hazim Jam	[]	3	3
540vIaP2JwjQb9dm3aArA4	DJ Snake	['edm', 'electronic trap', 'pop', 'pop dance']	3	3
3KwmxIhSe9UTSEF37kwngR	SHAED	['electropop']	3	2
74YbW6s8CZdaYLxJU9HeS7	Mister You	['french hip hop', 'pop urbaine']	3	3
6OcVa1v58BotEENN2biu1M	Tiiwtiiw	['moroccan pop', 'rif']	3	2
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	3	3
37lslcg6zP6eAQAONiYvWN	ISSAM	['rap maroc', 'trap maroc']	3	2
292jMVlKq180yzi8WRaVU6	7ari	['arabic hip hop', 'rap maroc']	3	1
