artist_id	name	genres	years_on_charts	num_hits	num_collab_hits
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	[2019, 2020, 2021, 2022]	142	18
4BFLElxtBEdsdwGA1kHTsx	ElGrandeToto	['arabic hip hop', 'rap maroc']	[2019, 2020, 2021, 2022]	75	39
6Te49r3A6f5BiIgBRxH7FH	Ninho	['french hip hop', 'pop urbaine']	[2019, 2020, 2021, 2022]	70	34
0GgY7hjMoGDsX8ZDe2mwds	Soolking	['french hip hop', 'pop urbaine', 'r&b francais', 'rap algerien']	[2019, 2020, 2021, 2022]	60	37
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	[2019, 2020, 2021, 2022]	57	38
2kXKa3aAFngGz2P4GjG5w2	SCH	['french hip hop', 'pop urbaine', 'rap francais', 'rap marseille']	[2019, 2020, 2021]	56	26
0bmKQDkU4J3gUykZS8tb6v	LFERDA	['arabic hip hop', 'north moroccan rap', 'rap maroc']	[2019, 2020, 2021, 2022]	56	16
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	[2019, 2020, 2021, 2022]	55	15
36K2nrm363VIEONhc2D5Mo	Nessyou	['rap maroc']	[2020, 2021, 2022]	46	25
7fmcLXdUj5tVr806b7Uzt3	7liwa	['arabic hip hop', 'rap maroc']	[2019, 2020, 2021, 2022]	45	15
2g8Pu5gVtDpkYGsP3RLepJ	Draganov	['rap maroc']	[2019, 2020, 2021, 2022]	45	15
6L34dW6SKMSDaGIfYDU19j	Maes	['french hip hop', 'pop urbaine', 'rap francais']	[2019, 2020, 2021]	45	21
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	[2019, 2020, 2021, 2022]	44	29
3977Z9BZCFbJQYwdIdVwgc	Tagne	['rap maroc']	[2019, 2020, 2021, 2022]	43	35
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	[2019, 2020, 2021, 2022]	43	10
7DUTsWY3RBd64vh8UtgtYA	Lacrim	['arabic hip hop', 'french hip hop', 'pop urbaine', 'rap francais']	[2020, 2021]	43	20
2UwqpfQtNuhBwviIC0f2ie	Damso	['belgian hip hop', 'french hip hop', 'pop urbaine', 'r&b francais', 'rap belge', 'rap conscient']	[2019, 2020, 2021, 2022]	41	15
0eDvMgVFoNV3TpwtrVCoTj	Pop Smoke	['brooklyn drill', 'rap']	[2019, 2020, 2021]	41	27
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	[2019, 2020, 2021, 2022]	41	21
7DBIKXxSh2BMPqSN7UB4rS	Madd	['arabic hip hop', 'rap maroc', 'trap maroc']	[2019, 2020, 2021, 2022]	37	17
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	[2019, 2020, 2021, 2022]	37	28
5Do9u0GoN4gFn6Nk8NGDhh	Stormy	['rap maroc']	[2020, 2021, 2022]	35	28
58wXmynHaAWI5hwlPZP3qL	Booba	['french hip hop', 'old school rap francais', 'pop urbaine', 'rap conscient']	[2019, 2020, 2021]	34	18
7CUFPNi1TU8RowpnFRSsZV	Niska	['french hip hop', 'pop urbaine', 'r&b francais']	[2019, 2020, 2021]	33	19
37lslcg6zP6eAQAONiYvWN	ISSAM	['rap maroc', 'trap maroc']	[2019, 2020, 2021, 2022]	32	6
7ggM69yllqpMykcU8Tror4	Inkonnu	['arabic hip hop', 'rap maroc']	[2019, 2020, 2021, 2022]	32	11
16S0vhZYtrfR4kksycV4NS	Dollypran	['rap maroc']	[2020, 2021, 2022]	32	9
1gEQbGxdBq1vvCskS9qQBI	Tflow	['rap maroc']	[2019, 2020, 2021, 2022]	30	9
50co4Is1HCEo8bhOyUWKpn	Young Thug	['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']	[2019, 2020, 2021, 2022]	29	29
1q7T9rFQ2a2ukA1PU51fo3	Koba LaD	['french hip hop', 'pop urbaine', 'rap francais']	[2019, 2020, 2021]	29	18
3IW7ScrzXmPvZhB27hmfgy	Jul	['french hip hop', 'pop urbaine', 'rap marseille']	[2019, 2020, 2021, 2022]	28	23
5RmQ8k4l3HZ8JoPb4mNsML	Agust D	['k-rap']	[2020, 2022]	28	10
1akll7SRGZblDrbCF5eqYW	Moro	['arabic hip hop', 'rap maroc']	[2019, 2020, 2021, 2022]	27	7
7yK3vix9XmeNwPDmjGs78F	Manal	['arabic hip hop', 'moroccan pop', 'rap maroc']	[2019, 2020, 2021, 2022]	27	6
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	[2019, 2020, 2021, 2022]	26	17
76Pl0epAMXVXJspaSuz8im	Freeze corleone	['drill francais', 'french hip hop', 'melodic drill', 'pop urbaine', 'rap francais']	[2020, 2021, 2022]	26	18
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	[2019, 2020, 2021, 2022]	25	13
2hlmm7s2ICUX0LVIhVFlZQ	Gunna	['atl hip hop', 'melodic rap', 'rap', 'trap']	[2019, 2020, 2021, 2022]	25	21
