artist_id	name	genres	num_hits	num_collab_hits
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	27	6
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	10	6
3qNVuliS40BLgXGxhdBdqu	TAEYEON	['k-pop']	8	0
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	8	3
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	8	3
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	8	2
0du5cEVh5yTK9QJze8zA0C	Bruno Mars	['dance pop', 'pop']	7	2
5t5FqBwTcgKTaWmfEbwQY9	ENHYPEN	['anime', 'k-pop boy group']	7	0
1McMsnEElThX1knmY4oliG	Olivia Rodrigo	['pop']	6	0
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	6	3
5cj0lLjcoR7YOSnhnX0Po5	Doja Cat	['dance pop', 'pop']	5	3
7bmFi3dRcpOeOPbSlxIjlZ	MY ASTRO	['chinese new year']	5	0
6VuMaDnrHyPL1p4EHjYLi7	Charlie Puth	['pop', 'viral pop']	4	1
4dpARuHxo51G3z768sgnrY	Adele	['british soul', 'pop', 'pop soul', 'uk pop']	4	0
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	4	1
0ghlgldX5Dd6720Q3qFyQB	TOMORROW X TOGETHER	['k-pop', 'k-pop boy group']	4	1
7n2wHs1TKAczGzO7Dd2rGr	Shawn Mendes	['canadian pop', 'pop', 'viral pop']	4	1
5q14poHz6Y4vBPQuoIpW4P	萧慧敏	['chinese new year']	4	4
3KonOYiLsU53m4yT7gNotP	TREASURE	['k-pop', 'k-pop boy group']	4	0
3pc0bOVB5whxmD50W79wwO	keshi	['chill r&b']	4	0
28ot3wh4oNmoFOdVajibBl	NMIXX	['k-pop', 'k-pop girl group']	4	0
45dkTj5sMRSjrmBSBeiHym	Tate McRae	['alt z', 'pop']	3	0
69GGBxA162lTqCwzJG5jLp	The Chainsmokers	['electropop', 'pop']	3	1
6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	['dance pop', 'pop', 'uk pop']	3	3
6YVMFz59CuY7ngCxTxjpxE	aespa	['k-pop', 'k-pop girl group']	3	0
4GxWcui9BlMJH9VOOK5wav	Higuchi Ai	['japanese alternative pop']	3	0
7IbirpOtEB8tSt1J92hQgm	颜江瀚	[]	3	3
4s2peokY3WrwOhO3qEhDnW	叶朝明	[]	3	3
3IynDDZJQtqPTaIgrohZHQ	吴家润	[]	3	3
26VFTg2z8YR0cCuwLzESi2	Halsey	['electropop', 'etherpop', 'indie poptimism', 'pop']	3	2
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	3	2
5L1lO4eRHmJ7a0Q6csE5cT	LISA	['k-pop']	3	1
7jVv8c5Fj3E9VhNjxT4snq	Lil Nas X	['lgbtq+ hip hop']	3	1
4mKXYwZubZTtohXeXQKOU9	邱诗凌	[]	3	3
4qwGe91Bz9K2T8jXTZ815W	Janet Jackson	['dance pop', 'r&b', 'urban contemporary']	3	0
04gDigrS5kc9YWfZHwBETP	Maroon 5	['pop']	3	2
2feDdbD5araYcm6JhFHHw7	Labrinth	['indie poptimism', 'pop']	3	3
6sCbFbEjbYepqswM1vWjjs	Zendaya	['pop', 'post-teen pop']	3	3
181bsRPaVXVlUKXrxwZfHK	Megan Thee Stallion	['houston rap', 'pop', 'rap', 'trap queen']	3	3
4gzpq5DPGxSnKTe4SA8HAU	Coldplay	['permanent wave', 'pop']	2	1
01XYiBYaoMJcNhPokrg0l0	STAYC	['k-pop', 'k-pop girl group']	2	0
2KC9Qb60EaY0kW4eH68vr3	ITZY	['k-pop', 'k-pop girl group']	2	0
7n2Ycct7Beij7Dj7meI4X0	TWICE	['k-pop', 'k-pop girl group', 'pop']	2	0
3SRXsr6dPMvVGSSpccDWjO	DOLLA	[]	2	0
2hlmm7s2ICUX0LVIhVFlZQ	Gunna	['atl hip hop', 'melodic rap', 'rap', 'trap']	2	2
1RyvyyTE3xzB2ZywiAwp0i	Future	['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']	2	2
50co4Is1HCEo8bhOyUWKpn	Young Thug	['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']	2	2
64k5e9kV9MdukXjFrR5R37	Jessi	['k-pop']	2	1
4nDoRrQiYLoBzwC5BhVJzF	Camila Cabello	['dance pop', 'pop']	2	2
2WzaAvm2bBCf4pEhyuDgCY	Ruth B.	['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']	2	1
0xq3ysl29SzPlROwjoJ0Fa	林德荣	[]	2	2
5BrTrsV0XTDyGDbfMYI3wO	颜薇恩	[]	2	2
4w8k8lC57cuGQaZ5UvxiEY	曽耀祖	[]	2	2
1taywszKCOByNRndihMKu3	凯心	[]	2	2
38FhlcWmtKu50ZHtUBaH9X	白琳	[]	2	2
3gIRvgZssIb9aiirIg0nI3	Jeremy Zucker	['alt z', 'electropop', 'pop']	2	1
2LkkwxA19J8C52wPQl5bG6	Jamie Miller	['pop soul', 'singer-songwriter pop']	2	0
7JqV001XBrSr1Iyt66VPGk	Raffa Affar	[]	2	0
7zYj9S9SdIunYCfSm7vzAR	JEON SOMI	['k-pop']	2	0
6KImCVD70vtIoJWnq6nGn3	Harry Styles	['pop']	2	0
0qme0QUpU1XxC8Fa5sIVeb	Nicole Lai	['malaysian mandopop', 'singaporean mandopop']	2	2
