artist_id	name	genres	num_hits	num_collab_hits
6zEaCvF0CqEHs7kFyBkLHi	Mula B	['dutch hip hop']	30	14
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	27	6
5j4HeCoUlzhfWtjAfM1acR	Stromae	['belgian pop', 'g-house']	16	0
3AlRiyjMywTVNzTcHbf9QT	Lil Kleine	['dutch hip hop', 'dutch rap pop']	15	7
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	13	7
5sBoNBXFMzoZjgHLbQueeG	Antoon	['lustrum']	11	6
5H4yInM5zmHqpKIoMNAx4r	Central Cee	['melodic drill']	10	1
6OQggpm01CmAB717TKtDCr	Dopebwoy	['dutch hip hop', 'dutch rap pop']	8	7
5eir5zFJpES4j7gsymbVyl	Ronnie Flex	['dutch hip hop', 'dutch rap pop']	8	8
2DbTbUZFWbi3U3QzgJqU0V	Snollebollekes	['carnaval', 'kermis', 'nederlandse hardstyle']	7	2
77IW5ZK1smDQYYKDCQugXh	Suzan & Freek	['dutch pop']	7	1
51MxI9mWmRMPLK9eNlyQ7o	3robi	['dutch hip hop', 'rap belge']	6	6
438nTuoZFCZCyBl33jE9dU	Ashafar	['dutch hip hop']	6	5
5wV3FoaNbDB6X9INuQvs1K	Bilal Wahib	['dutch hip hop']	6	5
0MBLQbpbPvJ4oXM0Cj4aKR	Trobi	['dutch edm', 'dutch hip hop', 'pop edm']	6	6
3n51Vz9Zb9aFmoXmXZ50El	Henkie T	['dutch hip hop', 'dutch rap pop']	6	6
0o1hCS1PDOc1UtVrcXB9s8	Yssi SB	['dutch hip hop', 'dutch rap pop']	6	6
1PyToLP6F2rzV0ZSR71lgl	Bryan Mg	['dutch hip hop', 'dutch rap pop']	6	6
6INEFmHKLhMIJAQzHUBAMd	Lijpe	['dutch hip hop']	5	3
6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	['dance pop', 'pop', 'uk pop']	5	3
5yDkaiPTFbHGWCMXAEBt5Q	Kraantje Pappie	['dutch hip hop']	5	5
5GIcOzVFTNnzArytjmTkW8	Bizzey	['dutch hip hop', 'dutch rap pop']	5	5
5erZiBCKPxe9FaTiXHO00m	Adje	['dutch hip hop']	5	5
5vmwWgrlwCfHm1P0vdDFbU	Maan	['dutch pop', 'nederreggae']	5	4
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	5	2
6m1LYS5NQonxjOcQFPQOb5	Frenna	['dutch hip hop', 'dutch rap pop']	5	5
1zT9SWCzN45r7oVhy0VYLK	S10	['dutch pop']	5	3
4iCzh7b2cLbHVsPOwhr8W0	JoeyAK	['dutch hip hop']	5	4
5YqXgMhzkUnyjYQGgoIvoq	Architrackz	['dutch hip hop', 'dutch rap pop', 'maluku pop']	5	5
2feDdbD5araYcm6JhFHHw7	Labrinth	['indie poptimism', 'pop']	5	3
4dpARuHxo51G3z768sgnrY	Adele	['british soul', 'pop', 'pop soul', 'uk pop']	5	0
0IxgA9wO4Op3CSnPlhfwV1	Kevin	['dutch hip hop']	5	5
0ltU5V1lbLkZlgXrnCeGjx	Qlas & Blacka	['dutch drill', 'dutch hip hop', 'dutch rap pop']	5	3
1EYdbYpGAuJy6uZo4sVMoM	Idaly	['dutch hip hop', 'dutch rap pop']	5	5
0du5cEVh5yTK9QJze8zA0C	Bruno Mars	['dance pop', 'pop']	5	4
0Kwf0zcciIFGLCKiqNcO6Q	SRNO	['dutch rap pop']	4	4
4gzpq5DPGxSnKTe4SA8HAU	Coldplay	['permanent wave', 'pop']	4	1
2hlmm7s2ICUX0LVIhVFlZQ	Gunna	['atl hip hop', 'melodic rap', 'rap', 'trap']	4	3
2WBJQGf1bT1kxuoqziH5g4	Purple Disco Machine	['deep house', 'house']	4	4
2vmQP2rkDh9bcyzhP1YVKU	Nass	['dutch hip hop']	4	2
0HDMwoCS316xhKCZlJPBnc	Sevn Alias	['antilliaanse rap', 'dutch hip hop']	4	4
2ylIKKdMukkuprCgY4ZDFE	Donnie	['dutch hip hop']	4	4
6OG9fZ1LKXyL0hShRmmnq1	Davina Michelle	['dutch pop']	4	3
267wBt3XfmW3kdOC0JCtcO	sor	['dutch hip hop']	4	1
048LktY5zMnakWq7PTtFrz	CKay	['afro r&b', 'afrobeats']	4	2
5WxnXxSCyhDSyi6elhBZd4	Jaap Reesema	['dutch pop']	4	1
2YkP9pfIZ6hJKeuppuz8qT	Yade Lauren	['dutch rap pop']	4	3
5Pwc4xIPtQLFEnJriah9YJ	OneRepublic	['piano rock', 'pop']	4	0
3E31HqA00iCX9nRhesw6LD	Snelle	['dutch hip hop', 'dutch pop']	4	3
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	4	3
5adKMaYrGOMyOfnbiLPuHg	Jonna Fraser	['dutch hip hop', 'dutch rap pop']	4	4
7ge3QfYPMTjDbMoVLuuIuJ	Hef	['dutch hip hop']	4	2
53XhwfbYqKCa1cC15pYq2q	Imagine Dragons	['modern rock', 'pop', 'rock']	4	2
7bTUZU8QavxiW0GtvEVP0M	Kleine John	[]	3	3
46hfNL2Bni5Ux8hCDMAjIN	Chavanté	['dutch rap pop']	3	3
20bXifvyaank813LMJGw5G	Brysa	[]	3	3
1uBw9o9xJfe2H3geRocQq4	Cristian D	['dutch hip hop']	3	3
1uUuCEXmWpKN2YLl5xSoT2	$hirak	['dutch hip hop', 'dutch rap pop']	3	3
45dkTj5sMRSjrmBSBeiHym	Tate McRae	['alt z', 'pop']	3	0
3PhoLpVuITZKcymswpck5b	Elton John	['glam rock', 'mellow gold', 'piano rock', 'rock']	3	3
1g9nyCbUH0kbNgXAsw7tUB	Bankzitters	['nederlandse hardstyle']	3	0
4B4ON3QQ4AoObbF1jGOzJK	Reverse	[]	3	3
66wqVYADY665LeMxs8nlk3	Cor	['dutch hip hop']	3	3
1RyvyyTE3xzB2ZywiAwp0i	Future	['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']	3	2
4FrXHrpbDLNyO3pbVv8RmF	Sophie and the Giants	['sheffield indie']	3	3
1McMsnEElThX1knmY4oliG	Olivia Rodrigo	['pop']	3	0
4LcUpNlXFEleaLlelmkv2R	Kris Kross Amsterdam	['dutch house', 'dutch pop']	3	3
7iBY1RLWDV5zX9NDNQxurm	Tabitha	['dutch pop']	3	2
