artist_id	name	genres	years_on_charts	num_hits	num_collab_hits
0HDMwoCS316xhKCZlJPBnc	Sevn Alias	['antilliaanse rap', 'dutch hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	249	166
1wFoE1RwBMWoWkXcFrCgsx	Josylvio	['dutch hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	232	181
6m1LYS5NQonxjOcQFPQOb5	Frenna	['dutch hip hop', 'dutch rap pop']	[2017, 2018, 2019, 2020, 2021, 2022]	221	180
5adKMaYrGOMyOfnbiLPuHg	Jonna Fraser	['dutch hip hop', 'dutch rap pop']	[2017, 2018, 2019, 2020, 2021, 2022]	205	168
6INEFmHKLhMIJAQzHUBAMd	Lijpe	['dutch hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	202	111
0IxgA9wO4Op3CSnPlhfwV1	Kevin	['dutch hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	181	137
6zEaCvF0CqEHs7kFyBkLHi	Mula B	['dutch hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	165	121
7ge3QfYPMTjDbMoVLuuIuJ	Hef	['dutch hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	152	110
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	[2017, 2018, 2019, 2020, 2021]	145	72
5eir5zFJpES4j7gsymbVyl	Ronnie Flex	['dutch hip hop', 'dutch rap pop']	[2017, 2018, 2019, 2020, 2021, 2022]	145	119
51MxI9mWmRMPLK9eNlyQ7o	3robi	['dutch hip hop', 'rap belge']	[2017, 2018, 2019, 2020, 2021, 2022]	143	126
3AlRiyjMywTVNzTcHbf9QT	Lil Kleine	['dutch hip hop', 'dutch rap pop']	[2017, 2018, 2019, 2020, 2021, 2022]	142	67
0Jsk5iYMr5aNjHury7blm1	Boef	['dutch hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	129	86
2hBfmHHnM4dS4pJgEJENCg	Chivv	['dutch hip hop', 'dutch rap pop']	[2017, 2018, 2019, 2020, 2021, 2022]	128	106
5GIcOzVFTNnzArytjmTkW8	Bizzey	['dutch hip hop', 'dutch rap pop']	[2017, 2018, 2019, 2020, 2021, 2022]	121	112
5GvMLzUp6tMBpaCbr903RN	Broederliefde	['dutch hip hop', 'dutch rap pop']	[2017, 2018, 2019, 2020, 2021, 2022]	117	61
0lzYw5xI9jgMg8O5i4bTre	LouiVos	['dutch hip hop', 'ritmo kombina']	[2017, 2018, 2019, 2020, 2021, 2022]	117	94
1EYdbYpGAuJy6uZo4sVMoM	Idaly	['dutch hip hop', 'dutch rap pop']	[2017, 2018, 2019, 2020, 2021, 2022]	106	84
6OQggpm01CmAB717TKtDCr	Dopebwoy	['dutch hip hop', 'dutch rap pop']	[2017, 2018, 2019, 2020, 2021, 2022]	98	80
3n51Vz9Zb9aFmoXmXZ50El	Henkie T	['dutch hip hop', 'dutch rap pop']	[2017, 2018, 2019, 2020, 2021, 2022]	96	87
438nTuoZFCZCyBl33jE9dU	Ashafar	['dutch hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	96	58
4iCzh7b2cLbHVsPOwhr8W0	JoeyAK	['dutch hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	90	71
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	[2017, 2018, 2019, 2020, 2021, 2022]	88	42
2vRJ1xr5DT4PdBnM63DBJZ	Ismo	['dutch hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	87	47
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	87	56
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	[2017, 2018, 2019, 2020, 2021, 2022]	84	36
3E31HqA00iCX9nRhesw6LD	Snelle	['dutch hip hop', 'dutch pop']	[2018, 2019, 2020, 2021, 2022]	83	42
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	82	40
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	[2018, 2019, 2020, 2021, 2022]	82	29
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	78	32
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	77	37
7iBY1RLWDV5zX9NDNQxurm	Tabitha	['dutch pop']	[2017, 2018, 2019, 2020, 2021, 2022]	77	33
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	[2017, 2018, 2019, 2020, 2021]	72	49
19CxlXaWOlZh2pqZrJlHxN	Frsh	['dutch hip hop', 'dutch rap pop']	[2017, 2018, 2019, 2020, 2021, 2022]	72	70
0YPIovtLh5msFPFuCcn30R	CHO	['dutch hip hop', 'dutch rap pop']	[2017, 2018, 2019, 2020, 2021, 2022]	68	49
7CIYYEGtuTl0sjwEY8ihGh	Jack	['dutch hip hop']	[2019, 2020, 2021, 2022]	66	38
5erZiBCKPxe9FaTiXHO00m	Adje	['dutch hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	65	64
0ltU5V1lbLkZlgXrnCeGjx	Qlas & Blacka	['dutch drill', 'dutch hip hop', 'dutch rap pop']	[2019, 2020, 2021, 2022]	64	41
4hKoG9QvxsFDLIntc6tZ0g	Jacin Trill	['dutch hip hop']	[2017, 2018, 2019, 2020, 2021]	63	45
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	[2017, 2018, 2019, 2020, 2021, 2022]	62	13
1eLxAzPSnsl03ajNNihddF	Jayh	['dutch hip hop', 'dutch pop', 'dutch rap pop']	[2017, 2018, 2019, 2020, 2021]	61	51
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	61	20
1PyToLP6F2rzV0ZSR71lgl	Bryan Mg	['dutch hip hop', 'dutch rap pop']	[2018, 2019, 2020, 2021, 2022]	61	57
2NFWbreVmIEJG0iqIvLDOI	Bokoesam	['dutch hip hop', 'dutch rap pop', 'nederreggae']	[2017, 2018, 2019, 2020, 2021, 2022]	59	53
2y1VzMKAa5nmfXKtJL9jnj	Murda	['basshall', 'turkish hip hop', 'turkish trap']	[2017, 2018, 2019, 2020, 2021, 2022]	59	57
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	[2017, 2018, 2019, 2020, 2021, 2022]	58	36
0SuC1Z51R9kleDO1pj3Gub	Young Ellens	['dutch hip hop', 'dutch rap pop']	[2018, 2019, 2020, 2021, 2022]	57	45
77IW5ZK1smDQYYKDCQugXh	Suzan & Freek	['dutch pop']	[2018, 2019, 2020, 2021, 2022]	57	4
53XhwfbYqKCa1cC15pYq2q	Imagine Dragons	['modern rock', 'pop', 'rock']	[2017, 2018, 2019, 2020, 2021, 2022]	56	6
7n2wHs1TKAczGzO7Dd2rGr	Shawn Mendes	['canadian pop', 'pop', 'viral pop']	[2017, 2018, 2019, 2020, 2021, 2022]	55	12
2ieZVeLSXjusHvAKJCQ1NC	Sinterklaasliedjes	['christmas product']	[2017, 2018, 2019, 2020, 2021]	55	45
0eDvMgVFoNV3TpwtrVCoTj	Pop Smoke	['brooklyn drill', 'rap']	[2019, 2020, 2021]	54	36
4mg1S6eUvRL9IZKzEShYB8	Djaga Djaga	['dutch hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	53	35
50mdotNCJ2PcoZiAgsh8dY	SFB	['dutch hip hop', 'dutch rap pop']	[2017, 2018, 2019, 2020, 2022]	53	38
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	[2018, 2019, 2020, 2021, 2022]	51	4
0FWWBkIJD4tvlDzB4O8XT7	Kempi	['dutch hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	51	45
5QWQYxfuoNq7iJBlbIAYRS	Eves Laurent	['dutch hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	50	34
15UsOTVnJzReFVN1VCnxy4	XXXTENTACION	['emo rap', 'miami hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	50	12
5yDkaiPTFbHGWCMXAEBt5Q	Kraantje Pappie	['dutch hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	48	34
6J2bFI9tQDWfPHjoKHKrOu	Yung Felix	['dutch hip hop', 'dutch rap pop']	[2017, 2018, 2019, 2020, 2021, 2022]	47	47
7sgdV8Ka9ILeZdzSqjzItk	D-Double	['dutch hip hop', 'dutch trap']	[2017, 2018, 2019, 2020, 2021, 2022]	47	43
3HL2hJ9MmM9eazDokIndkr	SBMG	['dutch hip hop', 'dutch rap pop']	[2017, 2018, 2019]	47	39
1Cs0zKBU1kc0i8ypK3B9ai	David Guetta	['big room', 'dance pop', 'edm', 'pop', 'pop dance']	[2017, 2018, 2019, 2020, 2021, 2022]	47	44
7DpYMZzVNrjqw1geHziUEd	KA	['dutch hip hop']	[2018, 2019, 2020, 2021, 2022]	47	30
7FGPqGAnNztJ6mQniyFLt9	Vic9	['dutch hip hop', 'dutch trap']	[2017, 2018, 2019, 2020, 2021, 2022]	47	42
1a4DIEh9pp70HzDHgyjioB	Latifah	['dutch hip hop', 'dutch rap pop']	[2017, 2018, 2019, 2020, 2021, 2022]	47	33
69GGBxA162lTqCwzJG5jLp	The Chainsmokers	['electropop', 'pop']	[2017, 2018, 2019, 2020, 2022]	45	29
1vCWHaC5f2uS3yhpwWbIA6	Avicii	['edm', 'pop', 'pop dance']	[2017, 2018, 2019, 2020, 2021, 2022]	45	29
4owt1GWUqAh4gsXT13roop	Jairzinho	['dutch hip hop', 'dutch rap pop']	[2017, 2018, 2019, 2020, 2021]	45	31
6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	['dance pop', 'pop', 'uk pop']	[2017, 2018, 2019, 2020, 2021, 2022]	45	22
0rQ69yrbz7CeUmXUn1beIj	Esko	['dutch hip hop']	[2017, 2018, 2019, 2020, 2021]	44	39
