artist_id	name	genres	num_hits	num_collab_hits
24Lqq3mnesl7IljSVFEBEO	Hver gang vi møtes	['nordnorsk musikk', 'norwegian pop']	39	39
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	28	7
6CawoDDP1IZUSGl4wSJGC9	TIX	['norwegian pop', 'russelater']	19	8
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	14	7
1WgXqy2Dd70QQOU7Ay074N	AURORA	['art pop', 'norwegian pop']	14	2
3X23gpg1vPacr0hBARyxtN	Karpe	['norwegian hip hop', 'norwegian pop']	13	6
5awQWdBpLqN2KFVRN8w56T	Highasakite	['norwegian indie', 'norwegian pop']	12	0
2hlmm7s2ICUX0LVIhVFlZQ	Gunna	['atl hip hop', 'melodic rap', 'rap', 'trap']	10	7
2feDdbD5araYcm6JhFHHw7	Labrinth	['indie poptimism', 'pop']	10	3
35kBMx0nauaGZIhWESWrc5	Norges Nye Megahit	[]	8	8
1Cs0zKBU1kc0i8ypK3B9ai	David Guetta	['big room', 'dance pop', 'edm', 'pop', 'pop dance']	8	8
4gzpq5DPGxSnKTe4SA8HAU	Coldplay	['permanent wave', 'pop']	6	3
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	6	5
4gDfRB8znZzXih7iQ3pGeW	Hagle	['norwegian pop rap']	6	4
0iC8O5ABswVUFiYwM94bu3	Madrugada	['norwegian americana', 'norwegian rock']	6	0
7vk5e3vY1uw9plTHJAMwjN	Alan Walker	['electro house']	6	6
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	6	3
1mSJCvDX0W7Dn7S9C6vmvI	Anna of the North	['electropop', 'vapor pop']	6	6
35j3Bv3gRKUHbiFSxVjjIf	Stig Brenner	['norwegian pop', 'norwegian pop rap']	6	6
7GgWpPrcNYH90st7I3nJtv	Ballinciaga	[]	6	4
3l4RyQwQ0kHZ9Q9cQbRNMr	Arif	['nordnorsk rap', 'norwegian hip hop', 'norwegian pop', 'norwegian pop rap', 'norwegian trap']	6	6
4dpARuHxo51G3z768sgnrY	Adele	['british soul', 'pop', 'pop soul', 'uk pop']	6	0
5r6ViSL3nacDRVBtnXlixL	Ramón	['norwegian pop']	6	1
7bD3cjwHYADj9rsonLyx7U	Omar Sheriff	[]	6	6
63Dir7MyAhpGcHU3rOh3uF	Chris Holsten	['norwegian pop']	5	1
23fqKkggKUBHNkbKtXEls4	Kygo	['edm', 'pop', 'pop dance', 'tropical house']	5	5
1Qp56T7n950O3EGMsSl81D	Ghost	['hard rock', 'metal']	5	0
5cj0lLjcoR7YOSnhnX0Po5	Doja Cat	['dance pop', 'pop']	5	2
5J10DHSs5nFktP4DNYncwj	Staysman	['russelater']	5	5
6cEuCEZu7PAE9ZSzLLc2oQ	R3HAB	['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']	5	5
6dKpd69v7biGUV6qlwnHm5	Myra	['norwegian indie', 'norwegian pop', 'norwegian pop rap']	5	5
05XcYmdt6oIP0URKWYnyWk	Halva Priset	['norwegian pop']	5	3
0du5cEVh5yTK9QJze8zA0C	Bruno Mars	['dance pop', 'pop']	5	3
5Pwc4xIPtQLFEnJriah9YJ	OneRepublic	['piano rock', 'pop']	4	0
6sCbFbEjbYepqswM1vWjjs	Zendaya	['pop', 'post-teen pop']	4	4
45dkTj5sMRSjrmBSBeiHym	Tate McRae	['alt z', 'pop']	4	0
1McMsnEElThX1knmY4oliG	Olivia Rodrigo	['pop']	4	0
13FLfwjYGlKjGG2bqiRxdU	Jonas Benyoub	['norwegian pop rap']	4	2
3YP7MBWoSfkTwq0pOMj651	Den BB	['russelater']	4	2
3AVfmawzu83sp94QW7CEGm	Astrid S	['alt z', 'norwegian pop', 'pop', 'uk pop']	4	2
5WUlDfRSoLAfcVSX1WnrxN	Sia	['australian dance', 'australian pop', 'pop']	4	2
