artist_id	name	genres	years_on_charts	num_hits	num_collab_hits
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	[2017, 2018, 2019, 2020, 2021, 2022]	203	28
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	142	25
7n2Ycct7Beij7Dj7meI4X0	TWICE	['k-pop', 'k-pop girl group', 'pop']	[2018, 2019, 2020, 2021, 2022]	107	3
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	[2017, 2018, 2019, 2020, 2021, 2022]	92	41
49tQo2QULno7gxHutgccqF	LANY	['la pop']	[2017, 2018, 2019, 2020, 2021, 2022]	76	8
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	[2017, 2018, 2019, 2020, 2021]	69	33
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	[2017, 2018, 2019, 2020, 2021, 2022]	67	31
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	65	46
5JZ7CnR6gTvEMKX4g70Amv	Lauv	['pop']	[2017, 2018, 2019, 2020, 2021, 2022]	62	23
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	55	23
4DAcJXcjX0zlQAZAPAx4Zb	Ben&Ben	['opm']	[2017, 2018, 2019, 2020, 2021, 2022]	50	14
69GGBxA162lTqCwzJG5jLp	The Chainsmokers	['electropop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	48	34
0rZRTXEmmPmx6gt92tBqIc	Moira Dela Torre	['opm']	[2017, 2018, 2019, 2020, 2021, 2022]	45	21
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	[2017, 2018, 2019, 2020, 2021]	44	31
41MozSoPIsD1dJM0CLPjZF	BLACKPINK	['k-pop', 'k-pop girl group', 'pop']	[2017, 2018, 2019, 2020, 2021]	44	7
4nDoRrQiYLoBzwC5BhVJzF	Camila Cabello	['dance pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	42	20
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	42	25
2wY79sveU1sp5g7SokKOiI	Sam Smith	['pop', 'uk pop']	[2017, 2018, 2019, 2020, 2021, 2022]	41	6
4gzpq5DPGxSnKTe4SA8HAU	Coldplay	['permanent wave', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	40	9
04gDigrS5kc9YWfZHwBETP	Maroon 5	['pop']	[2017, 2018, 2019, 2020, 2021, 2022]	39	27
6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	['dance pop', 'pop', 'uk pop']	[2017, 2018, 2019, 2020, 2021, 2022]	38	16
0ghlgldX5Dd6720Q3qFyQB	TOMORROW X TOGETHER	['k-pop', 'k-pop boy group']	[2019, 2020, 2021, 2022]	34	2
7n2wHs1TKAczGzO7Dd2rGr	Shawn Mendes	['canadian pop', 'pop', 'viral pop']	[2017, 2018, 2019, 2020, 2021, 2022]	33	11
6XyY86QOPPrYVGvF9ch6wz	Linkin Park	['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']	[2017]	33	3
4dpARuHxo51G3z768sgnrY	Adele	['british soul', 'pop', 'pop soul', 'uk pop']	[2017, 2018, 2019, 2021, 2022]	31	0
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	[2018, 2019, 2020, 2021, 2022]	29	4
7tYKF4w9nC0nq9CsPZTHyP	SZA	['pop', 'r&b', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	27	25
0C8ZW7ezQVs4URX5aX7Kqx	Selena Gomez	['pop', 'post-teen pop']	[2017, 2018, 2019, 2020, 2021, 2022]	27	14
0du5cEVh5yTK9QJze8zA0C	Bruno Mars	['dance pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	26	13
0hCNtLu0JehylgoiP8L4Gh	Nicki Minaj	['hip pop', 'pop', 'queens hip hop', 'rap']	[2017, 2018, 2019, 2020]	26	25
7nqOGRxlXj7N2JYbgNEjYH	SEVENTEEN	['k-pop', 'k-pop boy group']	[2020, 2021]	26	1
5t5FqBwTcgKTaWmfEbwQY9	ENHYPEN	['anime', 'k-pop boy group']	[2020, 2021, 2022]	24	1
26VFTg2z8YR0cCuwLzESi2	Halsey	['electropop', 'etherpop', 'indie poptimism', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	24	14
2YZyLoL8N0Wb9xBt1NhZWg	Kendrick Lamar	['conscious hip hop', 'hip hop', 'rap', 'west coast rap']	[2017, 2018, 2020]	24	14
3WGpXCj9YhhfX11TToZcXP	Troye Sivan	['australian pop', 'pop', 'viral pop']	[2017, 2018, 2019, 2020, 2021, 2022]	23	12
6jJ0s89eD6GaHleKKya26X	Katy Perry	['pop']	[2017, 2018, 2019, 2020, 2021, 2022]	23	8
4kYSro6naA4h99UJvo89HB	Cardi B	['pop', 'rap']	[2017, 2018, 2019, 2020, 2021]	23	18
1HY2Jd0NmPuamShAr6KMms	Lady Gaga	['art pop', 'dance pop', 'pop']	[2017, 2018, 2019, 2020, 2021]	23	6
5cj0lLjcoR7YOSnhnX0Po5	Doja Cat	['dance pop', 'pop']	[2020, 2021, 2022]	22	14
6VuMaDnrHyPL1p4EHjYLi7	Charlie Puth	['pop', 'viral pop']	[2017, 2018, 2019, 2020, 2021, 2022]	22	10
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	[2018, 2019, 2021]	22	7
64M6ah0SkkRsnPGtGiRAbb	Bebe Rexha	['dance pop', 'pop']	[2017, 2018, 2019, 2020]	21	15
0ZED1XzwlLHW4ZaG4lOT6m	Julia Michaels	['pop']	[2017, 2018, 2019, 2020, 2021]	21	15
1zNqDE7qDGCsyzJwohVaoX	Anne-Marie	['pop']	[2017, 2018, 2019, 2020, 2021, 2022]	20	14
3mIj9lX2MWuHmhNCA7LSCW	The 1975	['modern alternative rock', 'modern rock', 'pop', 'pov: indie', 'rock']	[2018, 2019, 2020, 2022]	20	1
3MZsBdqDrRTJihTHQrO6Dq	Joji	['viral pop']	[2018, 2019, 2020, 2021, 2022]	20	6
1HBjj22wzbscIZ9sEb5dyf	Jonas Blue	['pop', 'pop dance', 'tropical house', 'uk dance']	[2017, 2018, 2019]	20	20
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	[2017, 2018, 2019, 2020, 2021]	20	15
7CajNmpbOovFoOoasH2HaY	Calvin Harris	['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']	[2017, 2018, 2019, 2020, 2021]	20	18
163tK9Wjr9P9DmM0AVK7lm	Lorde	['art pop', 'metropopolis', 'nz pop', 'pop']	[2017, 2021]	20	3
3e7awlrlDSwF3iM0WBjGMp	Little Mix	['girl group', 'pop', 'talent show', 'uk pop']	[2017, 2018, 2019, 2020, 2021, 2022]	19	8
7jVv8c5Fj3E9VhNjxT4snq	Lil Nas X	['lgbtq+ hip hop']	[2019, 2020, 2021, 2022]	19	8
53XhwfbYqKCa1cC15pYq2q	Imagine Dragons	['modern rock', 'pop', 'rock']	[2017, 2018, 2019, 2021, 2022]	19	5
4AK6F7OLvEQ5QYCBNiQWHq	One Direction	['boy band', 'pop', 'post-teen pop', 'talent show']	[2017, 2020, 2021, 2022]	19	0
64KEffDW9EtZ1y2vBYgq8T	Marshmello	['brostep', 'edm', 'pop', 'progressive electro house']	[2017, 2018, 2019, 2020, 2021]	19	18
1vCWHaC5f2uS3yhpwWbIA6	Avicii	['edm', 'pop', 'pop dance']	[2017, 2018, 2019, 2020]	19	7
23fqKkggKUBHNkbKtXEls4	Kygo	['edm', 'pop', 'pop dance', 'tropical house']	[2017, 2018, 2019, 2020, 2021]	19	19
7c0XG5cIJTrrAgEC3ULPiq	Ty Dolla $ign	['hip hop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']	[2017, 2018, 2019, 2020, 2021]	19	19
5ZsFI1h6hIdQRw2ti0hz81	ZAYN	['pop', 'uk pop']	[2017, 2018, 2019, 2020, 2021]	19	10
4GvEc3ANtPPjt1ZJllr5Zl	Bazzi	['pop']	[2018, 2019, 2020, 2021]	18	1
3cjEqqelV9zb4BYE3qDQ4O	EXO	['k-pop', 'k-pop boy group']	[2017, 2018, 2019, 2021]	18	0
7uDdl5V5AETSFY7K3muu22	Arthur Nery	['cdo indie', 'opm', 'p-pop']	[2020, 2021, 2022]	17	5
6KImCVD70vtIoJWnq6nGn3	Harry Styles	['pop']	[2017, 2019, 2020, 2021, 2022]	17	0
4k9wp4ipHdA1bu1T4x1ZTG	IV Of Spades	['opm', 'p-pop', 'pinoy trap']	[2018, 2019, 2020, 2021, 2022]	17	1
2KC9Qb60EaY0kW4eH68vr3	ITZY	['k-pop', 'k-pop girl group']	[2019, 2020, 2021, 2022]	17	0
1z4g3DjTBBZKhvAroFlhOM	Red Velvet	['k-pop', 'k-pop girl group']	[2017, 2018, 2019, 2020, 2021]	17	1
3g7vYcdDXnqnDKYFwqXBJP	SB19	['p-pop', 'pinoy idol pop']	[2019, 2020, 2021, 2022]	16	2
5Rl15oVamLq7FbSb0NNBNy	5 Seconds of Summer	['boy band', 'pop']	[2018, 2019, 2020]	16	4
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	[2017, 2018, 2019, 2020]	16	10
2iB7AJhJmkWkkehY9ccB0j	Ex Battalion	['opm', 'pinoy r&b']	[2017, 2018, 2019, 2020, 2021]	16	11
2kxP07DLgs4xlWz8YHlvfh	NIKI	['indonesian r&b']	[2020, 2021, 2022]	15	2
1McMsnEElThX1knmY4oliG	Olivia Rodrigo	['pop']	[2021, 2022]	15	1
67IN4cLJ7798gUapyZlmac	Zack Tabudlo	['acoustic opm', 'opm', 'p-pop']	[2021, 2022]	15	4
1RyvyyTE3xzB2ZywiAwp0i	Future	['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']	[2017, 2018, 2020, 2021, 2022]	15	14
24fEOzlKhgSNLIcy9NdmwH	James Reid	['deep neofolk', 'opm', 'pinoy r&b']	[2017, 2019, 2022]	15	9
181bsRPaVXVlUKXrxwZfHK	Megan Thee Stallion	['houston rap', 'pop', 'rap', 'trap queen']	[2019, 2020, 2021, 2022]	15	13
7gAppWoH7pcYmphCVTXkzs	The Vamps	['boy band', 'pop']	[2017, 2018, 2019, 2022]	15	14
1Hsdzj7Dlq2I7tHP7501T4	Niall Horan	['pop']	[2017, 2018, 2019, 2020, 2021]	15	4
5p7f24Rk5HkUZsaS3BLG5F	Hailee Steinfeld	['pop']	[2017, 2018, 2019, 2020]	15	11
6vWDO969PvNqNYHIOW5v0m	Beyoncé	['pop', 'r&b']	[2017, 2018, 2019, 2020]	15	10
6S2OmqARrzebs0tKUEyXyp	Demi Lovato	['pop', 'post-teen pop']	[2017, 2018, 2019, 2020, 2021]	15	7
3HqSLMAZ3g3d5poNaI7GOU	IU	['k-pop', 'pop']	[2018, 2019, 2020, 2021]	15	2
1Cs0zKBU1kc0i8ypK3B9ai	David Guetta	['big room', 'dance pop', 'edm', 'pop', 'pop dance']	[2017, 2018, 2019, 2021]	15	14
1zNqQNIdeOUZHb8zbZRFMX	Swae Lee	['melodic rap', 'rap', 'trap']	[2017, 2018, 2019, 2020, 2021, 2022]	14	14
4qFxP3qN9GsnZDOkAE6x2m	December Avenue	['opm', 'pinoy pop punk']	[2018, 2019, 2020, 2021, 2022]	14	2
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	[2018, 2019, 2020, 2021, 2022]	14	9
5pKCCKE2ajJHZ9KAiaK11H	Rihanna	['barbadian pop', 'pop', 'urban contemporary']	[2017, 2018, 2019, 2020, 2021]	14	11
0Vw76uk7P8yVtTClWyOhac	HONNE	['uk pop']	[2018, 2019, 2020, 2021]	14	3
5WUlDfRSoLAfcVSX1WnrxN	Sia	['australian dance', 'australian pop', 'pop']	[2017, 2018, 2019, 2020, 2021]	14	8
117XFtbZPnCI1EYKjYZWJc	Skusta Clee	['opm']	[2017, 2018, 2019, 2020, 2021, 2022]	13	10
5YGY8feqx7naU7z4HrwZM6	Miley Cyrus	['pop']	[2017, 2018, 2019, 2020, 2021, 2022]	13	6
1EHAbA1GMYOfkh9ds9eNfS	Jose Mari Chan	['classic opm', 'opm']	[2017, 2018, 2019, 2020, 2021]	13	1
5fMUXHkw8R8eOP2RNVYEZX	Diplo	['edm', 'electro house', 'moombahton', 'pop dance']	[2017, 2018, 2019, 2020]	13	13
6l3HvQ5sa6mXTsMTB19rO5	J. Cole	['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']	[2018, 2019, 2021]	13	4
5pUo3fmmHT8bhCyHE52hA6	Liam Payne	['pop']	[2017, 2018, 2019, 2020]	13	10
4ufh0WuMZh6y4Dmdnklvdl	BAEKHYUN	['k-pop']	[2020, 2021]	13	0
2U5mF0PZqGu6glnz55yY0y	John Roa	['opm', 'p-pop']	[2017, 2018, 2019, 2020, 2021, 2022]	12	6
4nGp682WMiKS4X217kPw8C	Silent Sanctuary	['opm']	[2017, 2018, 2019, 2020, 2021, 2022]	12	1
50co4Is1HCEo8bhOyUWKpn	Young Thug	['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']	[2017, 2018, 2019, 2020, 2021, 2022]	12	12
3KonOYiLsU53m4yT7gNotP	TREASURE	['k-pop', 'k-pop boy group']	[2020, 2021, 2022]	12	0
2wUjUUtkb5lvLKcGKsKqsR	Alessia Cara	['canadian contemporary r&b', 'canadian pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	12	5
2qxJFvFYMEDqd7ui6kSAcq	Zedd	['complextro', 'edm', 'german techno', 'pop', 'pop dance']	[2017, 2018, 2019, 2020, 2021]	12	12
5CCwRZC6euC8Odo6y9X8jr	Rita Ora	['dance pop', 'pop', 'uk pop']	[2017, 2018, 2019]	12	7
0WleeEe3UurwlNbDGhb5Yz	ALLMO$T	['opm', 'pinoy hip hop', 'pinoy r&b', 'tagalog rap']	[2018, 2019, 2020, 2021]	12	2
74KM79TiuVKeVCqs8QtB0B	Sabrina Carpenter	['pop']	[2017, 2018, 2019, 2021]	12	8
60d24wfXkVzDSfLS6hyCjZ	Martin Garrix	['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']	[2017, 2018, 2019]	12	12
5Pwc4xIPtQLFEnJriah9YJ	OneRepublic	['piano rock', 'pop']	[2017, 2018, 2019, 2020, 2021]	12	6
1dfeR4HaWDbWqFHLkxsg1d	Queen	['classic rock', 'glam rock', 'rock']	[2018, 2019, 2020]	12	1
1gBUSTR3TyDdTVFIaQnc02	NCT DREAM	['k-pop', 'k-pop boy group']	[2021]	12	0
7bXgB6jMjp9ATFy66eO08Z	Chris Brown	['r&b', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	11	7
7vk5e3vY1uw9plTHJAMwjN	Alan Walker	['electro house']	[2017, 2018, 2019, 2020, 2022]	11	9
2H4bbbOohoe9zhqEsiRi7j	ABS-CBN Music All Star	[]	[2017, 2018, 2019, 2020, 2021]	11	0
1vyhD5VmyZ7KMfW5gqLgo5	J Balvin	['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']	[2017, 2018, 2019, 2020, 2021]	11	11
6TIYQ3jFPwQSRmorSezPxX	Machine Gun Kelly	['ohio hip hop', 'pop rap']	[2017, 2018, 2019]	11	11
2jnIB6XdLvnJUeNTy5A0J2	Why Don't We	['boy band', 'pop']	[2017, 2018, 2019, 2020, 2021]	11	1
2auC28zjQyVTsiZKNgPRGs	RM	['k-rap']	[2017, 2018, 2019, 2020, 2021]	11	6
0VRj0yCOv2FXJNP47XQnx5	Quavo	['atl hip hop', 'melodic rap', 'rap', 'trap']	[2017, 2018, 2019, 2020, 2021]	11	11
30mZI7Hw2MhoarTVYxfyZM	Unique Salonga	['opm', 'pinoy city pop']	[2018, 2019, 2020, 2021, 2022]	10	0
3gIRvgZssIb9aiirIg0nI3	Jeremy Zucker	['alt z', 'electropop', 'pop']	[2018, 2019, 2020, 2021, 2022]	10	3
07YZf4WDAMNwqr4jfgOZ8y	Jason Derulo	['dance pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	10	7
3PDFGpPl4ienSn5Vwisfrh	Flow G	['pinoy hip hop', 'pinoy r&b', 'tagalog rap']	[2017, 2018, 2019, 2020, 2021, 2022]	10	9
3AQRLZ9PuTAozP28Skbq8V	The Script	['celtic rock', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	10	0
