artist_id	name	genres	num_hits	num_collab_hits
7CJgLPEqiIRuneZSolpawQ	Taco Hemingway	['polish hip hop', 'polish trap']	60	35
1fxbULcd6ryMNc1usHoP0R	Quebonafide	['polish hip hop']	44	40
53XhwfbYqKCa1cC15pYq2q	Imagine Dragons	['modern rock', 'pop', 'rock']	41	2
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	36	10
15UsOTVnJzReFVN1VCnxy4	XXXTENTACION	['emo rap', 'miami hip hop']	35	10
0LX2VNf5w4iOHW1yyIqb74	Bedoes 2115	['polish hip hop', 'polish trap']	34	33
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	30	15
2ufQfSFDFXfMS7MEMzdGZE	Białas	['polish hip hop', 'polish trap']	30	30
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	30	10
462yq5vpZnO172v3nK9ibv	Paluch	['polish hip hop', 'polish trap', 'rap motywacja']	29	13
0Wi2fADbhwXlPUWxBmzo99	Szpaku	['polish hip hop']	29	19
5vgHNLPDrYD3hztA8yKoxP	TACONAFIDE	['polish hip hop', 'polish trap']	28	28
1yq2JzsqbzFbJ1B7wGOXLc	Young Igi	['polish hip hop', 'polish trap']	28	14
7v49oVVUhvIQG5EK0jkcF7	PRO8L3M	['polish hip hop']	27	0
0WDJa0qnagyOnMaiD26wht	Kubi Producent	['polish hip hop', 'polish trap']	26	26
7n2wHs1TKAczGzO7Dd2rGr	Shawn Mendes	['canadian pop', 'pop', 'viral pop']	26	6
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	25	3
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	24	5
6EB8VE9f7Ut6NOgviN6gDW	Dawid Podsiadło	['polish pop', 'talent show']	24	5
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	23	17
0hCNtLu0JehylgoiP8L4Gh	Nicki Minaj	['hip pop', 'pop', 'queens hip hop', 'rap']	22	20
2kCcBybjl3SAtIcwdWpUe3	Lil Peep	['cloud rap', 'emo rap', 'lgbtq+ hip hop']	22	3
3YQKmKGau1PzlVlkL1iodx	Twenty One Pilots	['modern rock', 'pop', 'pov: indie', 'rock']	21	0
5CkZIA3WpaEFxp0wSjMzRI	Young Multi	['polish hip hop', 'polish trap']	21	8
4nPxrGG7k7aEKmNLsfX4cd	White 2115	['polish hip hop', 'polish trap']	21	7
31TPClRtHm23RisEBtV3X7	Justin Timberlake	['dance pop', 'pop']	20	4
7afPAbg5jb45KFUSnHIMFG	Lanek	['polish electronica', 'polish hip hop', 'polish trap']	20	20
5Rl15oVamLq7FbSb0NNBNy	5 Seconds of Summer	['boy band', 'pop']	19	0
1Cs0zKBU1kc0i8ypK3B9ai	David Guetta	['big room', 'dance pop', 'edm', 'pop', 'pop dance']	19	18
11ohMXkA2KIq5F1DoWH2jj	KęKę	['polish hip hop']	19	6
1vCWHaC5f2uS3yhpwWbIA6	Avicii	['edm', 'pop', 'pop dance']	19	6
5WUlDfRSoLAfcVSX1WnrxN	Sia	['australian dance', 'australian pop', 'pop']	18	12
69GGBxA162lTqCwzJG5jLp	The Chainsmokers	['electropop', 'pop']	18	10
4nDoRrQiYLoBzwC5BhVJzF	Camila Cabello	['dance pop', 'pop']	18	6
2YZyLoL8N0Wb9xBt1NhZWg	Kendrick Lamar	['conscious hip hop', 'hip hop', 'rap', 'west coast rap']	17	14
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	17	4
0QR764k0D36npmTMWx5bft	Żabson	['polish hip hop', 'polish trap']	17	8
13ubrt8QOOCPljQ2FL1Kca	A$AP Rocky	['east coast hip hop', 'hip hop', 'rap', 'trap']	17	10
52XMlxvCIzmiNkzSqEw3Uv	O.S.T.R.	['polish hip hop']	17	3
3WGpXCj9YhhfX11TToZcXP	Troye Sivan	['australian pop', 'pop', 'viral pop']	17	5
3sW41aChSc5bBow0Folc1S	Sarius	['polish hip hop']	16	9
7Ln80lUS6He07XvHI8qqHH	Arctic Monkeys	['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']	16	0
4MiKufcWLuX6KDLzqhUgQD	Maanam	['polish post-punk', 'polish rock']	16	0
1Kjs5u8GQf6zCFdTj6SI9E	Malik Montana	['polish drill', 'polish hip hop', 'polish trap']	16	6
5vBSrE1xujD2FXYRarbAXc	Years & Years	['gauze pop', 'pop', 'uk pop']	15	2
1moxjboGR7GNWYIMWsRjgG	Florence + The Machine	['baroque pop', 'modern rock', 'neo mellow', 'uk alternative pop']	15	0
4zvO09rVUIVTeALhs6xLoB	Otsochodzi	['polish hip hop', 'polish trap']	14	11
1dfeR4HaWDbWqFHLkxsg1d	Queen	['classic rock', 'glam rock', 'rock']	14	1
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	14	5
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	13	7
4kYSro6naA4h99UJvo89HB	Cardi B	['pop', 'rap']	13	11
6QfFTZJHFSe9Xyes6DkAli	ReTo	['polish hip hop', 'polish trap']	13	12
1zNqDE7qDGCsyzJwohVaoX	Anne-Marie	['pop']	12	7
1zNqQNIdeOUZHb8zbZRFMX	Swae Lee	['melodic rap', 'rap', 'trap']	12	12
5CCwRZC6euC8Odo6y9X8jr	Rita Ora	['dance pop', 'pop', 'uk pop']	12	5
6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	['dance pop', 'pop', 'uk pop']	12	6
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	12	7
1nEmAvnOKMBYCziZQNb5B4	The Dumplings	['polish alternative', 'polish indie']	11	1
6MDME20pz9RveH9rEXvrOM	Clean Bandit	['pop', 'uk dance', 'uk funky']	11	11
5fMUXHkw8R8eOP2RNVYEZX	Diplo	['edm', 'electro house', 'moombahton', 'pop dance']	11	11
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	11	8
7vk5e3vY1uw9plTHJAMwjN	Alan Walker	['electro house']	11	10
7uWyXPJ04ihdQdYGGw3xVV	Guzior	['polish hip hop']	11	7
60d24wfXkVzDSfLS6hyCjZ	Martin Garrix	['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']	11	11
6S2OmqARrzebs0tKUEyXyp	Demi Lovato	['pop', 'post-teen pop']	11	8
738wLrAtLtCtFOLvQBXOXp	Major Lazer	['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']	11	11
5ZsFI1h6hIdQRw2ti0hz81	ZAYN	['pop', 'uk pop']	11	4
7gZfnEnfiaHzxARJ2LeXrf	6ix9ine	['emo rap']	10	9
7CajNmpbOovFoOoasH2HaY	Calvin Harris	['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']	10	8
6o7xoNMeAUgi1SVl9rHYNk	Kortez	['polish pop']	10	1
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	10	2
04gDigrS5kc9YWfZHwBETP	Maroon 5	['pop']	10	7
0ZED1XzwlLHW4ZaG4lOT6m	Julia Michaels	['pop']	10	6
3AA28KZvwAUcZuOKwyblJQ	Gorillaz	['alternative hip hop', 'modern rock', 'rock']	10	3
2RdwBSPQiwcmiDo9kixcl8	Pharrell Williams	['dance pop', 'pop']	9	8
6oMuImdp5ZcFhWP0ESe6mG	Migos	['atl hip hop', 'hip hop', 'rap', 'trap']	9	5
64KEffDW9EtZ1y2vBYgq8T	Marshmello	['brostep', 'edm', 'pop', 'progressive electro house']	9	9
4xRYI6VqpkE3UwrDrAZL8L	Logic	['conscious hip hop', 'hip hop', 'pop rap', 'rap']	9	8
5qgCrzMzASs1YpEMSp7tGt	Rasmentalism	['polish hip hop']	9	5
0RqtSIYZmd4fiBKVFqyIqD	Thirty Seconds To Mars	['modern rock', 'post-grunge']	9	3
6vXTefBL93Dj5IqAWq6OTv	French Montana	['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']	9	9
1HBjj22wzbscIZ9sEb5dyf	Jonas Blue	['pop', 'pop dance', 'tropical house', 'uk dance']	9	9
1vyhD5VmyZ7KMfW5gqLgo5	J Balvin	['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']	9	8
4bL2B6hmLlMWnUEZnorEtG	Felix Jaehn	['edm', 'german dance', 'pop dance', 'tropical house']	9	9
0GykMtlKoc68Hj2jwZLXul	Nosowska	['polish alternative', 'polish blues', 'polish pop']	8	0
4WN5naL3ofxrVBgFpguzKo	Rudimental	['pop dance', 'uk dance', 'uk funky']	8	8
3Isy6kedDrgPYoTS1dazA9	Sean Paul	['dance pop', 'dancehall', 'pop', 'pop rap']	8	8
1GxkXlMwML1oSg5eLPiAz3	Michael Bublé	['adult standards', 'canadian pop', 'jazz pop', 'lounge']	8	3
0bdfiayQAKewqEvaU6rXCv	MØ	['danish pop', 'electropop', 'pop', 'pop dance']	8	5
2wY79sveU1sp5g7SokKOiI	Sam Smith	['pop', 'uk pop']	8	2
64M6ah0SkkRsnPGtGiRAbb	Bebe Rexha	['dance pop', 'pop']	8	5
3t5xRXzsuZmMDkQzgOX35S	Robin Schulz	['deep euro house', 'deep house', 'edm', 'german dance', 'pop dance', 'tropical house']	8	8
1FdfWn1DrRwWDtRK8faYKY	Zeamsone	['polish hip hop', 'polish trap']	8	4
77SW9BnxLY8rJ0RciFqkHh	The Neighbourhood	['modern alternative rock', 'modern rock', 'pop', 'pov: indie']	8	1
26VFTg2z8YR0cCuwLzESi2	Halsey	['electropop', 'etherpop', 'indie poptimism', 'pop']	8	6
7FwxJtVorL07N6kbqmkPr6	PlanBe	['polish hip hop', 'polish trap']	8	3
6VuMaDnrHyPL1p4EHjYLi7	Charlie Puth	['pop', 'viral pop']	8	3
7tYKF4w9nC0nq9CsPZTHyP	SZA	['pop', 'r&b', 'rap']	8	8
3txlfIcKCNrKk5bJw1er3R	Kali	['polish hip hop', 'rap uliczny']	8	6
0VRj0yCOv2FXJNP47XQnx5	Quavo	['atl hip hop', 'melodic rap', 'rap', 'trap']	7	7
0C8ZW7ezQVs4URX5aX7Kqx	Selena Gomez	['pop', 'post-teen pop']	7	5
4gzpq5DPGxSnKTe4SA8HAU	Coldplay	['permanent wave', 'pop']	7	2
5iNrZmtVMtYev5M9yoWpEq	Seeb	['pop dance']	7	7
1T4HxOYolAEb5PadIVKdWZ	Gibbs	['polish hip hop']	7	7
5Pwc4xIPtQLFEnJriah9YJ	OneRepublic	['piano rock', 'pop']	7	3
4IWBUUAFIplrNtaOHcJPRM	James Arthur	['pop', 'talent show', 'uk pop']	7	3
7c0XG5cIJTrrAgEC3ULPiq	Ty Dolla $ign	['hip hop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']	7	7
2urF8dgLVfDjunO0pcHUEe	Alvaro Soler	['latin pop']	7	1
57uA41c5h8M3FSaceJOwsQ	SecretRank	[]	7	7
4V8Sr092TqfHkfAA5fXXqG	Luis Fonsi	['latin pop', 'puerto rican pop']	7	7
1URnnhqYAYcrqrcwql10ft	21 Savage	['atl hip hop', 'hip hop', 'rap', 'trap']	7	6
6vWDO969PvNqNYHIOW5v0m	Beyoncé	['pop', 'r&b']	7	5
00FQb4jTyendYWaN8pK0wa	Lana Del Rey	['art pop', 'pop']	7	2
4Q6nIcaBED8qUel8bBx6Cr	Jax Jones	['dance pop', 'edm', 'house', 'pop dance', 'uk dance', 'uk pop']	7	7
5JZ7CnR6gTvEMKX4g70Amv	Lauv	['pop']	7	1
3e7awlrlDSwF3iM0WBjGMp	Little Mix	['girl group', 'pop', 'talent show', 'uk pop']	7	5
3wyVrVrFCkukjdVIdirGVY	Lil Pump	['emo rap', 'miami hip hop', 'pop rap', 'rap', 'trap']	7	3
23fqKkggKUBHNkbKtXEls4	Kygo	['edm', 'pop', 'pop dance', 'tropical house']	6	6
1IueXOQyABrMOprrzwQJWN	Sigala	['dance pop', 'edm', 'pop dance', 'uk dance', 'uk pop']	6	6
2hPgGN4uhvXAxiXQBIXOmE	KIDS SEE GHOSTS	['rap']	6	4
13y7CgLHjMVRMDqxdx0Xdo	Gucci Mane	['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']	6	6
2ysnwxxNtSgbb9t1m2Ur4j	George Ezra	['folk-pop', 'neo-singer-songwriter']	6	1
1HY2Jd0NmPuamShAr6KMms	Lady Gaga	['art pop', 'dance pop', 'pop']	6	3
0kh9Gvy9lGZsq84x7I37DC	Beteo	['polish hip hop', 'polish trap']	6	6
0awWNjR5qmSZsQVFAo2NsR	2K	['polish hip hop']	6	6
25uiPmTg16RbhZWAqwLBy5	Charli XCX	['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']	6	5
3fMbdgg4jU18AjLCKBhRSm	Michael Jackson	['r&b', 'soul']	6	2
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	6	2
7f5Zgnp2spUuuzKplmRkt7	Lost Frequencies	['belgian edm', 'edm', 'pop dance', 'tropical house']	6	6
5pUo3fmmHT8bhCyHE52hA6	Liam Payne	['pop']	6	6
5pKCCKE2ajJHZ9KAiaK11H	Rihanna	['barbadian pop', 'pop', 'urban contemporary']	6	4
46l56iJIbp8BjUiNb9tG4b	Flawless	[]	6	6
71tiWMKZ5wpl6E0BdwVQza	Blacha 2115	['polish hip hop', 'polish trap']	5	3
2qxJFvFYMEDqd7ui6kSAcq	Zedd	['complextro', 'edm', 'german techno', 'pop', 'pop dance']	5	5
2oRTLExi1ct74cVtfAwfhV	Gromee	['polish pop']	5	5
5GwdnlZaSwKpHmjcAijATP	Smolasty	['polish hip hop', 'polish pop', 'polish trap']	5	5
6jJ0s89eD6GaHleKKya26X	Katy Perry	['pop']	5	4
4EzkuveR9pLvDVFNx6foYD	James Bay	['neo mellow', 'pop', 'uk pop']	5	0
07YZf4WDAMNwqr4jfgOZ8y	Jason Derulo	['dance pop', 'pop']	5	4
4ScCswdRlyA23odg9thgIO	Jess Glynne	['pop', 'uk pop']	5	2
2feDdbD5araYcm6JhFHHw7	Labrinth	['indie poptimism', 'pop']	5	5
6IZ4ctovY9dl7bgHClAvKJ	LSD	[]	5	5
7f0OLhGgBMX9fUjm1dcPip	Alice Merton	[]	5	1
7adgheUEf2iOUaJaz0o1YI	Miyo	['polish hip hop']	5	5
1l7ZsJRRS8wlW3WfJfPfNS	Christina Aguilera	['dance pop', 'pop']	5	4
7t0rwkOPGlDPEhaOcVtOt9	The Cranberries	['irish rock', 'pop rock', 'rock']	5	0
540vIaP2JwjQb9dm3aArA4	DJ Snake	['edm', 'electronic trap', 'pop', 'pop dance']	5	5
4IOcH2NQRq0s00mQkkqCOw	D3W	[]	5	5
70W7rQt07eDkynzl9JqHAB	Piotr Zioła	['polish indie']	5	3
20JZFwl6HVl6yg8a4H3ZqK	Panic! At The Disco	['pop']	5	0
2v295z585SM68pluEKXKSM	Kayah	['polish pop']	5	1
