artist_id	name	genres	years_on_charts	num_hits	num_collab_hits
2ufQfSFDFXfMS7MEMzdGZE	Białas	['polish hip hop', 'polish trap']	[2017, 2018, 2019, 2020, 2021, 2022]	144	135
7CJgLPEqiIRuneZSolpawQ	Taco Hemingway	['polish hip hop', 'polish trap']	[2017, 2018, 2019, 2020, 2021, 2022]	137	81
0LX2VNf5w4iOHW1yyIqb74	Bedoes 2115	['polish hip hop', 'polish trap']	[2017, 2018, 2019, 2020, 2021, 2022]	137	136
7afPAbg5jb45KFUSnHIMFG	Lanek	['polish electronica', 'polish hip hop', 'polish trap']	[2017, 2018, 2019, 2020, 2021, 2022]	127	127
4nPxrGG7k7aEKmNLsfX4cd	White 2115	['polish hip hop', 'polish trap']	[2018, 2019, 2020, 2021, 2022]	125	87
0QR764k0D36npmTMWx5bft	Żabson	['polish hip hop', 'polish trap']	[2017, 2018, 2019, 2020, 2021, 2022]	114	84
0Wi2fADbhwXlPUWxBmzo99	Szpaku	['polish hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	114	101
1yq2JzsqbzFbJ1B7wGOXLc	Young Igi	['polish hip hop', 'polish trap']	[2017, 2018, 2019, 2020, 2021, 2022]	112	82
1fxbULcd6ryMNc1usHoP0R	Quebonafide	['polish hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	108	83
462yq5vpZnO172v3nK9ibv	Paluch	['polish hip hop', 'polish trap', 'rap motywacja']	[2017, 2018, 2019, 2020, 2021, 2022]	99	72
2IHoZ3RrDJIikMRsYgHjhy	Kizo	['polish hip hop', 'polish trap']	[2018, 2019, 2020, 2021, 2022]	96	76
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	96	16
43yekIowVCHkR6TGGg9gSp	Jan-Rapowanie	['polish hip hop']	[2018, 2019, 2020, 2021, 2022]	95	85
0WDJa0qnagyOnMaiD26wht	Kubi Producent	['polish hip hop', 'polish trap']	[2017, 2018, 2019, 2020, 2021, 2022]	90	90
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	[2017, 2018, 2019, 2020, 2021, 2022]	89	37
7v49oVVUhvIQG5EK0jkcF7	PRO8L3M	['polish hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	88	21
00FQb4jTyendYWaN8pK0wa	Lana Del Rey	['art pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	86	20
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	85	32
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	[2017, 2018, 2019, 2020, 2021]	85	37
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	[2017, 2018, 2019, 2020, 2021, 2022]	82	36
0AEQNlJAZeghMaFyIYfrQG	SB Maffija	['polish hip hop']	[2019, 2020, 2021, 2022]	82	82
4zvO09rVUIVTeALhs6xLoB	Otsochodzi	['polish hip hop', 'polish trap']	[2017, 2018, 2019, 2020, 2021, 2022]	81	56
