artist_id	name	genres	num_hits	num_collab_hits
1yR65psqiazQpeM79CcGh8	Marília Mendonça	['arrocha', 'sertanejo', 'sertanejo universitario']	42	18
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	37	23
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	36	24
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	33	5
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	31	2
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	30	3
0eDvMgVFoNV3TpwtrVCoTj	Pop Smoke	['brooklyn drill', 'rap']	27	19
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	25	12
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	24	4
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	24	11
7kR1Yw4RqYhhDD3a8QRyG6	Julinho Ksd	['hip hop tuga', 'rap criolo']	23	10
5jfz7uWPwf03hdEewW8AI8	Wet Bed Gang	['hip hop tuga', 'trap tuga']	22	0
4dpARuHxo51G3z768sgnrY	Adele	['british soul', 'pop', 'pop soul', 'uk pop']	21	0
1fV7Au7ymGP3uhDV1TfjSd	LON3R JOHNY	['hip hop tuga', 'trap tuga']	20	6
5cj0lLjcoR7YOSnhnX0Po5	Doja Cat	['dance pop', 'pop']	19	11
7jVv8c5Fj3E9VhNjxT4snq	Lil Nas X	['lgbtq+ hip hop']	19	6
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	19	11
4V8LLVI7PbaPR0K2TGSxFF	Tyler, The Creator	['hip hop', 'rap']	18	10
6l3HvQ5sa6mXTsMTB19rO5	J. Cole	['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']	17	7
59jlthNnbmim5l9tmNA7se	Maiara & Maraisa	['sertanejo', 'sertanejo universitario']	16	16
1GxkXlMwML1oSg5eLPiAz3	Michael Bublé	['adult standards', 'canadian pop', 'jazz pop', 'lounge']	16	4
0du5cEVh5yTK9QJze8zA0C	Bruno Mars	['dance pop', 'pop']	16	12
7xDYCf4fsGxHBp8Blo9D94	Chico da Tina	['rap portuense']	16	3
1McMsnEElThX1knmY4oliG	Olivia Rodrigo	['pop']	15	1
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	14	9
4PzYKhC14sTJNEr0dzoo0d	Luísa Sonza	['pop nacional']	14	10
7FNnA9vBm6EKceENgCGRMb	Anitta	['funk pop', 'funk rj', 'pagode baiano', 'pop', 'pop nacional']	14	11
6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	['dance pop', 'pop', 'uk pop']	13	7
3jK9MiCrA42lLAdMGUZpwa	Anderson .Paak	['escape room', 'hip hop', 'indie soul', 'neo soul']	12	12
6PvvGcCY2XtUcSRld1Wilr	Silk Sonic	['neo soul']	12	12
1vyhD5VmyZ7KMfW5gqLgo5	J Balvin	['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']	12	12
6AgTAQt8XS6jRWi4sX7w49	Polo G	['chicago rap', 'rap']	12	9
0lAWpj5szCSwM4rUMHYmrr	Måneskin	['indie rock italiano', 'italian pop', 'pop']	11	0
39HJXjH5hKcCzaU0g6mv8G	Plutonio	['hip hop tuga']	11	2
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	11	4
00FQb4jTyendYWaN8pK0wa	Lana Del Rey	['art pop', 'pop']	11	1
181bsRPaVXVlUKXrxwZfHK	Megan Thee Stallion	['houston rap', 'pop', 'rap', 'trap queen']	11	9
2tIP7SsRs7vjIcLrU85W8J	The Kid LAROI	['australian hip hop']	11	8
6QHREBOQktWsYBfrxW93rk	T-Rex	['hip hop tuga', 'trap tuga']	10	5
15UsOTVnJzReFVN1VCnxy4	XXXTENTACION	['emo rap', 'miami hip hop']	10	2
4q3ewBCX7sLwd24euuV69X	Bad Bunny	['reggaeton', 'trap latino', 'urbano latino']	9	8
3LZCMaZWwvhYyQeEfWgVdY	Bispo	['hip hop tuga']	9	8
50co4Is1HCEo8bhOyUWKpn	Young Thug	['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']	8	8
4Gso3d4CscCijv0lmajZWs	Don Toliver	['rap', 'trap']	8	4
4gzpq5DPGxSnKTe4SA8HAU	Coldplay	['permanent wave', 'pop']	8	3
2e8RAcYXYt5IStoaaQWcG8	Greg Ferreira	[]	8	0
163tK9Wjr9P9DmM0AVK7lm	Lorde	['art pop', 'metropopolis', 'nz pop', 'pop']	7	0
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	7	6
4tZwfgrHOc3mvqYlEYSvVi	Daft Punk	['electro', 'filter house', 'rock']	7	4
6Xgp2XMz1fhVYe7i6yNAax	Trippie Redd	['melodic rap', 'rap', 'trap']	7	7
