artist_id	name	genres	num_hits	num_collab_hits
1QexdJFYGyxdBlEpDSy0d4	NANE	['romanian rap', 'romanian trap']	69	38
4O15NlyKLIASxsJ0PrXPfz	Lil Uzi Vert	['melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']	63	38
03eZ4y8baXNaR68hpkkDoq	Amuly	['romanian trap']	56	46
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	46	23
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	46	5
20SBqzpuFoymhieHTNHUgl	Killa Fonic	['romanian rap', 'romanian trap']	42	15
1RyvyyTE3xzB2ZywiAwp0i	Future	['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']	41	32
6dKPNkSEQOrRRvZz63Y47F	Oscar	['romanian trap']	41	29
5ysOQVQHHU9GJZBKmZMRHv	Azteca	['romanian trap']	41	33
0GoJXmDr5UBG8ValCZe4om	Ian	['romanian trap']	39	30
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	37	18
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	35	10
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	33	4
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	32	22
0eDvMgVFoNV3TpwtrVCoTj	Pop Smoke	['brooklyn drill', 'rap']	30	17
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	29	18
4r63FhuTkUYltbVAg5TQnk	DaBaby	['hip hop', 'north carolina hip hop', 'rap', 'trap']	29	19
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	28	10
699OTQXzgjhIYAHMy9RyPD	Playboi Carti	['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']	27	5
0C8ZW7ezQVs4URX5aX7Kqx	Selena Gomez	['pop', 'post-teen pop']	24	6
6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	['dance pop', 'pop', 'uk pop']	23	9
01tCOipZP0bkn0LjSZ5S5i	El Nino	['romanian rap', 'romanian trap']	21	10
2hlmm7s2ICUX0LVIhVFlZQ	Gunna	['atl hip hop', 'melodic rap', 'rap', 'trap']	21	18
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	20	14
7gZfnEnfiaHzxARJ2LeXrf	6ix9ine	['emo rap']	20	10
0cA9DRt344kHIuWkY87dEk	PRNY	['romanian trap']	19	19
5f7VJjfbwm532GiveGC0ZK	Lil Baby	['atl hip hop', 'atl trap', 'rap', 'trap']	19	12
1HY2Jd0NmPuamShAr6KMms	Lady Gaga	['art pop', 'dance pop', 'pop']	19	6
5CqmNRrmp3UP3NGccmlKHR	Bvcovia	['romanian trap']	18	14
26VFTg2z8YR0cCuwLzESi2	Halsey	['electropop', 'etherpop', 'indie poptimism', 'pop']	18	9
50co4Is1HCEo8bhOyUWKpn	Young Thug	['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']	17	17
1URnnhqYAYcrqrcwql10ft	21 Savage	['atl hip hop', 'hip hop', 'rap', 'trap']	17	17
0iEtIxbK0KxaSlF7G42ZOp	Metro Boomin	['rap']	17	17
5JZ7CnR6gTvEMKX4g70Amv	Lauv	['pop']	16	13
4Gso3d4CscCijv0lmajZWs	Don Toliver	['rap', 'trap']	16	9
050D4ZE1dXVfLSrQADtEu3	Calinacho	['romanian trap']	15	15
1OQa8VMULlbmbFmDcdfBZj	Irina Rimes	['moldovan pop', 'romanian pop']	15	8
0fA0VVWsXO9YnASrzqfmYu	Kid Cudi	['hip hop', 'ohio hip hop', 'pop rap', 'rap']	15	6
23fqKkggKUBHNkbKtXEls4	Kygo	['edm', 'pop', 'pop dance', 'tropical house']	14	14
14FALEJhinV2eukNiCCRfH	Foreign Boys	['romanian trap']	14	14
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	14	1
41MozSoPIsD1dJM0CLPjZF	BLACKPINK	['k-pop', 'k-pop girl group', 'pop']	13	5
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	13	10
757aE44tKEUQEqRuT6GnEB	Roddy Ricch	['melodic rap', 'rap', 'trap']	12	11
07nCYoPlXkWlhC2FHm1INS	Marko Glass	['romanian trap']	12	10
7n2wHs1TKAczGzO7Dd2rGr	Shawn Mendes	['canadian pop', 'pop', 'viral pop']	12	4
5LHRHt1k9lMyONurDHEdrp	Tyga	['hip hop', 'pop rap', 'rap', 'trap']	11	9
7rkW85dBwwrJtlHRDkJDAC	NAV	['canadian hip hop', 'canadian trap', 'melodic rap', 'rap', 'toronto rap', 'trap']	11	11
15UsOTVnJzReFVN1VCnxy4	XXXTENTACION	['emo rap', 'miami hip hop']	11	2
5h0wBmd25qPcGSInl3dp66	Tzanca Uraganu	['manele']	10	2
5RmQ8k4l3HZ8JoPb4mNsML	Agust D	['k-rap']	10	4
3MZsBdqDrRTJihTHQrO6Dq	Joji	['viral pop']	10	2
2wY79sveU1sp5g7SokKOiI	Sam Smith	['pop', 'uk pop']	9	3
6Xgp2XMz1fhVYe7i6yNAax	Trippie Redd	['melodic rap', 'rap', 'trap']	9	8
0VRj0yCOv2FXJNP47XQnx5	Quavo	['atl hip hop', 'melodic rap', 'rap', 'trap']	9	9
4LLpKhyESsyAXpc4laK94U	Mac Miller	['hip hop', 'pittsburgh rap', 'rap']	9	0
33CSqdyro89aOFiZb5fU5U	AlbertNbn	['romanian trap']	9	6
2LIk90788K0zvyj2JJVwkJ	Jack Harlow	['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']	9	5
4npEfmQ6YuiwW1GpUmaq3F	Ava Max	['pop']	8	1
6o6jMpcBBv4jMOEE1Z4tlJ	Jador	['manele']	8	7
5nlhxXs2Lgr8nH98jC26pw	Costi	['manele']	8	8
5cj0lLjcoR7YOSnhnX0Po5	Doja Cat	['dance pop', 'pop']	8	5
0ErzCpIMyLcjPiwT4elrtZ	NLE Choppa	['memphis hip hop', 'rap']	8	6
5Rl15oVamLq7FbSb0NNBNy	5 Seconds of Summer	['boy band', 'pop']	8	0
2tIP7SsRs7vjIcLrU85W8J	The Kid LAROI	['australian hip hop']	8	5
5YGY8feqx7naU7z4HrwZM6	Miley Cyrus	['pop']	8	3
2kCcBybjl3SAtIcwdWpUe3	Lil Peep	['cloud rap', 'emo rap', 'lgbtq+ hip hop']	8	4
64KEffDW9EtZ1y2vBYgq8T	Marshmello	['brostep', 'edm', 'pop', 'progressive electro house']	8	8
6AgTAQt8XS6jRWi4sX7w49	Polo G	['chicago rap', 'rap']	8	5
0hCNtLu0JehylgoiP8L4Gh	Nicki Minaj	['hip pop', 'pop', 'queens hip hop', 'rap']	8	7
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	7	5
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	7	5
31W5EY0aAly4Qieq6OFu6I	A Boogie Wit da Hoodie	['melodic rap', 'rap', 'trap']	7	4
1yxSLGMDHlW21z4YXirZDS	Black Eyed Peas	['dance pop', 'pop', 'pop rap']	7	6
05qpk4JDcLSFNJSsPIZ8Ye	The Motans	['romanian pop']	7	5
1vyhD5VmyZ7KMfW5gqLgo5	J Balvin	['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']	7	6
3VJVPEzq5oAZgzGdDbxSCt	Super Ed	['romanian trap']	7	7
2jku7tDXc6XoB6MO2hFuqg	Tory Lanez	['canadian hip hop', 'canadian trap', 'melodic rap', 'r&b', 'rap', 'toronto rap', 'trap']	7	4
4kYSro6naA4h99UJvo89HB	Cardi B	['pop', 'rap']	6	6
4DdkRBBYG6Yk9Ka8tdJ9BW	Offset	['atl hip hop', 'rap', 'trap']	6	6
181bsRPaVXVlUKXrxwZfHK	Megan Thee Stallion	['houston rap', 'pop', 'rap', 'trap queen']	6	4
1GxkXlMwML1oSg5eLPiAz3	Michael Bublé	['adult standards', 'canadian pop', 'jazz pop', 'lounge']	6	2
2cFrymmkijnjDg9SS92EPM	blackbear	['pop']	6	3
3mvNlyhC8Q8QfBO7Po6C0H	Mr. Glasses	[]	6	0
1ysWfyst6AVhXhwwtRFr7k	Bichiko	[]	6	0
7c0XG5cIJTrrAgEC3ULPiq	Ty Dolla $ign	['hip hop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']	6	6
60KR2lVVoYd6GIcfLoUjPI	Dani Mocanu	['manele']	6	5
