artist_id	name	genres	years_on_charts	num_hits	num_collab_hits
1QexdJFYGyxdBlEpDSy0d4	NANE	['romanian rap', 'romanian trap']	[2018, 2019, 2020, 2021, 2022]	180	99
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	[2018, 2019, 2020, 2021, 2022]	118	65
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	[2018, 2019, 2020, 2021, 2022]	106	52
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	[2018, 2019, 2020, 2021, 2022]	104	21
03eZ4y8baXNaR68hpkkDoq	Amuly	['romanian trap']	[2018, 2019, 2020, 2021, 2022]	103	90
20SBqzpuFoymhieHTNHUgl	Killa Fonic	['romanian rap', 'romanian trap']	[2018, 2019, 2020, 2021, 2022]	89	33
5ysOQVQHHU9GJZBKmZMRHv	Azteca	['romanian trap']	[2018, 2019, 2020, 2021, 2022]	89	69
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	[2018, 2019, 2020, 2021, 2022]	86	62
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	[2018, 2019, 2020, 2021, 2022]	86	34
0GoJXmDr5UBG8ValCZe4om	Ian	['romanian trap']	[2018, 2019, 2020, 2021, 2022]	85	41
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	[2018, 2019, 2020, 2021, 2022]	81	43
1RyvyyTE3xzB2ZywiAwp0i	Future	['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']	[2018, 2019, 2020, 2021, 2022]	81	60
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	[2018, 2019, 2020, 2021, 2022]	81	33
4O15NlyKLIASxsJ0PrXPfz	Lil Uzi Vert	['melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']	[2018, 2019, 2020, 2021]	81	52
15UsOTVnJzReFVN1VCnxy4	XXXTENTACION	['emo rap', 'miami hip hop']	[2018, 2019, 2020, 2021, 2022]	77	29
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	[2018, 2019, 2020, 2021, 2022]	77	15
2hlmm7s2ICUX0LVIhVFlZQ	Gunna	['atl hip hop', 'melodic rap', 'rap', 'trap']	[2018, 2019, 2020, 2021, 2022]	69	56
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	[2018, 2019, 2020, 2021, 2022]	67	33
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	[2018, 2019, 2020, 2021, 2022]	67	21
50co4Is1HCEo8bhOyUWKpn	Young Thug	['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']	[2018, 2019, 2020, 2021, 2022]	63	59
6dKPNkSEQOrRRvZz63Y47F	Oscar	['romanian trap']	[2019, 2020, 2021, 2022]	63	49
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	[2018, 2019, 2020, 2021, 2022]	57	5
1URnnhqYAYcrqrcwql10ft	21 Savage	['atl hip hop', 'hip hop', 'rap', 'trap']	[2018, 2019, 2020, 2021, 2022]	57	40
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	[2018, 2019, 2020, 2021, 2022]	54	30
0eDvMgVFoNV3TpwtrVCoTj	Pop Smoke	['brooklyn drill', 'rap']	[2019, 2020, 2021, 2022]	52	33
5f7VJjfbwm532GiveGC0ZK	Lil Baby	['atl hip hop', 'atl trap', 'rap', 'trap']	[2018, 2019, 2020, 2021, 2022]	51	42
5CqmNRrmp3UP3NGccmlKHR	Bvcovia	['romanian trap']	[2019, 2020, 2021, 2022]	51	37
6ocuMBOl5OFS3AViv3DnG6	RAVA	['romanian trap']	[2020, 2021, 2022]	49	40
0hCNtLu0JehylgoiP8L4Gh	Nicki Minaj	['hip pop', 'pop', 'queens hip hop', 'rap']	[2018, 2019, 2020, 2021, 2022]	48	41
07nCYoPlXkWlhC2FHm1INS	Marko Glass	['romanian trap']	[2019, 2020, 2021, 2022]	48	35
