artist_id	name	genres	years_on_charts	num_hits	num_collab_hits
0XNKQFs2Ewb3y0VsFUFc5l	MORGENSHTERN	['russian hip hop', 'russian trap']	[2020, 2021, 2022]	62	22
3vvLuXEEf7sl3izJcw0GIn	Skryptonite	['central asian hip hop', 'kazakh hip hop', 'russian hip hop', 'russian trap']	[2020, 2021, 2022]	60	38
3KtiWEUyKC5lgHedcN6y6C	MAYOT	['russian drill', 'russian hip hop', 'russian trap']	[2020, 2021, 2022]	59	34
1H1zBr7TXFwTwsHU5kX9gW	OG Buda	['russian drill', 'russian hip hop', 'russian trap']	[2020, 2021, 2022]	57	45
1gCOYbJNUa1LBVO5rlx0jB	Oxxxymiron	['russian grime', 'russian hip hop', 'russian trap']	[2020, 2021, 2022]	56	5
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	[2020, 2021, 2022]	55	8
4h8pGxEIOi7j4me1yhYxlD	LSP	['belarusian hip hop', 'russian alt pop', 'russian hip hop']	[2020, 2021, 2022]	53	13
3TikHXhctY4FUIMlkl0tzR	SODA LUV	['russian drill', 'russian hip hop', 'russian trap']	[2020, 2021, 2022]	52	33
5NipqMGsY4AUeb7kGT8aVz	kizaru	['russian emo rap', 'russian hip hop', 'russian trap']	[2020, 2021, 2022]	44	21
0ne2rg2JwZmIy7X1aVNq7y	163ONMYNECK	['russian drill', 'russian hip hop']	[2020, 2021, 2022]	41	26
5A9NWhs9ydYZPGgvcWI8Ms	LOVV66	['russian drain', 'russian hip hop', 'russian trap']	[2021, 2022]	41	16
3Vfd5HJnhjnvdyuQYHtYa2	Markul	['russian hip hop', 'russian trap']	[2020, 2021, 2022]	37	9
7dH8w9flSy9w81ilr0xXWe	Boulevard Depo	['russian hip hop', 'russian trap']	[2020, 2021, 2022]	36	29
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	[2020, 2021, 2022]	35	14
2z20q6EEfm6w6PiIKsgtb3	FACE	['kavkaz', 'russian emo rap', 'russian grime', 'russian hip hop', 'russian trap']	[2020, 2021, 2022]	34	1
2dIgFjalVxs4ThymZ67YCE	Stray Kids	['k-pop', 'k-pop boy group', 'pop']	[2020, 2021, 2022]	34	1
5meD8C7oGK5yUEY2T7ZZ7W	Max Korzh	['belarusian hip hop', 'russian hip hop']	[2020, 2021, 2022]	32	0
2KoLmBXwsgMkfAvoPBlPmb	Egor Kreed	['russian hip hop', 'russian pop']	[2020, 2021, 2022]	32	19
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	[2020, 2021, 2022]	31	4
0ohUvVskERzK18bvWXFEqi	GONE.Fludd	['russian hip hop', 'russian trap']	[2020, 2021, 2022]	30	7
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	[2020, 2021]	29	20
1F8usyx5PbYGWxf0bwdXwA	PHARAOH	['russian emo rap', 'russian grime', 'russian hip hop']	[2020, 2021, 2022]	29	9
5rXtHvb8jMNgmSX7Khd77x	pyrokinesis	['russian alt pop', 'russian hip hop']	[2020, 2021, 2022]	29	8
2n6CVwo43YvjiTgcPxYWrf	ATL	['russian hip hop', 'russian trap']	[2020, 2021, 2022]	29	7
5NMwoStnfHT4LdETlJSwDT	Big Baby Tape	['russian hip hop', 'russian trap']	[2020, 2021, 2022]	28	21
4TzGOY9RpErzedN02w8Boh	Платина	['russian drain', 'russian hip hop', 'russian trap']	[2020, 2021, 2022]	28	12
699OTQXzgjhIYAHMy9RyPD	Playboi Carti	['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']	[2020, 2021]	28	7
3EsjO0y0DE1GC453Sgyr7Z	FEDUK	['russian hip hop', 'russian trap']	[2020, 2021, 2022]	27	11
2nAUHbKI7TZShUwFpk6G08	Husky	['russian hip hop', 'russian trap']	[2020, 2021]	27	4
2Nl6vz4KNIHQjyoOLTadCn	Loqiemean	['russian hip hop', 'russian trap']	[2020, 2021]	26	4
55jryyk7RhvMbrvoF0ndBh	SLAVA MARLOW	['russian hip hop']	[2020, 2021, 2022]	26	11
1WAB4gjjNfQpAgT5SoAbRE	ROCKET	['russian drill', 'russian hip hop', 'russian trap']	[2020, 2021, 2022]	26	13
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	[2020, 2021]	26	10
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	[2020, 2021]	24	2
1hwKCeSXpLrh4OQND6iQHw	OBLADAET	['russian drill', 'russian grime', 'russian hip hop', 'russian trap']	[2020, 2021, 2022]	24	9
2ngiK5FQchV4i7eOyXOXKt	SEEMEE	['russian drill', 'russian trap']	[2020, 2021, 2022]	24	20
3IwaLzOzILWyMzjXFWiDbW	JEEMBO	['russian drill', 'russian emo rap', 'russian hip hop', 'russian trap']	[2020, 2021, 2022]	24	17
0Cm90jv892OeEegB3ELmvN	Eldzhey	['russian hip hop', 'russian pop']	[2020, 2021, 2022]	23	14
3Th60WEZwIWceINQVE4Ipx	104	['kazakh hip hop', 'russian hip hop', 'russian trap']	[2020, 2021, 2022]	22	22
0ChMIwzbYxHbebgoPeETfV	Lida	['russian hip hop', 'russian rave']	[2020, 2021, 2022]	22	10
5U2ISoieRzT6TaqiXumcXl	SQWOZ BAB	['russian hip hop']	[2020, 2021]	22	13
5VKufGMVAZ6fs111xYNKnU	MACAN	['russian gangster rap', 'russian hip hop']	[2020, 2021, 2022]	22	3
0j6G5eiOcrSdlyqaYwtxwS	LIZER	['russian hip hop', 'russian trap']	[2020, 2021, 2022]	21	3
6oO3QiWdVj5FZQwbdRtsRh	Zemfira	['classic russian rock', 'russian rock', 'tatar pop']	[2020, 2021, 2022]	21	0
2eiThpX5zH6LFmqP2HY1hL	Дора	['russian alt pop', 'russian pop']	[2020, 2021, 2022]	21	5
69v4ZOOomf1TNp59YYB1j7	Noize MC	['russian hip hop', 'russian reggae', 'russian rock']	[2020, 2021]	21	6
4HVffUWlHdRmS5dpOvDVyJ	LILDRUGHILL	['russian trap']	[2020, 2021]	20	8
0hmUwzWBrPHpGWGrYH05c3	Miyagi & Andy Panda	['russian hip hop']	[2020, 2021, 2022]	20	5
07tFgedhta5b5WaF0Yj4bH	SALUKI	['russian hip hop', 'russian trap']	[2020, 2021, 2022]	20	19
4jIvmo6hfAQ04NSOWPVVA3	кис-кис	['russian alt pop', 'russian punk']	[2020, 2021, 2022]	20	2
2e7yDxnK4osy7nKhnqrOFM	Anacondaz	['russian hip hop', 'russian rock']	[2020, 2021]	19	5
