artist_id	name	genres	years_on_charts	num_hits	num_collab_hits
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	[2019, 2020, 2021, 2022]	112	21
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	[2019, 2020, 2021, 2022]	94	15
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	[2019, 2020, 2021, 2022]	70	45
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	[2019, 2020, 2021, 2022]	61	17
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	[2019, 2020, 2021, 2022]	52	27
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	[2019, 2020, 2021, 2022]	50	26
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	[2019, 2020, 2021, 2022]	47	26
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	[2019, 2020, 2021, 2022]	47	34
0C8ZW7ezQVs4URX5aX7Kqx	Selena Gomez	['pop', 'post-teen pop']	[2019, 2020, 2021, 2022]	43	18
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	[2019, 2020, 2021, 2022]	40	19
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	[2019, 2020, 2021, 2022]	38	7
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	[2019, 2020, 2021, 2022]	38	29
1nzgtKYFckznkcVMR3Gg4z	KSI	['uk hip hop']	[2019, 2020, 2021]	36	25
7n2Ycct7Beij7Dj7meI4X0	TWICE	['k-pop', 'k-pop girl group', 'pop']	[2019, 2020, 2021, 2022]	33	0
6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	['dance pop', 'pop', 'uk pop']	[2019, 2020, 2021, 2022]	33	16
26VFTg2z8YR0cCuwLzESi2	Halsey	['electropop', 'etherpop', 'indie poptimism', 'pop']	[2019, 2020, 2021, 2022]	32	11
7zjX652bWyemXyFFVhBnch	Abdullah Al Farwan	['sheilat']	[2020, 2021, 2022]	30	6
