artist_id	name	genres	years_on_charts	num_hits	num_collab_hits
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	[2017, 2018, 2019, 2020, 2021, 2022]	136	72
3tNPDodRNuLdezJnTsYOqy	Dree Low	['swedish drill', 'swedish gangsta rap', 'swedish hip hop', 'swedish trap', 'swedish trap pop']	[2017, 2018, 2019, 2020, 2021, 2022]	107	66
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	[2017, 2018, 2019, 2020, 2021, 2022]	100	53
3PtEOX0PJSh7ndOL4tP0NR	Z.E	['swedish drill', 'swedish gangsta rap', 'swedish hip hop', 'swedish trap', 'swedish trap pop']	[2017, 2018, 2019, 2020, 2021]	100	44
0kKygNaCQjqVLrImIftRDJ	Einár	['swedish gangsta rap', 'swedish hip hop', 'swedish trap', 'swedish trap pop']	[2019, 2020, 2021, 2022]	96	64
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	91	61
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	90	46
2EWsHDexsSInArfFkhA2i6	Jireel	['swedish drill', 'swedish hip hop', 'swedish reggae', 'swedish trap', 'swedish trap pop']	[2017, 2018, 2019, 2020, 2021, 2022]	88	51
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	87	42
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	87	37
1vCWHaC5f2uS3yhpwWbIA6	Avicii	['edm', 'pop', 'pop dance']	[2017, 2018, 2019, 2020, 2021, 2022]	80	39
68dW5BU6sdVNf099EylxEt	Hov1	['fotbollslatar', 'swedish idol pop', 'swedish pop', 'swedish pop rap']	[2017, 2018, 2019, 2020, 2021, 2022]	79	10
