artist_id	name	genres	num_hits	num_collab_hits
15UsOTVnJzReFVN1VCnxy4	XXXTENTACION	['emo rap', 'miami hip hop']	46	13
53XhwfbYqKCa1cC15pYq2q	Imagine Dragons	['modern rock', 'pop', 'rock']	39	2
721o1Z0J6jQupyzLt9RnEk	Yzomandias	['czech drill', 'czech hip hop', 'czsk hip hop']	38	33
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	36	12
7gZfnEnfiaHzxARJ2LeXrf	6ix9ine	['emo rap']	34	20
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	31	15
6gvVFtkTV4OCyQSCzGgU1h	Nik Tendo	['czech hip hop', 'czsk hip hop']	31	30
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	28	10
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	27	10
7n2wHs1TKAczGzO7Dd2rGr	Shawn Mendes	['canadian pop', 'pop', 'viral pop']	23	5
0hCNtLu0JehylgoiP8L4Gh	Nicki Minaj	['hip pop', 'pop', 'queens hip hop', 'rap']	23	20
2L3W8TmknCpxsOCiZQixyl	Ego	['czsk hip hop']	23	14
69GGBxA162lTqCwzJG5jLp	The Chainsmokers	['electropop', 'pop']	21	12
4gvBx2BxCJcy3Ysiih8AAG	Majk Spirit	['czech pop', 'czsk hip hop', 'slovak hip hop']	21	7
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	20	15
1vCWHaC5f2uS3yhpwWbIA6	Avicii	['edm', 'pop', 'pop dance']	20	7
2kCcBybjl3SAtIcwdWpUe3	Lil Peep	['cloud rap', 'emo rap', 'lgbtq+ hip hop']	20	4
48dz8C2SNCkNCy7DkU9tZE	Momo	['czech hip hop', 'czsk hip hop']	19	3
74T1WwwA8A9fXkT3jhk49D	DMS	['czsk hip hop', 'slovak hip hop']	18	6
3YQKmKGau1PzlVlkL1iodx	Twenty One Pilots	['modern rock', 'pop', 'pov: indie', 'rock']	18	0
1Cs0zKBU1kc0i8ypK3B9ai	David Guetta	['big room', 'dance pop', 'edm', 'pop', 'pop dance']	18	18
30qOUeQ7zwlxGl3Fl9LNzA	Strapo	['czsk hip hop', 'slovak hip hop']	18	11
13ubrt8QOOCPljQ2FL1Kca	A$AP Rocky	['east coast hip hop', 'hip hop', 'rap', 'trap']	18	9
5nnHdjcmMZ0uDgAauJQyFE	Milion Plus	['czech hip hop', 'czsk emo rap', 'czsk hip hop']	17	17
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	17	8
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	17	5
3LujD0iQ9jRbSCMA39CGfO	Separ	['czsk hip hop', 'slovak hip hop']	16	16
4nDoRrQiYLoBzwC5BhVJzF	Camila Cabello	['dance pop', 'pop']	16	5
2YZyLoL8N0Wb9xBt1NhZWg	Kendrick Lamar	['conscious hip hop', 'hip hop', 'rap', 'west coast rap']	15	12
1zNqQNIdeOUZHb8zbZRFMX	Swae Lee	['melodic rap', 'rap', 'trap']	15	15
0lf8LVkrjg9GudchoppC5q	Zayo	['czsk hip hop', 'slovak trap']	15	9
4kYSro6naA4h99UJvo89HB	Cardi B	['pop', 'rap']	14	12
6oMuImdp5ZcFhWP0ESe6mG	Migos	['atl hip hop', 'hip hop', 'rap', 'trap']	13	8
1HY2Jd0NmPuamShAr6KMms	Lady Gaga	['art pop', 'dance pop', 'pop']	13	7
1dfeR4HaWDbWqFHLkxsg1d	Queen	['classic rock', 'glam rock', 'rock']	13	1
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	13	7
7gQ6tkspAoOOoDaCuVcSwH	Sima	['czech pop', 'czsk hip hop']	12	3
6A7jNA1DlUaZPTg51DOyTC	Karlo	['czsk hip hop', 'slovak hip hop']	12	12
6qtdtH7BAqRMiG7d3djqta	Fobia Kid	['czsk hip hop']	12	7
1URnnhqYAYcrqrcwql10ft	21 Savage	['atl hip hop', 'hip hop', 'rap', 'trap']	12	9
5WUlDfRSoLAfcVSX1WnrxN	Sia	['australian dance', 'australian pop', 'pop']	12	10
41Vy9bg5eOy5RWPiTE8pBI	Lvcas Dope	['czech hip hop', 'czsk hip hop']	12	12
062wPuKbdxVkXURZqv0Pgj	DJ Wich	['czech hip hop', 'czsk hip hop']	12	12
64KEffDW9EtZ1y2vBYgq8T	Marshmello	['brostep', 'edm', 'pop', 'progressive electro house']	11	11
7Ln80lUS6He07XvHI8qqHH	Arctic Monkeys	['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']	11	0
5fMUXHkw8R8eOP2RNVYEZX	Diplo	['edm', 'electro house', 'moombahton', 'pop dance']	11	11
062AuVsQPIt8pXzbENjI9p	Kamil Hoffmann	['czech hip hop', 'czsk hip hop']	11	11
5CCwRZC6euC8Odo6y9X8jr	Rita Ora	['dance pop', 'pop', 'uk pop']	11	5
60d24wfXkVzDSfLS6hyCjZ	Martin Garrix	['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']	11	11
2AHugDX8XYbm2SNxbvptQW	Hasan	['czech hip hop', 'czsk emo rap', 'czsk hip hop']	10	10
1zNqDE7qDGCsyzJwohVaoX	Anne-Marie	['pop']	10	6
6vXTefBL93Dj5IqAWq6OTv	French Montana	['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']	10	10
4VIvfOurcf0vuLRxLkGnIG	Bradley Cooper	['hollywood']	10	7
4qla74GaFZkhFIUQvGZAEN	Nerieš	['czsk hip hop', 'slovak hip hop']	10	4
4xRYI6VqpkE3UwrDrAZL8L	Logic	['conscious hip hop', 'hip hop', 'pop rap', 'rap']	9	6
1HBjj22wzbscIZ9sEb5dyf	Jonas Blue	['pop', 'pop dance', 'tropical house', 'uk dance']	9	9
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	9	2
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	9	3
