artist_id	name	followers	popularity	main_genre	genres	image_url
1Wv8GjvqB03vEdYaPolQEO	Manu Le Malin	8274	20	french techno	['french techno', 'hardcore techno', 'tekno']	https://i.scdn.co/image/ab67616d0000b273fdc7c6bd55a3d6f7a61fb8b4
6MzxeKydmXufvX7HYPknFW	Dawn Golden	44369	41	vapor pop	['vapor pop']	https://i.scdn.co/image/ab6761610000e5eb4a8b3b9b27749b6e4e6b3614
5hqRsNHDZH1jHzI9LgxFRZ	Filipek	144438	49	polish hip hop	['polish hip hop', 'rap uliczny']	https://i.scdn.co/image/ab6761610000e5eb881bce0ae53638cd5bed9fec
65XZEmEVa5U52jYJRQzuSF	Ashish Khandal	4977	44		[]	https://i.scdn.co/image/ab6761610000e5eb397068a94efd1d65bdaf196f
1ZjPqYngrwDa5ZqwAPcj5o	Shurik'n	139808	47	french hip hop	['french hip hop', 'old school rap francais', 'rap conscient', 'rap marseille']	https://i.scdn.co/image/ab67616d0000b273f11f56f7900b1df9427695ac
1na8hI8tGXjXRf0U5gX3iX	dlb	12138	46	hard bass	['hard bass']	https://i.scdn.co/image/ab6761610000e5ebcf937c080605743e62540552
7FtCyCJCJaxabYO7Uyda5B	Cannons	269470	61		[]	https://i.scdn.co/image/ab6761610000e5ebd3a2002d72337cc63df563bc
5UHpDooo0g4yYhW86kJZqt	Giovanna Pessi	324	8		[]	https://i.scdn.co/image/8e8909a79fdcc17743f4cfb4af445714be606389
6zY5uObMbO0Snvp5jBYIdL	VM Holdet	1750	26		[]	https://i.scdn.co/image/ab67616d0000b27325a57e4d526b0675037c5f17
3TikHXhctY4FUIMlkl0tzR	SODA LUV	586862	54	russian drill	['russian drill', 'russian hip hop', 'russian trap']	https://i.scdn.co/image/ab6761610000e5ebd0fa58b7a28351fd1e64a91e
3d7R4GEA1Aw6T47an8eCZf	Rawle Night Long	232	2		[]	https://i.scdn.co/image/ab6761610000e5eb3425e219b1fd298477d7c82e
64H8UqGLbJFHwKtGxiV8OP	THE ANXIETY	156525	60	modern alternative pop	['modern alternative pop']	https://i.scdn.co/image/ab6761610000e5eb9a34535a8a1881e125b2eee5
1hND4S2NQGHriVoZ72kwYD	Whitest Taino Alive	5985	11	dominican pop	['dominican pop']	https://i.scdn.co/image/ab6761610000e5eb8b37875d1975e958e225a2ed
0wSCPWvwZfKcFcJyQbSkdF	Puuki	33469	28	german viral rap	['german viral rap']	https://i.scdn.co/image/ab6761610000e5eb587cf8e49ba641b485831e97
4hxJkEtL8YaoLC60JfzDtV	Sharxx	241	7		[]	https://i.scdn.co/image/ab6761610000e5eb517fa3f3446f8b6caaac7ab2
34wnkzeuUN3Vsni8N3wucd	Marsha Aruan	5836	4		[]	https://i.scdn.co/image/ab67616d0000b27307298e3b80b8b1b8c2d78d87
2nBESHLVErh34gRaXhIB18	Tashaki Miyaki	11148	27		[]	https://i.scdn.co/image/ab6761610000e5ebffe4f2201aa51561137d1014
3b6TinIPahsS8iSCYAeinr	Galt MacDermot	29927	49		[]	https://i.scdn.co/image/ab6761610000e5ebc7b4a38569897f2c145be8ff
207ge5nlUkftKtQYe76iW4	Aziz Piyade	15466	35	turkish alt pop	['turkish alt pop']	https://i.scdn.co/image/ab6761610000e5ebe56391df3dd6705a645403ec
04LdKPNs0taDflOxwGZCGe	Dachs	3699	19	swiss indie	['swiss indie']	https://i.scdn.co/image/ab6761610000e5eb2a80b7b905bb1653236d1787
2LFdUrN4MRbTSE1hWCBO2O	Vogeljongen	31661	27		[]	https://i.scdn.co/image/ab6761610000e5eb6db597ae0ebbbcfad355febd
0zr2w1FzIn1AVvA1HExoov	Dennis Hendrik Thomas Boot	1	0		[]	
5vKIV2YjcVSf3wWUkcyCR5	Our Shame	11479	32	taiwan indie	['taiwan indie']	https://i.scdn.co/image/ab6761610000e5eb20afedf3f66d1933db4fb651
5FlDsE5JsYeU2YhfVTyiaG	Pele L.	1524	21	malay rap	['malay rap', 'malaysian hip hop']	https://i.scdn.co/image/ab6761610000e5eb4f1c58a0ec03a85faf868bcf
3yJUTkFm88TiJPLhLHKumn	Rayito Colombiano	834154	60	cumbia sonidera	['cumbia sonidera', 'musica mexicana', 'norteno', 'ranchera', 'tropical']	https://i.scdn.co/image/ab6761610000e5eb9d37d37712e95972121b076d
7CDFp5V9nNvMvt8TJi7ERv	Crimson Craftsman	10856	24		[]	https://i.scdn.co/image/ab67616d0000b2739f84afb9598844175f1d842c
6tXkE3c9P6eh3NcixwV7I8	Al Jawaher	5903	18	classic malaysian pop	['classic malaysian pop']	https://i.scdn.co/image/ab67616d0000b273f8d2c367cbd2c7a1b833006f
5N5JYIR5eyLrUcwutGZdal	Airbag	8129	29	rock alternativo espanol	['rock alternativo espanol']	https://i.scdn.co/image/ab6761610000e5eb105680cd9c0f0012e7fd88cd
5B1AaSUIE8FWo6ERw95rLP	羅美玲	3641	11		[]	https://i.scdn.co/image/ab67616d0000b273e3b5a93d044f9fc33e0939f2
414TGZEIhgEl3bJv13BAsG	喻言	7310	19		[]	https://i.scdn.co/image/ab67616d0000b27312972c199f359d356c7d6490
5IaAggho4F1gWHE5REe1e8	Los Rehenes	1035729	65	grupera	['grupera', 'gruperas inmortales', 'musica mexicana', 'norteno']	https://i.scdn.co/image/ab6761610000e5eb1320ee29a0abccf33615e28b
59NO6KX7wQCG7jGdtH1NtL	Raheem DeVaughn	508093	47	contemporary r&b	['contemporary r&b', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']	https://i.scdn.co/image/ab6761610000e5eb9c345f3311b3ff86840017ba
0pXxUzQw3mSctXLJeBAsd5	Ducha Perucha	2726	3		[]	https://i.scdn.co/image/ab67616d0000b273c2f0479bae9b1ba95a3b98e3
3JyQVNildx5ZpCt6xf0jp2	Bao Han	478	20		[]	https://i.scdn.co/image/ab67616d0000b273b9b19e9c4c87661d08face94
0EMbw637lPzxSuXHbWfxDv	Syah Riszuan	23	18		[]	
7wlDjszaVnIH1DpZaJcJHX	Frandé	40249	27	taiwan indie	['taiwan indie', 'taiwan pop']	https://i.scdn.co/image/ab6761610000e5eb8d6f4f4b6f17329b236ba04b
2WOFmWRg9x2aZ9xR2yXR7A	Heiß & Schön	132	14		[]	https://i.scdn.co/image/ab6761610000e5ebee39d840897e7743d577d4ac
6VMuMAaA1TUkPZgdtJbfO4	Carte De Sejour	1842	17		[]	https://i.scdn.co/image/ab67616d0000b2739e322f3141c7a712a745dfa7
4hWc4epxTdb1KC3jRd1wDd	Walt Dohrn	341	47		[]	
5iGC2ygb6jozYjIhETTvWL	אסטמה	5	0		[]	
1iqokWFu0o5C72D1x5MuLt	Barry Jhay	206145	43	afrobeats	['afrobeats', 'nigerian pop']	https://i.scdn.co/image/ab6761610000e5eb64429979425e739e351d3a8e
0e1NrokFEZ4TDY7sJVPsSj	Zeeno	692	2		[]	https://i.scdn.co/image/ab6761610000e5eb7a56bd7909b4a744101c1664
7Fm5abjZzK07QKwvXfjLbX	Cameron Ernst	1466	19	indiecoustica	['indiecoustica']	https://i.scdn.co/image/3fece21e226ad0b6c4ed7d9cb6ad937e5e35749b
32r72WOqqRO1DtSznId7Lr	James Brown & The Famous Flames	157808	56	soul	['soul']	https://i.scdn.co/image/9f18124c9c8b2c4071cdd7baf5ceffd6eed7b839
4UTEZqrPqLDOhBfraPNciJ	Daichi Miura	507842	49	j-pop	['j-pop', 'japanese singer-songwriter', 'okinawan pop']	https://i.scdn.co/image/ab6761610000e5eb3b3e415bd7d44a1bd398154b
5zkhOMIQEsnM3MjwzXAOWu	Amoc	1704	15	lapland hip hop	['lapland hip hop', 'musiikkia lapista', 'sami']	https://i.scdn.co/image/ab67616d0000b2739c93e9f4f4abf4cf172970ec
5MCDexD3QcAP7PRPloLi4L	Gao Mei Gui	198	10		[]	https://i.scdn.co/image/ab67616d0000b273725e4094032e65f060dab0c9
1ebUo23AWCxBfiXQgWSr8e	TANIA KERNAGHAN	15064	25	australian country	['australian country']	https://i.scdn.co/image/ab6761610000e5ebaec8f94c0d0f3523a9421cef
7wlmeZF1s7TOkDZVsLUYdR	• ukeboy •	4403	24		[]	https://i.scdn.co/image/ab6761610000e5ebe4ff3099114effddfc08b245
0yAP23o7hl2gwDjXxKdjki	The Apostles	2574	19	afro psych	['afro psych']	https://i.scdn.co/image/ab67616d0000b273d691d5609f7fb156c806617b
65H66xkYcvFusLywrmZ0lh	Anomalia	391	1		[]	https://i.scdn.co/image/ab6761610000e5eb143f02a7cad5d03e61408e39
1vyw3KuuS5fXSBCb5P8iyb	Ocxho	109	11		[]	https://i.scdn.co/image/ab6761610000e5eb39aaae5da17c18e16288dbbe
2g5bjxHODoJ2EmQkMeYFOW	JungFreud	221	20		[]	
5zSQQxDwEPGOXIcjdbuhWz	The Others	2110	20		[]	https://i.scdn.co/image/ab67616d0000b27329e46024f5d7b1da23f4106b
4qDy1sm9QajMeYMFflFwUA	Guaracha Aleteo Vip	41532	40	guaracha	['guaracha']	https://i.scdn.co/image/ab6761610000e5eb559f14851fc796e5a18ef3ea
3zvbATHitSjEZ54l7QnJN0	Yuran	588	36		[]	https://i.scdn.co/image/ab6761610000e5ebaac423f04b47206dcad2920c
0SWOtgI95g7oVrP9halrmP	Bohemia	761427	63	desi hip hop	['desi hip hop', 'desi pop', 'pakistani hip hop', 'punjabi hip hop']	https://i.scdn.co/image/ab6761610000e5ebe16d25161e180b1958cc759d
0jhV2X1AnxXaI9izJg5hj3	Kodor	412	23		[]	https://i.scdn.co/image/ab6761610000e5eb9f0dd1387986dc513868a565
6iHohNeeEDjO9QdbKFYxGU	Danny Martin	226	9	deep tech house	['deep tech house']	https://i.scdn.co/image/ab67616d0000b273172d022af45357bdbb0e1211
3tzacGOmngxUV8W8lU9h3Q	La Delio Valdez	297834	59	argentine rock	['argentine rock', 'cumbia']	https://i.scdn.co/image/ab6761610000e5ebd7302cafe80d9cff743f49e3
