artist_id	name	genres	num_hits	num_collab_hits
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	30	11
53XhwfbYqKCa1cC15pYq2q	Imagine Dragons	['modern rock', 'pop', 'rock']	26	1
15UsOTVnJzReFVN1VCnxy4	XXXTENTACION	['emo rap', 'miami hip hop']	24	6
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	23	4
1dpqJqIuNqideTvmxBsSku	Mabel Matiz	['turkish pop']	20	3
1AM52XHXnWAEqnQwpxTLWm	EDIS	['turkish pop']	17	3
6LnJKrtFnTEGdbWQ2riWCL	Ezhel	['turkish hip hop', 'turkish trap']	16	3
3tJELJoPZ4VTKmL0vppqLj	Contra	['turkish hip hop', 'turkish trap']	16	13
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	15	6
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	15	12
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	15	4
2u4xMsh0M2B7R8Wb3pEWae	Anıl Piyancı	['turkce drill', 'turkish hip hop', 'turkish trap']	15	14
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	14	11
7gobcoscOfsY0nOeqqFzvU	Yüzyüzeyken Konuşuruz	['turkish alternative rock', 'turkish rock']	13	0
6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	['dance pop', 'pop', 'uk pop']	13	6
2YZyLoL8N0Wb9xBt1NhZWg	Kendrick Lamar	['conscious hip hop', 'hip hop', 'rap', 'west coast rap']	12	8
0hCNtLu0JehylgoiP8L4Gh	Nicki Minaj	['hip pop', 'pop', 'queens hip hop', 'rap']	12	9
69GGBxA162lTqCwzJG5jLp	The Chainsmokers	['electropop', 'pop']	12	5
7Ln80lUS6He07XvHI8qqHH	Arctic Monkeys	['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']	12	0
1iJrQKRh5aJnp6cG5lpITr	Khontkar	['turkish hip hop', 'turkish trap']	12	1
5LUxu287CsPM7jy3yS3l86	Şanışer	['turkish hip hop']	12	3
1Cs0zKBU1kc0i8ypK3B9ai	David Guetta	['big room', 'dance pop', 'edm', 'pop', 'pop dance']	11	11
2QDHxmDObOuv9MCeBYiFtq	Ceg	['turkish hip hop', 'turkish trap']	11	4
74xBVPWYoSf5pvo5IkePRO	Şebnem Ferah	['turkish pop', 'turkish rock']	11	0
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	10	6
1zNqDE7qDGCsyzJwohVaoX	Anne-Marie	['pop']	10	3
1vCWHaC5f2uS3yhpwWbIA6	Avicii	['edm', 'pop', 'pop dance']	10	2
1qZ684TB9E1BjH58btdtYd	Buray	['turkish deep house', 'turkish pop']	10	1
4cMwyqmHCwJjRZ3frIVHTr	Müslüm Gürses	['arabesk']	10	0
5WUlDfRSoLAfcVSX1WnrxN	Sia	['australian dance', 'australian pop', 'pop']	10	8
1vyhD5VmyZ7KMfW5gqLgo5	J Balvin	['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']	10	10
7bchfd9ZihGesFniE7tM71	Velet	['turkish hip hop', 'turkish trap']	10	4
4nDoRrQiYLoBzwC5BhVJzF	Camila Cabello	['dance pop', 'pop']	10	4
7n2wHs1TKAczGzO7Dd2rGr	Shawn Mendes	['canadian pop', 'pop', 'viral pop']	9	2
