artist_id	name	genres	years_on_charts	num_hits	num_collab_hits
6LnJKrtFnTEGdbWQ2riWCL	Ezhel	['turkish hip hop', 'turkish trap']	[2017, 2018, 2019, 2020, 2021, 2022]	107	71
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	[2017, 2018, 2019, 2020, 2021]	79	14
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	72	23
2r8iLFeSTuOiZualHmSXxS	Patron	['turkish hip hop', 'turkish trap']	[2017, 2018, 2019, 2020, 2021, 2022]	64	38
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	[2017, 2018, 2019, 2020, 2021]	63	28
4fR3W8XFXsqHB8f8IqEr1y	No.1	['turkish hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	59	30
6bGOmNBU1AOgttgOjh0ldf	Ati242	['turkish hip hop']	[2019, 2020, 2021, 2022]	58	34
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	57	28
2u4xMsh0M2B7R8Wb3pEWae	Anıl Piyancı	['turkce drill', 'turkish hip hop', 'turkish trap']	[2017, 2018, 2019, 2020, 2021, 2022]	56	42
0FUsrstJwmg4WVHQMTYuUA	Şehinşah	['turkish hip hop', 'turkish trap']	[2017, 2018, 2019, 2020, 2021, 2022]	56	31
1iJrQKRh5aJnp6cG5lpITr	Khontkar	['turkish hip hop', 'turkish trap']	[2018, 2019, 2020, 2021]	55	27
64d1rUxfizSAOE9UbMnUZd	Sezen Aksu	['turkish pop']	[2017, 2018, 2019, 2020, 2021]	50	5
51DevdOxIJin6DB1FXJpD1	UZI	['turkish trap']	[2019, 2020, 2021, 2022]	45	30
6sBSLIunx1Je0Y2T77wpkP	Motive	['turkish hip hop', 'turkish trap']	[2018, 2019, 2020, 2021, 2022]	43	19
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	[2017, 2018, 2019, 2020, 2021]	43	15
2y1VzMKAa5nmfXKtJL9jnj	Murda	['basshall', 'turkish hip hop', 'turkish trap']	[2019, 2020, 2021, 2022]	40	29
5LUxu287CsPM7jy3yS3l86	Şanışer	['turkish hip hop']	[2017, 2018, 2019, 2020, 2021]	39	18
2yMN0IP20GOaN6q0p0zL5k	Tarkan	['turkish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	38	1
25FdziPY37yQIRXSk7ZUmS	Allame	['turkish hip hop', 'turkish trap']	[2017, 2018, 2019, 2020, 2021]	38	16
4XP7cGw4t8BqZ8Du5q3bHg	Emir Can İğrek	['turkish alt pop', 'turkish rock']	[2018, 2019, 2020, 2021, 2022]	37	5
53XhwfbYqKCa1cC15pYq2q	Imagine Dragons	['modern rock', 'pop', 'rock']	[2017, 2018, 2019, 2020, 2021, 2022]	37	4
1GyfNm3xj64IZR4rKnzNti	Şam	['turkish hip hop', 'turkish trap']	[2018, 2019, 2020, 2021]	37	16
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	[2017, 2018, 2019, 2020, 2021]	37	6
2QDHxmDObOuv9MCeBYiFtq	Ceg	['turkish hip hop', 'turkish trap']	[2018, 2019, 2020, 2021, 2022]	36	13
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	[2017, 2018, 2019, 2020, 2021]	35	11
0C8ZW7ezQVs4URX5aX7Kqx	Selena Gomez	['pop', 'post-teen pop']	[2017, 2018, 2019, 2020, 2021]	35	14
6CPZWzcKiOKkHn4L2XI4i2	cakal	['turkce drill']	[2020, 2021, 2022]	34	24
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	[2017, 2018, 2019, 2020, 2021]	34	22
3tJELJoPZ4VTKmL0vppqLj	Contra	['turkish hip hop', 'turkish trap']	[2017, 2018, 2019, 2020, 2021, 2022]	33	21
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	[2018, 2019, 2020, 2021, 2022]	33	4
1KXTegXtnCPKXjRaX1llcD	Sagopa Kajmer	['turkish hip hop', 'turkish trap']	[2017, 2018, 2019, 2020, 2021]	33	9
5FqTuN42w2zGw4Pzd50yaS	Reckol	['turkce drill']	[2021, 2022]	30	20
2kS0jWMkkFBL0mrl0VotD0	Ben Fero	['turkce drill', 'turkish hip hop', 'turkish trap']	[2018, 2019, 2020, 2021, 2022]	30	11
6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	['dance pop', 'pop', 'uk pop']	[2017, 2018, 2019, 2020, 2021]	30	12
0PhqM7UAxtvWYi5j4MwxSl	Dolu Kadehi Ters Tut	['turkish alt pop', 'turkish rock']	[2017, 2018, 2019, 2020, 2021, 2022]	29	6
1dpqJqIuNqideTvmxBsSku	Mabel Matiz	['turkish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	29	3
00FQb4jTyendYWaN8pK0wa	Lana Del Rey	['art pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	29	9
5DtQ3MpxpzAyDvgMNFWN1r	Tepki	['turkish hip hop', 'turkish trap']	[2018, 2019, 2020, 2021, 2022]	29	19
5pVRwX5ZQR7hfJ18w8ZYkl	Ufo361	['german cloud rap', 'german hip hop']	[2019, 2020, 2021]	29	26
2sjnyyL9NXijL3Fr2eLikf	Aspova	['turkish hip hop']	[2018, 2019, 2020, 2021, 2022]	28	17
1mpOD8ZwHnbsryIuXWq0R1	Zeynep Bastık	['turkish pop']	[2019, 2020, 2021, 2022]	28	10
5ixQSDvAMa5O758xG8MWXT	mor ve ötesi	['turkish alternative', 'turkish alternative rock', 'turkish rock']	[2017, 2018, 2019, 2020, 2021, 2022]	27	0
2AWUCT9xtcvkjpFq1ZgpPj	Cem Adrian	['turkish rock', 'turkish singer-songwriter']	[2017, 2018, 2019, 2020, 2021, 2022]	27	17
3yzGegJHrOW1CndMVFoo3m	Hidra	['turkish hip hop', 'turkish trap']	[2018, 2019, 2020, 2021, 2022]	27	12
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	[2017, 2018, 2019, 2021]	27	16
1AM52XHXnWAEqnQwpxTLWm	EDIS	['turkish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	26	6
7Gx2wDVHyW5HJh7dc2t5h7	Lil Zey	['turkce kadin rap', 'turkish hip hop', 'turkish trap']	[2019, 2020, 2021, 2022]	26	12
6q1sTU51oryTTcWTPTd0VC	BEGE	['turkce drill', 'turkish hip hop', 'turkish trap']	[2019, 2020, 2021, 2022]	25	7
7bchfd9ZihGesFniE7tM71	Velet	['turkish hip hop', 'turkish trap']	[2018, 2019, 2020, 2021, 2022]	25	13
1eQzZsJAtBVhN9WP62oXM2	Xir	['turkish hip hop', 'turkish trap']	[2017, 2018, 2019, 2020, 2021]	25	14
2YZyLoL8N0Wb9xBt1NhZWg	Kendrick Lamar	['conscious hip hop', 'hip hop', 'rap', 'west coast rap']	[2017, 2018]	25	14
1g4J8P1JWwanNyyXckRX5W	Adamlar	['turkish rock']	[2017, 2018, 2019, 2020, 2021, 2022]	24	0
28Qbi9jTj2eej21P2mImZI	Ceza	['azeri rap', 'turkish hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	24	13
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	[2017, 2018, 2019, 2020, 2021]	24	18
3S6gaE89XewFAvZqsMuJDJ	Norm Ender	['turkish hip hop', 'turkish trap']	[2017, 2018, 2019, 2020, 2021]	24	1
15UsOTVnJzReFVN1VCnxy4	XXXTENTACION	['emo rap', 'miami hip hop']	[2017, 2018, 2019]	24	6
3vJJGsSAF5zQegZo5sJEh6	Can Bonomo	['turkish pop', 'turkish rock']	[2017, 2018, 2019, 2020, 2021, 2022]	23	2
5WUlDfRSoLAfcVSX1WnrxN	Sia	['australian dance', 'australian pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	23	16
26VFTg2z8YR0cCuwLzESi2	Halsey	['electropop', 'etherpop', 'indie poptimism', 'pop']	[2017, 2018, 2019, 2020, 2021]	23	12
1nFJWl30l3PAHei86OxN0i	Oğuzhan Koç	['turkish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	22	3
6iBdV6h17D1kOnK9lFyWo3	Bilal Sonses	['turkish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	22	8
41MozSoPIsD1dJM0CLPjZF	BLACKPINK	['k-pop', 'k-pop girl group', 'pop']	[2017, 2018, 2019, 2020, 2021]	22	6
1Fg19vpUJpAAPFjnKaVYVW	Reynmen	['turkish hip hop', 'turkish pop']	[2017, 2019, 2020, 2021, 2022]	21	10
1qZ684TB9E1BjH58btdtYd	Buray	['turkish deep house', 'turkish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	21	5
46zuW8tHxwahYn7VNMgYTa	Yalın	['turkish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	21	2
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	21	17
1U449OOb70EZlElNjLMwCM	Demet Akalın	['turkish pop']	[2017, 2018, 2019, 2020, 2021]	21	6
69GGBxA162lTqCwzJG5jLp	The Chainsmokers	['electropop', 'pop']	[2017, 2018, 2019]	21	11
6RTC1abMgBC7Krg6qJQHJh	Duman	['anadolu rock', 'karadeniz turkuleri', 'turkish alternative', 'turkish alternative rock', 'turkish rock']	[2017, 2018, 2019, 2020, 2021, 2022]	20	0
6h5P3J0j1x2lhiDk9w4deZ	Eypio	['turkish hip hop', 'turkish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	20	11
6hxb4rGrYXtrAZbUK7uzt9	Sansar Salvo	['turkish hip hop']	[2017, 2018, 2019, 2020]	20	11
4nDoRrQiYLoBzwC5BhVJzF	Camila Cabello	['dance pop', 'pop']	[2017, 2018, 2019, 2020]	20	10
0hCNtLu0JehylgoiP8L4Gh	Nicki Minaj	['hip pop', 'pop', 'queens hip hop', 'rap']	[2017, 2018, 2020]	20	17
2h1EEQ0lD01lPKDRGisvL4	Tuğkan	['turkish pop', 'turkish rock']	[2018, 2019, 2020, 2021, 2022]	19	1
2boacFGRX1WIo7NFS8B0F2	Gazapizm	['turkish hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	19	7
4kYSro6naA4h99UJvo89HB	Cardi B	['pop', 'rap']	[2017, 2018, 2019, 2020, 2021]	19	14
1RyvyyTE3xzB2ZywiAwp0i	Future	['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']	[2017, 2018, 2019, 2020, 2021]	19	17
5piE2MZ1wGpBjpDud8kTOS	Defkhan	['turkish hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	18	18
7gobcoscOfsY0nOeqqFzvU	Yüzyüzeyken Konuşuruz	['turkish alternative rock', 'turkish rock']	[2017, 2018, 2019, 2020, 2021, 2022]	18	0
4DG2pTwQBor7a6wtoEABau	Ozbi	['turkish hip hop', 'turkish rock']	[2018, 2019, 2020, 2021, 2022]	18	6
5Pd3tsRa9fj2Q3JPQ0tYEv	Keişan	['turkish hip hop', 'turkish trap']	[2018, 2019, 2020, 2021, 2022]	18	9
5wyWp867LWGjFmYZXVSFnZ	MERO	['german hip hop']	[2019, 2020, 2021]	18	6
4uGB0nZ5d1iCXS3sHR3pzm	Gökhan Türkmen	['turkish pop']	[2017, 2018, 2019, 2020, 2021]	18	4
0ZRQKFaYGEtbLc8NbyICoe	Deeperise	['turkish deep house', 'turkish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	17	17
6I65kFgfXDWx56jwnip3TU	Hayki	['turkish hip hop', 'turkish trap']	[2017, 2018, 2019, 2020, 2021, 2022]	17	11
5G3OUmDl3R4rEn9zSWZTpw	Lia Shine	['new school turkce rap']	[2020, 2021, 2022]	17	7
5h2jTdwf4p0dM34aBykPzZ	İrem Derici	['turkish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	17	4
7ouCgJkxRBIJljUiQVJK65	Sokrat St	['turkish hip hop']	[2017, 2018, 2019, 2020, 2021]	17	14
2Fu5huGG8iXC85P9akyYrr	Joker	['turkish hip hop', 'turkish trap']	[2018, 2019, 2020, 2021]	17	4
08mjMUUjyTchMHCW7evc3R	Hande Yener	['turkish pop']	[2017, 2018, 2019, 2020, 2021]	17	2
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	[2017, 2018, 2019, 2021]	17	3
