artist_id	name	genres	num_hits	num_collab_hits
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	35	24
64tJ2EAv1R6UaZqc4iOCyj	YOASOBI	['j-pop', 'japanese teen pop']	26	2
7n2Ycct7Beij7Dj7meI4X0	TWICE	['k-pop', 'k-pop girl group', 'pop']	23	0
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	23	6
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	23	5
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	22	6
7aRC4L63dBn3CiLDuWaLSI	G.E.M.	['mandopop']	20	2
3HqSLMAZ3g3d5poNaI7GOU	IU	['k-pop', 'pop']	20	3
4dpARuHxo51G3z768sgnrY	Adele	['british soul', 'pop', 'pop soul', 'uk pop']	19	0
190bkHbFrRvEhcB7Zpuv3y	Waa Wei	['chinese indie', 'mandopop', 'taiwan indie', 'taiwan pop', 'taiwan singer-songwriter']	18	5
6xErgeZYatiaQ36SB5bvi8	告五人	['mandopop', 'taiwan indie']	17	2
7DZtdN4x13Amjw87cjdffb	壞特 ?te	['taiwan pop']	16	5
7Icsejk4pdIhkq2KO5A0jD	ØZI	['mandopop', 'taiwan hip hop']	15	6
2F5W6Rsxwzg0plQ0w8dSyt	Leehom Wang	['mandopop', 'taiwan pop']	15	3
14bJhryXGk6H6qlGzwj3W5	Hebe Tien	['mandopop']	14	0
3dI4Io8XE33J2o04ZwjR0Y	LaLa Hsu	['mandopop', 'taiwan singer-songwriter']	14	2
4TcOznbEZBqev21LzAH4KE	高爾宣 OSN	['mandopop', 'taiwan hip hop', 'taiwan pop']	13	5
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	13	8
2qXGNIlmY3JrYkxOWyXZsd	瘦子E.SO	['chinese r&b', 'mandopop', 'taiwan hip hop']	13	5
1r9DuPTHiQ7hnRRZ99B8nL	Jolin Tsai	['mandopop']	12	6
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	11	1
6g641431O1Xkl7HAs2yFEg	EggPlantEgg	['mandopop', 'taiwan indie', 'taiwanese indie']	11	1
5fEQLwq1BWWQNR8GzhOIvi	Eric Chou	['mandopop']	11	2
5cj0lLjcoR7YOSnhnX0Po5	Doja Cat	['dance pop', 'pop']	10	6
6f4srX54JFrLNK4aTJe2Sc	Ren Ran	['mainland chinese pop']	10	0
7nqOGRxlXj7N2JYbgNEjYH	SEVENTEEN	['k-pop', 'k-pop boy group']	10	0
7pSH4sO2lXAxFKF6MkwORv	Julia Wu	['chinese electropop', 'mandopop']	10	5
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	9	5
7Dx7RhX0mFuXhCOUgB01uM	JJ Lin	['mandopop', 'singaporean mandopop', 'singaporean pop']	9	4
1YtYHaWLV0IU7SwhvG6Luk	珂拉琪	['taiwan indie']	9	0
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	['c-pop', 'mandopop', 'taiwan pop', 'zhongguo feng']	9	3
7vk5e3vY1uw9plTHJAMwjN	Alan Walker	['electro house']	9	9
01u3qI3xMGFvktXyRSMGRZ	Vicky Chen	['mandopop', 'taiwan singer-songwriter']	9	3
376pcuw4IgWBMOUwCr8kIm	Tanya Chua	['mandopop', 'singaporean mandopop', 'singaporean pop', 'singaporean singer-songwriter', 'taiwan singer-songwriter']	9	1
6cMRDBCHMYjyCH2D0s6uzr	Chih Siou	['mandopop', 'taiwan indie', 'taiwan pop', 'taiwan singer-songwriter']	9	0
2JBUyLiFvpFPWdZGqIGYLD	Crowd Lu	['mandopop', 'taiwan indie', 'taiwan singer-songwriter']	9	0
4AJcTAMOLkRl3vf4syay8Q	Jam Hsiao	['mandopop']	8	2
7y3HnWCFEvWj4KM9GFSkiX	WeiBird	['chinese r&b', 'mandopop', 'taiwan singer-songwriter']	8	1
1McMsnEElThX1knmY4oliG	Olivia Rodrigo	['pop']	8	0
6eLpNMX3ZygSrUuxAlIWIx	Eve Ai	['mandopop', 'taiwan singer-songwriter']	8	1
7jVv8c5Fj3E9VhNjxT4snq	Lil Nas X	['lgbtq+ hip hop']	8	2
0Awqm7GXGiBp8fJNGvywra	理想混蛋	['mandopop', 'taiwan indie']	8	1
1zNqDE7qDGCsyzJwohVaoX	Anne-Marie	['pop']	7	4
0rTP0x4vRFSDbhtqcCqc8K	Ronghao Li	['chinese singer-songwriter', 'mainland chinese pop', 'mandopop']	7	1
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	7	5
0SIXZXJCAhNU8sxK0qm7hn	Stefanie Sun	['mandopop', 'singaporean mandopop', 'singaporean pop', 'singaporean singer-songwriter']	7	1
7n2wHs1TKAczGzO7Dd2rGr	Shawn Mendes	['canadian pop', 'pop', 'viral pop']	7	4
2AfmfGFbe0A0WsTYm0SDTx	(G)I-DLE	['k-pop', 'k-pop girl group']	7	0
181bsRPaVXVlUKXrxwZfHK	Megan Thee Stallion	['houston rap', 'pop', 'rap', 'trap queen']	7	7
0XATRDCYuuGhk0oE7C0o5G	MAMAMOO	['k-pop', 'k-pop girl group']	7	0
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	6	0
4XKp9GFAQfsh2NflSRnHQi	Shi Shi	['mandopop', 'taiwan pop']	6	2
0du5cEVh5yTK9QJze8zA0C	Bruno Mars	['dance pop', 'pop']	6	6
3jK9MiCrA42lLAdMGUZpwa	Anderson .Paak	['escape room', 'hip hop', 'indie soul', 'neo soul']	6	6
6PvvGcCY2XtUcSRld1Wilr	Silk Sonic	['neo soul']	6	6
4gzpq5DPGxSnKTe4SA8HAU	Coldplay	['permanent wave', 'pop']	6	4
5PNcqs6EtD6gSXgUiiJIUU	颜人中	['chinese viral pop', 'taiwan singer-songwriter']	6	0
3PhoLpVuITZKcymswpck5b	Elton John	['glam rock', 'mellow gold', 'piano rock', 'rock']	6	5
6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	['dance pop', 'pop', 'uk pop']	6	4
