artist_id	name	genres	num_hits	num_collab_hits
0ne2rg2JwZmIy7X1aVNq7y	163ONMYNECK	['russian drill', 'russian hip hop']	20	10
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	19	3
5NipqMGsY4AUeb7kGT8aVz	kizaru	['russian emo rap', 'russian hip hop', 'russian trap']	17	14
5NMwoStnfHT4LdETlJSwDT	Big Baby Tape	['russian hip hop', 'russian trap']	16	16
1H1zBr7TXFwTwsHU5kX9gW	OG Buda	['russian drill', 'russian hip hop', 'russian trap']	10	9
3vvLuXEEf7sl3izJcw0GIn	Skryptonite	['central asian hip hop', 'kazakh hip hop', 'russian hip hop', 'russian trap']	8	3
6NTzEgUmN1PIBIYEHhf1kS	Okean Elzy	['classic russian rock', 'ukrainian indie', 'ukrainian pop', 'ukrainian rock']	8	1
0hmUwzWBrPHpGWGrYH05c3	Miyagi & Andy Panda	['russian hip hop']	7	2
0TO6y1x0LQodwBnxGtQu9o	shadowraze	['russian drain', 'russian hip hop']	7	3
3KtiWEUyKC5lgHedcN6y6C	MAYOT	['russian drill', 'russian hip hop', 'russian trap']	7	5
3TikHXhctY4FUIMlkl0tzR	SODA LUV	['russian drill', 'russian hip hop', 'russian trap']	7	5
2z20q6EEfm6w6PiIKsgtb3	FACE	['kavkaz', 'russian emo rap', 'russian grime', 'russian hip hop', 'russian trap']	7	0
2IGZnq5Ot1NquCpks3zO4o	Sqwore	['russian drain', 'russian hyperpop']	6	3
1nnaE1FllcW0TlDdPVmdPg	Scally Milano	['russian hip hop']	6	6
2znSAMoC2z72k1BNWVMzKW	quiizzzmeow	['russian drain', 'russian emo rap', 'russian hyperpop']	6	3
5VKufGMVAZ6fs111xYNKnU	MACAN	['russian gangster rap', 'russian hip hop']	6	1
46rVVJwHWNS7C7MaWXd842	KALUSH	['ukrainian hip hop', 'ukrainian pop', 'ukrainian viral pop']	6	4
2rRyviUwWAHYmzyVzmXWpZ	КОСМОНАВТОВ НЕТ	['russian alt pop', 'russian drain', 'russian indie rock']	5	1
1kmpkcYbuaZ8tnFejLzkj2	MiyaGi	['russian gangster rap', 'russian hip hop', 'russian reggae']	5	1
5A9NWhs9ydYZPGgvcWI8Ms	LOVV66	['russian drain', 'russian hip hop', 'russian trap']	5	3
2eiThpX5zH6LFmqP2HY1hL	Дора	['russian alt pop', 'russian pop']	5	2
0XNKQFs2Ewb3y0VsFUFc5l	MORGENSHTERN	['russian hip hop', 'russian trap']	5	1
2ngiK5FQchV4i7eOyXOXKt	SEEMEE	['russian drill', 'russian trap']	4	4
27kGBCjiz5OXojkKX4xQ6R	BUSHIDO ZHO	['russian drill', 'russian hip hop', 'russian trap']	4	3
0iWCupAJreesWuLo9wkpXt	10AGE	['russian hip hop']	4	1
7kB4F3PktJEy9jbwI6ujjZ	Джизус	['russian alt pop', 'russian hip hop']	4	0
1WAB4gjjNfQpAgT5SoAbRE	ROCKET	['russian drill', 'russian hip hop', 'russian trap']	4	0
4TzGOY9RpErzedN02w8Boh	Платина	['russian drain', 'russian hip hop', 'russian trap']	4	3
0xByDfltDVpk6LDsUMHyI2	Poshlaya Molly	['russian alt pop', 'russian electronic']	4	1
2TaI860P5qyn702NYQy7AP	Nekoglai	['russian viral rap']	4	1
0RfocEzLe78RexLTeU1K2p	ssshhhiiittt!	['russian post-punk']	4	0
0u32PEQJMO9ufiSInHtKXt	LXNER	['hyperpop', 'russian drain']	4	4
15UsOTVnJzReFVN1VCnxy4	XXXTENTACION	['emo rap', 'miami hip hop']	4	0
5IS4dQ9lDW01IY1buR7bW7	СЕРЕГА ПИРАТ	['russian drain']	4	0
2SeRP5iAIhVec4azKHJzjX	INSTASAMKA	['russian hip hop', 'zhenskiy rep']	4	0
6PzEFDyksWekGikJc8M6Cr	fem.love	['russian drain']	3	0
5meD8C7oGK5yUEY2T7ZZ7W	Max Korzh	['belarusian hip hop', 'russian hip hop']	3	0
3XxNRirzbjfLdDli06zMaB	Eyedress	['noise pop']	3	0
7xViKup0waKtypawDbsvrW	JojoHF	[]	3	1
3zgn9mSaWsqdpcKo94Z5oi	rizza	['russian drain']	3	2
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	3	1
0lAWpj5szCSwM4rUMHYmrr	Måneskin	['indie rock italiano', 'italian pop', 'pop']	3	0
5fMNki1cAszN37EYRTVdOc	Odyn v Kanoe	['ukrainian indie', 'ukrainian pop', 'ukrainian rock']	3	1
3pONzjQKqFrh3zTQBTMeWd	THRILL PILL	['russian drill', 'russian emo rap', 'russian hip hop', 'russian trap']	3	1
2KoLmBXwsgMkfAvoPBlPmb	Egor Kreed	['russian hip hop', 'russian pop']	3	2
5q1NzLZwErZ9ujzqZKL0YZ	Три дня дождя	['russian alt pop', 'russian hip hop']	3	0
2feDdbD5araYcm6JhFHHw7	Labrinth	['indie poptimism', 'pop']	3	1
0aXi5kveuKNm6t5vGVeUBM	ooes	['russian alt pop']	3	0
1YMUxFiaKsU85N9YolW0W9	вышел покурить	['russian hip hop', 'russian trap']	3	0
5rXtHvb8jMNgmSX7Khd77x	pyrokinesis	['russian alt pop', 'russian hip hop']	3	1
0dYPNZqAPGnHiFTTy7qMxL	FEARMUCH	[]	3	3
77SW9BnxLY8rJ0RciFqkHh	The Neighbourhood	['modern alternative rock', 'modern rock', 'pop', 'pov: indie']	3	0
53XhwfbYqKCa1cC15pYq2q	Imagine Dragons	['modern rock', 'pop', 'rock']	3	2
5UlVY7KwBwUPvHs1JtmUqy	blago white	['russian drill', 'russian trap']	3	3
7oxIi3tF8bOBxAcSixbojj	Dzharakhov	['russian hip hop', 'russian trap', 'russian viral rap']	3	2
496nklFjflGjJOhhfhH2Nc	17 SEVENTEEN	['russian drain']	3	2
6St8JkGHB8v3qtD7Srg6PH	Папин Олимпос	['russian alt pop']	2	0
7dH8w9flSy9w81ilr0xXWe	Boulevard Depo	['russian hip hop', 'russian trap']	2	2
1A96iePIMNFBjLrjXEl718	Emma Louise	['australian indie', 'brisbane indie']	2	0
6o7TsOGOEF5Mqpiz2KCyWE	HammAli & Navai	['russian hip hop', 'russian pop']	2	1
4TjXA854eWs8P5EBgCbQmv	Jah Khalib	['central asian hip hop', 'kazakh hip hop', 'kazakh pop', 'russian gangster rap', 'russian hip hop', 'russian pop']	2	1
4k0dbhJImJWSJf9PsH7H3z	DEAD BLONDE	['russian alt pop', 'russian rave']	2	0
2ElMqlv5py0QFIVXUff627	KSLV Noh	['drift phonk']	2	0
53fwP60M1QNPDiXALVMeOs	zxcursed	['ukrainian viral pop']	2	0
3TKsiH74GWWw4OroAGoumg	OM.	[]	2	0
5ZzO786ViqgegCIoa28OPx	SHADXWBXRN	['drift phonk', 'gym phonk']	2	1
2L1ldSV7eVssSmGfPAZyKc	Buerak	['russian post-punk']	2	0
72UquEiZHhOfZN8HsEUAJP	LOLIWZ	['russian hyperpop']	2	0
2o5jDhtHVPhrJdv3cEQ99Z	Tiësto	['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance']	2	1
0Rb1j4P056IYg6ncXqslRr	DooMee	[]	2	2
4tZwfgrHOc3mvqYlEYSvVi	Daft Punk	['electro', 'filter house', 'rock']	2	1
