artist_id	name	genres	years_on_charts	num_hits	num_collab_hits
0XNKQFs2Ewb3y0VsFUFc5l	MORGENSHTERN	['russian hip hop', 'russian trap']	[2020, 2021, 2022]	66	24
3KtiWEUyKC5lgHedcN6y6C	MAYOT	['russian drill', 'russian hip hop', 'russian trap']	[2020, 2021, 2022]	54	29
1H1zBr7TXFwTwsHU5kX9gW	OG Buda	['russian drill', 'russian hip hop', 'russian trap']	[2020, 2021, 2022]	54	44
3vvLuXEEf7sl3izJcw0GIn	Skryptonite	['central asian hip hop', 'kazakh hip hop', 'russian hip hop', 'russian trap']	[2020, 2021, 2022]	53	31
3TikHXhctY4FUIMlkl0tzR	SODA LUV	['russian drill', 'russian hip hop', 'russian trap']	[2020, 2021, 2022]	48	31
5NipqMGsY4AUeb7kGT8aVz	kizaru	['russian emo rap', 'russian hip hop', 'russian trap']	[2020, 2021, 2022]	45	21
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	[2020, 2021, 2022]	43	7
4h8pGxEIOi7j4me1yhYxlD	LSP	['belarusian hip hop', 'russian alt pop', 'russian hip hop']	[2020, 2021, 2022]	41	7
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	[2020, 2021, 2022]	40	16
1gCOYbJNUa1LBVO5rlx0jB	Oxxxymiron	['russian grime', 'russian hip hop', 'russian trap']	[2020, 2021]	38	4
3Vfd5HJnhjnvdyuQYHtYa2	Markul	['russian hip hop', 'russian trap']	[2020, 2021, 2022]	36	9
2z20q6EEfm6w6PiIKsgtb3	FACE	['kavkaz', 'russian emo rap', 'russian grime', 'russian hip hop', 'russian trap']	[2020, 2021, 2022]	35	1
5meD8C7oGK5yUEY2T7ZZ7W	Max Korzh	['belarusian hip hop', 'russian hip hop']	[2020, 2021, 2022]	34	0
0ne2rg2JwZmIy7X1aVNq7y	163ONMYNECK	['russian drill', 'russian hip hop']	[2020, 2021, 2022]	34	23
2KoLmBXwsgMkfAvoPBlPmb	Egor Kreed	['russian hip hop', 'russian pop']	[2020, 2021, 2022]	32	18
5A9NWhs9ydYZPGgvcWI8Ms	LOVV66	['russian drain', 'russian hip hop', 'russian trap']	[2021, 2022]	31	12
7dH8w9flSy9w81ilr0xXWe	Boulevard Depo	['russian hip hop', 'russian trap']	[2020, 2021, 2022]	30	24
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	[2020, 2021]	28	12
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	[2020, 2021]	28	3
1F8usyx5PbYGWxf0bwdXwA	PHARAOH	['russian emo rap', 'russian grime', 'russian hip hop']	[2020, 2021, 2022]	28	9
699OTQXzgjhIYAHMy9RyPD	Playboi Carti	['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']	[2020, 2021]	28	7
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	[2020, 2021]	27	18
55jryyk7RhvMbrvoF0ndBh	SLAVA MARLOW	['russian hip hop']	[2020, 2021, 2022]	27	11
0ohUvVskERzK18bvWXFEqi	GONE.Fludd	['russian hip hop', 'russian trap']	[2020, 2021, 2022]	27	5
5NMwoStnfHT4LdETlJSwDT	Big Baby Tape	['russian hip hop', 'russian trap']	[2020, 2021, 2022]	26	19
4TzGOY9RpErzedN02w8Boh	Платина	['russian drain', 'russian hip hop', 'russian trap']	[2020, 2021, 2022]	26	9
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	[2020, 2021]	25	3
1WAB4gjjNfQpAgT5SoAbRE	ROCKET	['russian drill', 'russian hip hop', 'russian trap']	[2020, 2021, 2022]	24	11
