artist_id	name	genres	num_hits	num_collab_hits
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	80	8
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	20	5
1LEtM3AleYg1xabW6CRkpi	Đen	['indie viet', 'v-pop', 'vietnamese hip hop', 'vietnamese trap']	13	12
3qNVuliS40BLgXGxhdBdqu	TAEYEON	['k-pop']	12	0
6mD6SQbvl9pILx7SAHBzbq	K-ICM	['v-pop']	11	6
1cPpd989kghzlZqfpP4KwL	RAP VIỆT	['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']	11	11
5dfZ5uSmzR7VQK0udbAVpf	Sơn Tùng M-TP	['v-pop', 'vietnamese melodic rap']	8	1
57g2v7gJZepcwsuwssIfZs	Vũ.	['indie viet', 'rock viet', 'v-pop', 'vietnamese singer-songwriter']	7	2
1zSv9qZANOWB4HRE8sxeTL	RPT MCK	['vietnamese hip hop', 'vietnamese melodic rap', 'vietnamese trap']	6	6
0r63ReVRjxrS4ATbLrdcrL	Hoàng Thùy Linh	['v-pop']	6	3
6zUWZmyi5MLOEynQ5wCI5f	Da LAB	['indie viet', 'v-pop', 'vietnamese hip hop']	6	4
2nSO7JYDbJrYbJmP39qUzj	Binz	['v-pop', 'vietnamese hip hop']	6	6
3mibIJiduF0MVLLAvHZAxw	Noo Phước Thịnh	['v-pop']	6	1
6TITnFVRcl0AcZ4syE7Toe	Low G	['vietnamese hip hop']	6	4
5cj0lLjcoR7YOSnhnX0Po5	Doja Cat	['dance pop', 'pop']	5	3
5fa13NJjmn2uQ3dxZDi2Ge	Bich Phuong	['v-pop']	5	1
3diftVOq7aEIebXKkC34oR	tlinh	['indie viet', 'v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']	5	4
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	5	2
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	5	4
1nX1HVIUo1Zfs3e2v3lFb9	Changg	['v-pop']	4	3
6VuMaDnrHyPL1p4EHjYLi7	Charlie Puth	['pop', 'viral pop']	4	1
0b1sIQumIAsNbqAoIClSpy	j-hope	['k-pop', 'k-rap']	4	1
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	4	2
6NF9Oa4ThQWCj6mogFSrVD	W/N	['indie viet', 'v-pop']	4	4
6UiKZD9yB7Gxjol62s431k	Seachains	['vietnamese hip hop']	4	4
1L1VfizWn4DkFt602yD80U	ERIK	['v-pop']	4	0
5UNWQJdUbO8Gbg9Qn3r52M	Touliver	['v-pop']	4	4
6OzE2OdvV2tGAxSBsBuZ74	Hoàng Dũng	['v-pop', 'vietnamese singer-songwriter']	4	3
6CGGvCBHWqQ4HXtn5aLhbh	SOOBIN	['v-pop']	4	2
3KonOYiLsU53m4yT7gNotP	TREASURE	['k-pop', 'k-pop boy group']	4	0
7Cp2hGcriAaDUAWpXnSEwm	buitruonglinh	['indie viet', 'v-pop']	4	0
2xvW7dgL1640K8exTcRMS4	Chillies	['indie viet', 'v-pop']	4	1
3nGqUwkJHiLPDECMVrX1Sq	Masew	['v-pop']	3	3
0gGd4WhPXBSgDX6fdOHcOw	Rhymastic	['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']	3	2
4hksJgKaus2VEhQO2Umee9	Sol7	['vietnamese hip hop', 'vietnamese melodic rap']	3	3
23UOCFmQtFKvx2mFufMoJB	Winno	['vietnamese hip hop', 'vietnamese melodic rap']	3	2
3rjcQ5VIWCN4q7UFetzdeO	JustaTee	['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']	3	3
4YkqEuVf1Jf2x2XDqJ2CvC	Tóc Tiên	['v-pop']	3	2
6YVMFz59CuY7ngCxTxjpxE	aespa	['k-pop', 'k-pop girl group']	3	0
3LbBKYlyMaATS8IIe7HJ0d	Hoàng Duyên	['v-pop']	3	2
4x1fUORHa2EsxrQ6ZzAoQ0	Suni Hạ Linh	['v-pop']	3	2
1McMsnEElThX1knmY4oliG	Olivia Rodrigo	['pop']	3	0
2aQnC3DbZB9GbauvhAw7ve	AMEE	['v-pop']	3	2
1CWwyDPjCowRTO4p6A7r6g	Mỹ Tâm	['v-pop', 'vietnamese singer-songwriter']	3	0
0ghlgldX5Dd6720Q3qFyQB	TOMORROW X TOGETHER	['k-pop', 'k-pop boy group']	3	1
5L1lO4eRHmJ7a0Q6csE5cT	LISA	['k-pop']	3	1
7jVv8c5Fj3E9VhNjxT4snq	Lil Nas X	['lgbtq+ hip hop']	3	1
2aMo0CYbTieTisS0BlWc59	VSTRA	['v-pop']	3	2
5HZtdKfC4xU0wvhEyYDWiY	HIEUTHUHAI	['v-pop', 'vietnamese hip hop']	3	2
3WGpXCj9YhhfX11TToZcXP	Troye Sivan	['australian pop', 'pop', 'viral pop']	3	1
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	3	3
0ebNdVaOfp6N0oZ1guIxM8	SUGA	['k-pop']	3	3
3HD3V1nGFPwepBO7064Ij0	PC	['vietnamese melodic rap']	3	3
3JkGKNawown8MgcJsDw1WT	Duongg	[]	3	3
5M3ffmRiOX9Q8Y4jNeR5wu	Wren Evans	['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']	3	1
0ZbgKh0FgPYeFP38nVaEGp	Obito	['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']	3	2
53XhwfbYqKCa1cC15pYq2q	Imagine Dragons	['modern rock', 'pop', 'rock']	3	2
2rVYwIYNEsMxtt8j5yemHb	T.R.I	['indie viet', 'v-pop', 'viet lo-fi']	3	1
181bsRPaVXVlUKXrxwZfHK	Megan Thee Stallion	['houston rap', 'pop', 'rap', 'trap queen']	3	3
4fCHhderLwLacsIOIKgu3J	Bao Anh	['v-pop']	3	0
73JDHHjsNGy85o3EbEqOLk	Heily	[]	2	2
