artist_id	name	genres	years_on_charts	num_hits	num_collab_hits
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	[2018, 2019, 2020, 2021, 2022]	256	33
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	[2018, 2019, 2020, 2021, 2022]	137	25
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	[2018, 2019, 2020, 2021, 2022]	78	31
1cPpd989kghzlZqfpP4KwL	RAP VIỆT	['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']	[2020, 2021, 2022]	65	65
0LyfQWJT6nXafLPZqxe9Of	Various Artists	[]	[2018, 2019]	58	0
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	[2018, 2019, 2020, 2021, 2022]	54	34
5JZ7CnR6gTvEMKX4g70Amv	Lauv	['pop']	[2018, 2019, 2020, 2021, 2022]	53	24
41MozSoPIsD1dJM0CLPjZF	BLACKPINK	['k-pop', 'k-pop girl group', 'pop']	[2018, 2019, 2020, 2021, 2022]	52	8
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	[2018, 2019, 2020, 2021, 2022]	51	17
7n2Ycct7Beij7Dj7meI4X0	TWICE	['k-pop', 'k-pop girl group', 'pop']	[2018, 2019, 2020, 2021, 2022]	49	1
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	[2018, 2019, 2020, 2021]	48	4
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	[2018, 2019, 2020, 2021]	38	26
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	[2018, 2019, 2020, 2021]	37	20
7vk5e3vY1uw9plTHJAMwjN	Alan Walker	['electro house']	[2018, 2019, 2020, 2021, 2022]	36	30
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	[2018, 2019, 2020, 2021, 2022]	36	22
3qNVuliS40BLgXGxhdBdqu	TAEYEON	['k-pop']	[2018, 2019, 2020, 2021, 2022]	36	1
0C8ZW7ezQVs4URX5aX7Kqx	Selena Gomez	['pop', 'post-teen pop']	[2018, 2019, 2020, 2021, 2022]	35	15
1vCWHaC5f2uS3yhpwWbIA6	Avicii	['edm', 'pop', 'pop dance']	[2018, 2019, 2020, 2021]	35	22
