artist_id	name	genres	years_on_charts	num_hits	num_collab_hits
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	[2018, 2019, 2020, 2021, 2022]	152	78
1bNjWBFWsAAzZSR59lRdpR	Kabza De Small	['amapiano']	[2018, 2019, 2020, 2021, 2022]	129	124
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	[2018, 2019, 2020, 2021, 2022]	114	48
2hlmm7s2ICUX0LVIhVFlZQ	Gunna	['atl hip hop', 'melodic rap', 'rap', 'trap']	[2018, 2019, 2020, 2021, 2022]	99	73
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	[2018, 2019, 2020, 2021, 2022]	89	15
50co4Is1HCEo8bhOyUWKpn	Young Thug	['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']	[2018, 2019, 2020, 2021, 2022]	88	78
1RyvyyTE3xzB2ZywiAwp0i	Future	['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']	[2018, 2019, 2020, 2021, 2022]	86	56
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	[2018, 2019, 2020, 2021, 2022]	85	44
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	[2018, 2019, 2020, 2021, 2022]	82	60
0mMqD2uqwvCjFvlzo6ayGi	DJ Maphorisa	['amapiano']	[2018, 2019, 2020, 2021, 2022]	82	82
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	[2018, 2019, 2020, 2021, 2022]	80	27
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	[2018, 2019, 2020, 2021, 2022]	78	39
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	[2018, 2019, 2020, 2021, 2022]	77	31
0hCNtLu0JehylgoiP8L4Gh	Nicki Minaj	['hip pop', 'pop', 'queens hip hop', 'rap']	[2018, 2019, 2020, 2021, 2022]	75	57
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	[2018, 2019, 2020, 2021, 2022]	74	49
5f7VJjfbwm532GiveGC0ZK	Lil Baby	['atl hip hop', 'atl trap', 'rap', 'trap']	[2018, 2019, 2020, 2021, 2022]	70	62
18CJ8k3h2Rggioow01dlwP	Cassper Nyovest	['kasi rap', 'south african hip hop', 'south african pop', 'south african trap']	[2018, 2019, 2020, 2021, 2022]	70	55
6l3HvQ5sa6mXTsMTB19rO5	J. Cole	['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']	[2018, 2019, 2020, 2021, 2022]	69	37
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	[2018, 2019, 2020, 2021, 2022]	65	22
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	[2018, 2019, 2020, 2021, 2022]	65	37
55Aa2cqylxrFIXC767Z865	Lil Wayne	['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']	[2018, 2019, 2020, 2021, 2022]	64	47
2gzWmhOZhDN6gXL49JW9qj	Nasty C	['south african hip hop', 'south african trap']	[2018, 2019, 2020, 2021, 2022]	63	27
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	[2018, 2019, 2020, 2021, 2022]	62	33
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	[2018, 2019, 2020, 2021, 2022]	61	16
4r63FhuTkUYltbVAg5TQnk	DaBaby	['hip hop', 'north carolina hip hop', 'rap', 'trap']	[2019, 2020, 2021, 2022]	59	39
1URnnhqYAYcrqrcwql10ft	21 Savage	['atl hip hop', 'hip hop', 'rap', 'trap']	[2018, 2019, 2020, 2021, 2022]	58	44
57LYzLEk2LcFghVwuWbcuS	Summer Walker	['r&b']	[2019, 2020, 2021, 2022]	55	28
1QIghPIrXQQ22G1yNtAKFX	AKA	['kasi rap', 'south african hip hop', 'south african pop']	[2018, 2019, 2020, 2021]	55	34
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	[2018, 2019, 2020, 2021, 2022]	52	4
0eDvMgVFoNV3TpwtrVCoTj	Pop Smoke	['brooklyn drill', 'rap']	[2019, 2020, 2021, 2022]	52	35
4O15NlyKLIASxsJ0PrXPfz	Lil Uzi Vert	['melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']	[2018, 2019, 2020, 2021]	52	33
15UsOTVnJzReFVN1VCnxy4	XXXTENTACION	['emo rap', 'miami hip hop']	[2018, 2019, 2020, 2021, 2022]	46	14
7bXgB6jMjp9ATFy66eO08Z	Chris Brown	['r&b', 'rap']	[2018, 2019, 2020, 2021, 2022]	46	34
6AgTAQt8XS6jRWi4sX7w49	Polo G	['chicago rap', 'rap']	[2019, 2020, 2021, 2022]	45	31
3wcj11K77LjEY1PkEazffa	Burna Boy	['afrobeats', 'dancehall', 'nigerian hip hop', 'nigerian pop']	[2019, 2020, 2021]	45	23
2GJMSZ7M3D0KyyKRhYgWju	Focalistic	['amapiano']	[2019, 2020, 2021, 2022]	44	44
4Gso3d4CscCijv0lmajZWs	Don Toliver	['rap', 'trap']	[2019, 2020, 2021, 2022]	43	22
2aIcnnHTA16VbmhNJGLrGs	Makhadzi	['bolobedu house', 'venda pop']	[2020, 2021, 2022]	42	36
2TcrjcSngRPpgZxmIlPdym	Busta 929	['amapiano', 'sgija']	[2020, 2021, 2022]	41	40
4pQcWzOMSmmz5DK6TqO2FL	Blxckie	['south african trap']	[2021, 2022]	40	22
5TirRF3azWV5OpyufcDCFP	A-Reece	['south african hip hop', 'south african trap']	[2018, 2019, 2020, 2021, 2022]	40	30
1nzgtKYFckznkcVMR3Gg4z	KSI	['uk hip hop']	[2019, 2020, 2021]	40	29
0QHgL1lAIqAw0HtD7YldmP	DJ Khaled	['hip hop', 'miami hip hop', 'pop rap', 'rap']	[2018, 2019, 2020, 2021]	40	40
6o4TnAxiqaQfZMLl55NFdn	Spoegwolf	['african rock', 'afrikaans', 'south african pop']	[2019, 2020, 2021]	40	7
2jku7tDXc6XoB6MO2hFuqg	Tory Lanez	['canadian hip hop', 'canadian trap', 'melodic rap', 'r&b', 'rap', 'toronto rap', 'trap']	[2018, 2019, 2020, 2021]	40	17
