ID	Track	Artist	Position	Streams	Trend	Date	Chart	market
6u7jPi22kF8CTQ3rb9DHE7	Old Town Road (feat. Billy Ray Cyrus) - Remix	Lil Nas X	1	4,230	#84bd00	2019-06-04	Top 200	ae
3HVWdVOQ0ZA45FuZGSfvns	I Don't Care (with Justin Bieber)	Ed Sheeran	2	3,806	#bd3200	2019-06-04	Top 200	ae
2Fxmhks0bxGSBdJ92vM42m	bad guy	Billie Eilish	3	3,527	#bd3200	2019-06-04	Top 200	ae
3KkXRkHbMCARz0aVfEt68P	Sunflower - Spider-Man: Into the Spider-Verse	Post Malone, Swae Lee	4	2,955	#84bd00	2019-06-04	Top 200	ae
53CJANUxooaqGOtdsBTh7O	Old Town Road	Lil Nas X	5	2,619	#84bd00	2019-06-04	Top 200	ae
6LsAAHotRLMOHfCsSfYCsz	If I Can't Have You	Shawn Mendes	6	2,536	#bd3200	2019-06-04	Top 200	ae
7DcvwMAiqKJQD1rrdfxSDx	The London (feat. J. Cole & Travis Scott)	Young Thug	7	2,493	#bd3200	2019-06-04	Top 200	ae
4y3OI86AEP6PQoDE6olYhO	Sucker	Jonas Brothers	8	1,999	#3e3e40	2019-06-04	Top 200	ae
6TqXcAFInzjp0bODyvrWEq	Talk (feat. Disclosure)	Khalid	9	1,882	#bd3200	2019-06-04	Top 200	ae
2dpaYNEQHiRxtZbfNsse99	Happier	Marshmello, Bastille	10	1,846	#84bd00	2019-06-04	Top 200	ae
6ocbgoVGwYJhOv1GgI9NsF	7 rings	Ariana Grande	11	1,843	#84bd00	2019-06-04	Top 200	ae
3ee8Jmje8o58CHK66QrVC2	SAD!	XXXTENTACION	12	1,823	#4687d7	2019-06-04	Top 200	ae
5PYQUBXc7NYeI1obMKSJK0	Never Really Over	Katy Perry	13	1,820	#bd3200	2019-06-04	Top 200	ae
5p7ujcrUXASCNwRaWNHR1C	Without Me	Halsey	14	1,796	#3e3e40	2019-06-04	Top 200	ae
5hVghJ4KaYES3BFUATCYn0	EARFQUAKE	Tyler, The Creator	15	1,787	#bd3200	2019-06-04	Top 200	ae
4MsUsFfWseB9M2plGJyuIw	ME! (feat. Brendon Urie of Panic! At The Disco)	Taylor Swift	16	1,755	#bd3200	2019-06-04	Top 200	ae
5Aigt44wICHJ2BDshPZqvh	Al Mafrood	Aseel Hameem	17	1,700	#4687d7	2019-06-04	Top 200	ae
6MWtB6iiXyIwun0YzU6DFP	Wow.	Post Malone	18	1,650	#84bd00	2019-06-04	Top 200	ae
0e7ipj03S05BNilyu5bRzt	rockstar (feat. 21 Savage)	Post Malone	19	1,646	#4687d7	2019-06-04	Top 200	ae
0JP9xo3adEtGSdUEISiszL	Moonlight	XXXTENTACION	20	1,600	#4687d7	2019-06-04	Top 200	ae
1iWHabUgUuuKLBa0TzTHfk	"A Whole New World (End Title) - From ""Aladdin"""	ZAYN, Zhavia Ward	21	1,576	#bd3200	2019-06-04	Top 200	ae
7qEHsqek33rTcFNT9PFqLf	Someone You Loved	Lewis Capaldi	22	1,555	#bd3200	2019-06-04	Top 200	ae
1HpzOCZbNWzxvvXfSGtSrX	Find U Again (feat. Camila Cabello)	Mark Ronson	23	1,506	#bd3200	2019-06-04	Top 200	ae
543bCW2ruMPmxUBWirQ3MR	Cross Me (feat. Chance the Rapper & PnB Rock)	Ed Sheeran	24	1,477	#bd3200	2019-06-04	Top 200	ae
5KawlOMHjWeUjQtnuRs22c	Boy With Luv (feat. Halsey)	BTS	25	1,456	#bd3200	2019-06-04	Top 200	ae
0pqnGHJpmpxLKifKRmU6WP	Believer	Imagine Dragons	26	1,392	#4687d7	2019-06-04	Top 200	ae
05CwHjIk71RXVU40boRMnR	Call You Mine (feat. Bebe Rexha)	The Chainsmokers	27	1,373	#bd3200	2019-06-04	Top 200	ae
6Qs4SXO9dwPj5GKvVOv8Ki	Dancing With A Stranger (with Normani)	Sam Smith	28	1,359	#bd3200	2019-06-04	Top 200	ae
1kK6DwzyXJSp58u5HYWwuD	Go Loko (feat. Tyga, Jon Z)	YG	29	1,359	#4687d7	2019-06-04	Top 200	ae
3e9HZxeyfWwjeyPAMmWSSQ	thank u, next	Ariana Grande	30	1,341	#bd3200	2019-06-04	Top 200	ae
2MuMD298IpYqKF367wegUd	Homicide (feat. Eminem)	Logic	31	1,298	#4687d7	2019-06-04	Top 200	ae
7fa9MBXhVfQ8P8Df9OEbD8	Girls Like You (feat. Cardi B)	Maroon 5	32	1,283	#bd3200	2019-06-04	Top 200	ae
7Feaw9WAEREY0DUOSXJLOM	Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)	Martin Garrix	33	1,272	#bd3200	2019-06-04	Top 200	ae
2WyRfGeHo97VC5mP1BBSzr	Mother's Daughter	Miley Cyrus	34	1,242	#bd3200	2019-06-04	Top 200	ae
2P91MQbaiQOfbiz9VqhqKQ	I Like Me Better	Lauv	35	1,234	#bd3200	2019-06-04	Top 200	ae
7COXchtUOMd6uIT6HvmRaI	i'm so tired...	Lauv, Troye Sivan	36	1,219	#bd3200	2019-06-04	Top 200	ae
4w8niZpiMy6qz1mntFA5uM	Taki Taki (with Selena Gomez, Ozuna & Cardi B)	DJ Snake	37	1,215	#4687d7	2019-06-04	Top 200	ae
4pUCKHjJ4Ijewc37rRrvHn	Kill This Love	BLACKPINK	38	1,145	#bd3200	2019-06-04	Top 200	ae
2gwkD6igEhQbDQegRCcdoB	Suge	DaBaby	39	1,145	#4687d7	2019-06-04	Top 200	ae
7qiZfU4dY1lWllzX7mPBI3	Shape of You	Ed Sheeran	40	1,129	#4687d7	2019-06-04	Top 200	ae
4tNXntkAzQ5A2dfYRYGIIQ	Easier	5 Seconds of Summer	41	1,129	#bd3200	2019-06-04	Top 200	ae
36TO60sxDduIsO3xH8IcUh	Isis	Joyner Lucas, Logic	42	1,104	#4687d7	2019-06-04	Top 200	ae
25sgk305KZfyuqVBQIahim	Sweet but Psycho	Ava Max	43	1,094	#bd3200	2019-06-04	Top 200	ae
0n2nEtLP3OzDdi12ziIekx	SOS	Avicii, Aloe Blacc	44	1,093	#bd3200	2019-06-04	Top 200	ae
2xLMifQCjDGFmkHkpNLD9h	SICKO MODE	Travis Scott	45	1,084	#4687d7	2019-06-04	Top 200	ae
0u2P5u6lvoDfwTYjAADbn4	lovely (with Khalid)	Billie Eilish	46	1,082	#4687d7	2019-06-04	Top 200	ae
7njKgVl3AnLflRad38o7AG	Paradise	Bazzi	47	1,078	#bd3200	2019-06-04	Top 200	ae
7FGq80cy8juXBCD2nrqdWU	Eastside (with Halsey & Khalid)	benny blanco	48	1,076	#bd3200	2019-06-04	Top 200	ae
