ID	Track	Artist	Position	Streams	Trend	Date	Chart	market
5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd, Daft Punk	1	1,628	#3e3e40	2017-01-01	Top 200	bg
5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd, Daft Punk	1	2,040	#3e3e40	2017-01-02	Top 200	bg
5knuzwU65gJK7IF5yJsuaW	Rockabye (feat. Sean Paul & Anne-Marie)	Clean Bandit	2	1,166	#4687d7	2017-01-02	Top 200	bg
7BKLCZ1jbUBVqRi2FVlTVw	Closer	The Chainsmokers, Halsey	3	1,092	#4687d7	2017-01-02	Top 200	bg
3NdDpSvN911VPGivFlV5d0	"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""	ZAYN, Taylor Swift	4	1,088	#4687d7	2017-01-02	Top 200	bg
5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd, Daft Punk	1	2,355	#3e3e40	2017-01-03	Top 200	bg
3NdDpSvN911VPGivFlV5d0	"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""	ZAYN, Taylor Swift	2	1,503	#84bd00	2017-01-03	Top 200	bg
5knuzwU65gJK7IF5yJsuaW	Rockabye (feat. Sean Paul & Anne-Marie)	Clean Bandit	3	1,481	#bd3200	2017-01-03	Top 200	bg
7BKLCZ1jbUBVqRi2FVlTVw	Closer	The Chainsmokers, Halsey	4	1,335	#bd3200	2017-01-03	Top 200	bg
5GXAXm5YOmYT0kL5jHvYBt	I Feel It Coming	The Weeknd, Daft Punk	5	1,222	#4687d7	2017-01-03	Top 200	bg
4F7A0DXBrmUAkp32uenhZt	Party Monster	The Weeknd	6	1,175	#4687d7	2017-01-03	Top 200	bg
4pdPtRcBmOSQDlJ3Fk945m	Let Me Love You	DJ Snake, Justin Bieber	7	1,166	#4687d7	2017-01-03	Top 200	bg
6fujklziTHa8uoM5OQSfIo	Black Beatles	Rae Sremmurd, Gucci Mane	8	1,063	#4687d7	2017-01-03	Top 200	bg
343YBumqHu19cGoGARUTsd	Fake Love	Drake	9	1,038	#4687d7	2017-01-03	Top 200	bg
78rIJddV4X0HkNAInEcYde	Call On Me - Ryan Riback Extended Remix	Starley	10	1,034	#4687d7	2017-01-03	Top 200	bg
3EmmCZoqpWOTY1g2GBwJoR	Just Hold On	Steve Aoki, Louis Tomlinson	11	1,015	#4687d7	2017-01-03	Top 200	bg
6mICuAdrwEjh6Y6lroV2Kg	Chantaje (feat. Maluma)	Shakira	12	1,013	#4687d7	2017-01-03	Top 200	bg
5MFzQMkrl1FOOng9tq6R9r	Don't Wanna Know	Maroon 5, Kendrick Lamar	13	1,007	#4687d7	2017-01-03	Top 200	bg
5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd, Daft Punk	1	2,391	#3e3e40	2017-01-04	Top 200	bg
3NdDpSvN911VPGivFlV5d0	"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""	ZAYN, Taylor Swift	2	1,418	#3e3e40	2017-01-04	Top 200	bg
5knuzwU65gJK7IF5yJsuaW	Rockabye (feat. Sean Paul & Anne-Marie)	Clean Bandit	3	1,357	#3e3e40	2017-01-04	Top 200	bg
7BKLCZ1jbUBVqRi2FVlTVw	Closer	The Chainsmokers, Halsey	4	1,348	#3e3e40	2017-01-04	Top 200	bg
5GXAXm5YOmYT0kL5jHvYBt	I Feel It Coming	The Weeknd, Daft Punk	5	1,281	#3e3e40	2017-01-04	Top 200	bg
4pdPtRcBmOSQDlJ3Fk945m	Let Me Love You	DJ Snake, Justin Bieber	6	1,164	#84bd00	2017-01-04	Top 200	bg
6fujklziTHa8uoM5OQSfIo	Black Beatles	Rae Sremmurd, Gucci Mane	7	1,154	#84bd00	2017-01-04	Top 200	bg
4F7A0DXBrmUAkp32uenhZt	Party Monster	The Weeknd	8	1,152	#bd3200	2017-01-04	Top 200	bg
343YBumqHu19cGoGARUTsd	Fake Love	Drake	9	1,019	#3e3e40	2017-01-04	Top 200	bg
5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd, Daft Punk	1	2,395	#3e3e40	2017-01-05	Top 200	bg
5knuzwU65gJK7IF5yJsuaW	Rockabye (feat. Sean Paul & Anne-Marie)	Clean Bandit	2	1,412	#84bd00	2017-01-05	Top 200	bg
5GXAXm5YOmYT0kL5jHvYBt	I Feel It Coming	The Weeknd, Daft Punk	3	1,315	#84bd00	2017-01-05	Top 200	bg
3NdDpSvN911VPGivFlV5d0	"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""	ZAYN, Taylor Swift	4	1,313	#bd3200	2017-01-05	Top 200	bg
7BKLCZ1jbUBVqRi2FVlTVw	Closer	The Chainsmokers, Halsey	5	1,301	#bd3200	2017-01-05	Top 200	bg
4F7A0DXBrmUAkp32uenhZt	Party Monster	The Weeknd	6	1,238	#84bd00	2017-01-05	Top 200	bg
4pdPtRcBmOSQDlJ3Fk945m	Let Me Love You	DJ Snake, Justin Bieber	7	1,161	#bd3200	2017-01-05	Top 200	bg
6mICuAdrwEjh6Y6lroV2Kg	Chantaje (feat. Maluma)	Shakira	8	1,086	#4687d7	2017-01-05	Top 200	bg
6fujklziTHa8uoM5OQSfIo	Black Beatles	Rae Sremmurd, Gucci Mane	9	1,030	#bd3200	2017-01-05	Top 200	bg
7qiZfU4dY1lWllzX7mPBI3	Shape of You	Ed Sheeran	1	6,685	#4687d7	2017-01-06	Top 200	bg
6PCUP3dWmTjcTtXY02oFdT	Castle on the Hill	Ed Sheeran	2	4,187	#4687d7	2017-01-06	Top 200	bg
5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd, Daft Punk	3	2,154	#bd3200	2017-01-06	Top 200	bg
5knuzwU65gJK7IF5yJsuaW	Rockabye (feat. Sean Paul & Anne-Marie)	Clean Bandit	4	1,466	#bd3200	2017-01-06	Top 200	bg
3NdDpSvN911VPGivFlV5d0	"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""	ZAYN, Taylor Swift	5	1,335	#bd3200	2017-01-06	Top 200	bg
5GXAXm5YOmYT0kL5jHvYBt	I Feel It Coming	The Weeknd, Daft Punk	6	1,228	#bd3200	2017-01-06	Top 200	bg
7BKLCZ1jbUBVqRi2FVlTVw	Closer	The Chainsmokers, Halsey	7	1,186	#bd3200	2017-01-06	Top 200	bg
4F7A0DXBrmUAkp32uenhZt	Party Monster	The Weeknd	8	1,158	#bd3200	2017-01-06	Top 200	bg
4pdPtRcBmOSQDlJ3Fk945m	Let Me Love You	DJ Snake, Justin Bieber	9	1,085	#bd3200	2017-01-06	Top 200	bg
6fujklziTHa8uoM5OQSfIo	Black Beatles	Rae Sremmurd, Gucci Mane	10	1,063	#bd3200	2017-01-06	Top 200	bg
