ID	Track	Artist	Position	Streams	Trend	Date	Chart	market
5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd, Daft Punk	1	1,950	#3e3e40	2017-01-01	Top 200	ee
7abpmGpF7PGep2rDU68GBR	Tuesday	Burak Yeter, Danelle Sandoval	2	1,727	#84bd00	2017-01-01	Top 200	ee
7BKLCZ1jbUBVqRi2FVlTVw	Closer	The Chainsmokers, Halsey	3	1,692	#bd3200	2017-01-01	Top 200	ee
0JiVRyTJcJnmlwCZ854K4p	Alone	Alan Walker	4	1,649	#84bd00	2017-01-01	Top 200	ee
5knuzwU65gJK7IF5yJsuaW	Rockabye (feat. Sean Paul & Anne-Marie)	Clean Bandit	5	1,638	#3e3e40	2017-01-01	Top 200	ee
3NdDpSvN911VPGivFlV5d0	"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""	ZAYN, Taylor Swift	6	1,629	#3e3e40	2017-01-01	Top 200	ee
6fujklziTHa8uoM5OQSfIo	Black Beatles	Rae Sremmurd, Gucci Mane	7	1,427	#84bd00	2017-01-01	Top 200	ee
5uCax9HTNlzGybIStD3vDh	Say You Won't Let Go	James Arthur	8	1,353	#84bd00	2017-01-01	Top 200	ee
5GXAXm5YOmYT0kL5jHvYBt	I Feel It Coming	The Weeknd, Daft Punk	9	1,328	#bd3200	2017-01-01	Top 200	ee
4pdPtRcBmOSQDlJ3Fk945m	Let Me Love You	DJ Snake, Justin Bieber	10	1,296	#bd3200	2017-01-01	Top 200	ee
78rIJddV4X0HkNAInEcYde	Call On Me - Ryan Riback Extended Remix	Starley	11	1,179	#3e3e40	2017-01-01	Top 200	ee
04DwTuZ2VBdJCCC5TROn7L	In the Name of Love	Martin Garrix, Bebe Rexha	12	1,136	#84bd00	2017-01-01	Top 200	ee
5MFzQMkrl1FOOng9tq6R9r	Don't Wanna Know	Maroon 5, Kendrick Lamar	13	1,131	#bd3200	2017-01-01	Top 200	ee
39MsGu3FUJ5mofWxTvDL1A	Rooftop	NOËP	14	1,104	#3e3e40	2017-01-01	Top 200	ee
2rizacJSyD9S1IQUxUxnsK	All We Know	The Chainsmokers, Phoebe Ryan	15	1,076	#84bd00	2017-01-01	Top 200	ee
1xznGGDReH1oQq0xzbwXa3	One Dance	Drake, WizKid, Kyla	16	1,058	#bd3200	2017-01-01	Top 200	ee
343YBumqHu19cGoGARUTsd	Fake Love	Drake	17	1,017	#84bd00	2017-01-01	Top 200	ee
3EmmCZoqpWOTY1g2GBwJoR	Just Hold On	Steve Aoki, Louis Tomlinson	18	1,015	#3e3e40	2017-01-01	Top 200	ee
5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd, Daft Punk	1	2,580	#3e3e40	2017-01-02	Top 200	ee
3NdDpSvN911VPGivFlV5d0	"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""	ZAYN, Taylor Swift	2	2,287	#84bd00	2017-01-02	Top 200	ee
5knuzwU65gJK7IF5yJsuaW	Rockabye (feat. Sean Paul & Anne-Marie)	Clean Bandit	3	2,075	#84bd00	2017-01-02	Top 200	ee
7BKLCZ1jbUBVqRi2FVlTVw	Closer	The Chainsmokers, Halsey	4	2,070	#bd3200	2017-01-02	Top 200	ee
7abpmGpF7PGep2rDU68GBR	Tuesday	Burak Yeter, Danelle Sandoval	5	2,066	#bd3200	2017-01-02	Top 200	ee
5GXAXm5YOmYT0kL5jHvYBt	I Feel It Coming	The Weeknd, Daft Punk	6	1,867	#84bd00	2017-01-02	Top 200	ee
0JiVRyTJcJnmlwCZ854K4p	Alone	Alan Walker	7	1,837	#bd3200	2017-01-02	Top 200	ee
5uCax9HTNlzGybIStD3vDh	Say You Won't Let Go	James Arthur	8	1,740	#3e3e40	2017-01-02	Top 200	ee
78rIJddV4X0HkNAInEcYde	Call On Me - Ryan Riback Extended Remix	Starley	9	1,682	#84bd00	2017-01-02	Top 200	ee
6fujklziTHa8uoM5OQSfIo	Black Beatles	Rae Sremmurd, Gucci Mane	10	1,677	#bd3200	2017-01-02	Top 200	ee
4pdPtRcBmOSQDlJ3Fk945m	Let Me Love You	DJ Snake, Justin Bieber	11	1,648	#bd3200	2017-01-02	Top 200	ee
5MFzQMkrl1FOOng9tq6R9r	Don't Wanna Know	Maroon 5, Kendrick Lamar	12	1,573	#84bd00	2017-01-02	Top 200	ee
3EmmCZoqpWOTY1g2GBwJoR	Just Hold On	Steve Aoki, Louis Tomlinson	13	1,461	#84bd00	2017-01-02	Top 200	ee
2rizacJSyD9S1IQUxUxnsK	All We Know	The Chainsmokers, Phoebe Ryan	14	1,432	#84bd00	2017-01-02	Top 200	ee
1qOLh0tI7trd1zdDKxYZTe	Starving	Hailee Steinfeld, Grey, Zedd	15	1,409	#4687d7	2017-01-02	Top 200	ee
04DwTuZ2VBdJCCC5TROn7L	In the Name of Love	Martin Garrix, Bebe Rexha	16	1,385	#bd3200	2017-01-02	Top 200	ee
39MsGu3FUJ5mofWxTvDL1A	Rooftop	NOËP	17	1,355	#bd3200	2017-01-02	Top 200	ee
1PSBzsahR2AKwLJgx8ehBj	Bad Things (with Camila Cabello)	Machine Gun Kelly	18	1,325	#4687d7	2017-01-02	Top 200	ee
343YBumqHu19cGoGARUTsd	Fake Love	Drake	19	1,311	#bd3200	2017-01-02	Top 200	ee
1cG0umU5TKStygKsPFZ9pY	Shed a Light	Robin Schulz, David Guetta, Cheat Codes	20	1,220	#4687d7	2017-01-02	Top 200	ee
1xznGGDReH1oQq0xzbwXa3	One Dance	Drake, WizKid, Kyla	21	1,199	#bd3200	2017-01-02	Top 200	ee
08WPvDEsHvTFuB9w8tC2OS	Now and Later	Sage The Gemini	22	1,189	#4687d7	2017-01-02	Top 200	ee
6i0V12jOa3mr6uu4WYhUBr	Heathens	Twenty One Pilots	23	1,136	#4687d7	2017-01-02	Top 200	ee
0hNduWmlWmEmuwEFcYvRu1	Sunset Lover	Petit Biscuit	24	1,083	#4687d7	2017-01-02	Top 200	ee
4b4KcovePX8Ke2cLIQTLM0	All Night	The Vamps, Matoma	25	1,080	#4687d7	2017-01-02	Top 200	ee
6DNtNfH8hXkqOX1sjqmI7p	Cold Water (feat. Justin Bieber & MØ)	Major Lazer	26	1,074	#4687d7	2017-01-02	Top 200	ee
6An4IIXQmfdJHYWkwY1eLE	Lähedal	Karl-Erik Taukar	27	1,055	#4687d7	2017-01-02	Top 200	ee
58zsLZPvfflaiIbNWoA22O	Human	Rag'n'Bone Man	28	1,048	#4687d7	2017-01-02	Top 200	ee
1a5Yu5L18qNxVhXx38njON	Hear Me Now	Alok, Bruno Martini, Zeeba	29	1,048	#4687d7	2017-01-02	Top 200	ee
4TZy1wLyHec06pwgFYDh1a	Mercy	Shawn Mendes	30	1,043	#4687d7	2017-01-02	Top 200	ee
1vvNmPOiUuyCbgWmtc6yfm	My Way	Calvin Harris	31	1,019	#4687d7	2017-01-02	Top 200	ee
3NdDpSvN911VPGivFlV5d0	"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""	ZAYN, Taylor Swift	1	2,636	#84bd00	2017-01-03	Top 200	ee
5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd, Daft Punk	2	2,618	#bd3200	2017-01-03	Top 200	ee
7BKLCZ1jbUBVqRi2FVlTVw	Closer	The Chainsmokers, Halsey	3	2,186	#84bd00	2017-01-03	Top 200	ee
5knuzwU65gJK7IF5yJsuaW	Rockabye (feat. Sean Paul & Anne-Marie)	Clean Bandit	4	2,175	#bd3200	2017-01-03	Top 200	ee
7abpmGpF7PGep2rDU68GBR	Tuesday	Burak Yeter, Danelle Sandoval	5	2,169	#3e3e40	2017-01-03	Top 200	ee
0JiVRyTJcJnmlwCZ854K4p	Alone	Alan Walker	6	1,948	#84bd00	2017-01-03	Top 200	ee
5uCax9HTNlzGybIStD3vDh	Say You Won't Let Go	James Arthur	7	1,926	#84bd00	2017-01-03	Top 200	ee
5GXAXm5YOmYT0kL5jHvYBt	I Feel It Coming	The Weeknd, Daft Punk	8	1,917	#bd3200	2017-01-03	Top 200	ee
78rIJddV4X0HkNAInEcYde	Call On Me - Ryan Riback Extended Remix	Starley	9	1,778	#3e3e40	2017-01-03	Top 200	ee
4pdPtRcBmOSQDlJ3Fk945m	Let Me Love You	DJ Snake, Justin Bieber	10	1,739	#84bd00	2017-01-03	Top 200	ee
3EmmCZoqpWOTY1g2GBwJoR	Just Hold On	Steve Aoki, Louis Tomlinson	11	1,630	#84bd00	2017-01-03	Top 200	ee
5MFzQMkrl1FOOng9tq6R9r	Don't Wanna Know	Maroon 5, Kendrick Lamar	12	1,630	#3e3e40	2017-01-03	Top 200	ee
6fujklziTHa8uoM5OQSfIo	Black Beatles	Rae Sremmurd, Gucci Mane	13	1,559	#bd3200	2017-01-03	Top 200	ee
