ID	Track	Artist	Position	Streams	Trend	Date	Chart	market
0TK2YIli7K1leLovkQiNik	Señorita	Shawn Mendes, Camila Cabello	1	5,569	#3e3e40	2019-07-22	Top 200	eg
4I572oJh5QPVNo189sXzel	انساي	Saad Lamjarred, Mohamed Ramadan	2	4,975	#84bd00	2019-07-22	Top 200	eg
2Fxmhks0bxGSBdJ92vM42m	bad guy	Billie Eilish	3	3,155	#bd3200	2019-07-22	Top 200	eg
6vBdBCoOhKHiYDDOcorfNo	Goodbyes (Feat. Young Thug)	Post Malone	4	2,566	#bd3200	2019-07-22	Top 200	eg
6EVt050wg9TQv9HpSn0Ke3	Kan Lak Ma'aya (Feat. Umm Kulthum)	Cairokee	5	2,470	#3e3e40	2019-07-22	Top 200	eg
0pqnGHJpmpxLKifKRmU6WP	Believer	Imagine Dragons	6	2,232	#3e3e40	2019-07-22	Top 200	eg
6u7jPi22kF8CTQ3rb9DHE7	Old Town Road (feat. Billy Ray Cyrus) - Remix	Lil Nas X	7	2,132	#84bd00	2019-07-22	Top 200	eg
70eFcWOvlMObDhURTqT4Fv	Beautiful People (feat. Khalid)	Ed Sheeran	8	2,103	#bd3200	2019-07-22	Top 200	eg
2j9B8YHcnxDwiDNZg6UXFl	Mel Bedaya	Mohamed Hamaki	9	1,826	#84bd00	2019-07-22	Top 200	eg
3yNZ5r3LKfdmjoS3gkhUCT	bad guy (with Justin Bieber)	Billie Eilish	10	1,805	#84bd00	2019-07-22	Top 200	eg
5p7ujcrUXASCNwRaWNHR1C	Without Me	Halsey	11	1,745	#bd3200	2019-07-22	Top 200	eg
51Fjme0JiitpyXKuyQiCDo	Lalala	Y2K, bbno$	12	1,712	#84bd00	2019-07-22	Top 200	eg
0e7ipj03S05BNilyu5bRzt	rockstar (feat. 21 Savage)	Post Malone	13	1,652	#bd3200	2019-07-22	Top 200	eg
7EKL6tqwaXDlvioAsah2on	Bayen Habeit	Amr Diab, Marshmello	14	1,628	#84bd00	2019-07-22	Top 200	eg
0u2P5u6lvoDfwTYjAADbn4	lovely (with Khalid)	Billie Eilish	15	1,574	#bd3200	2019-07-22	Top 200	eg
1DhRbox3xkceP64k3JeYfW	Antisocial (with Travis Scott)	Ed Sheeran	16	1,512	#bd3200	2019-07-22	Top 200	eg
2dpaYNEQHiRxtZbfNsse99	Happier	Marshmello, Bastille	17	1,509	#84bd00	2019-07-22	Top 200	eg
08bNPGLD8AhKpnnERrAc6G	FRIENDS	Marshmello, Anne-Marie	18	1,494	#3e3e40	2019-07-22	Top 200	eg
0hVXuCcriWRGvwMV1r5Yn9	I Don't Care (with Justin Bieber)	Ed Sheeran	19	1,470	#bd3200	2019-07-22	Top 200	eg
21pObgkjeIl4QYHLdg8yeo	Mafia	Mohamed Ramadan	20	1,425	#84bd00	2019-07-22	Top 200	eg
6moU77g9RQyMzHNuKEaQKq	It's You	Ali Gatie	21	1,409	#84bd00	2019-07-22	Top 200	eg
53CJANUxooaqGOtdsBTh7O	Old Town Road	Lil Nas X	22	1,393	#bd3200	2019-07-22	Top 200	eg
6b2RcmUt1g9N9mQ3CbjX2Y	How Do You Sleep?	Sam Smith	23	1,385	#bd3200	2019-07-22	Top 200	eg
6EyveOpETSJBcdQgVCMSL5	Nasseeny Leih	Tamer Hosny	24	1,385	#84bd00	2019-07-22	Top 200	eg
62nGR6pKwwwvNNcXahVDnA	Malayeen	Mahmoud El Esseily	25	1,382	#84bd00	2019-07-22	Top 200	eg
5ry2OE6R2zPQFDO85XkgRb	Money In The Grave (Drake ft. Rick Ross)	Drake	26	1,350	#3e3e40	2019-07-22	Top 200	eg
3KkXRkHbMCARz0aVfEt68P	Sunflower - Spider-Man: Into the Spider-Verse	Post Malone, Swae Lee	27	1,349	#bd3200	2019-07-22	Top 200	eg
6dyQ4108zdBsO3Ygdf4Mne	Oloolo Samah	Tamer Ashour	28	1,344	#bd3200	2019-07-22	Top 200	eg
2qxmye6gAegTMjLKEBoR3d	Let Me Down Slowly	Alec Benjamin	29	1,332	#84bd00	2019-07-22	Top 200	eg
4n7jnSxVLd8QioibtTDBDq	On My Way	Alan Walker, Sabrina Carpenter, Farruko	30	1,308	#bd3200	2019-07-22	Top 200	eg
