ID	Track	Artist	Position	Streams	Trend	Date	Chart	market
4saklk6nie3yiGePpBwUoc	Dynamite	BTS	1	14,383	#4687d7	2021-02-01	Top 200	kr
249gnXrbfmV8NG6jTEMSwD	Life Goes On	BTS	2	13,462	#4687d7	2021-02-01	Top 200	kr
0n2moJpAEWHwaPYYjkzMDl	Blue & Grey	BTS	3	6,693	#4687d7	2021-02-01	Top 200	kr
4RewTiGEGoO7FWNZUmp1f4	Celebrity	IU	4	6,536	#4687d7	2021-02-01	Top 200	kr
3QH8rQGNFX8VLbCgZ7uPTS	Fly To My Room	BTS	5	5,893	#4687d7	2021-02-01	Top 200	kr
54DmTIv86D3sYdiawjULQ0	Dis-ease	BTS	6	5,749	#4687d7	2021-02-01	Top 200	kr
5KawlOMHjWeUjQtnuRs22c	Boy With Luv (feat. Halsey)	BTS	7	5,341	#4687d7	2021-02-01	Top 200	kr
3cbLHmmEPvTgHKvl53WYiy	ON	BTS	8	5,000	#4687d7	2021-02-01	Top 200	kr
3ndCsZfq8OVwwkz9mmZvUz	Stay	BTS	9	4,976	#4687d7	2021-02-01	Top 200	kr
4Ws314Ylb27BVsvlZOy30C	Lovesick Girls	BLACKPINK	10	4,973	#4687d7	2021-02-01	Top 200	kr
7lPN2DXiMsVn7XUKtOW1CS	drivers license	Olivia Rodrigo	11	4,964	#4687d7	2021-02-01	Top 200	kr
0H4ugk6rhnXmTl47ayy9O5	Daechwita	Agust D	12	4,561	#4687d7	2021-02-01	Top 200	kr
2FVpOsjT1iquZ3SpCjZ9Ne	Telepathy	BTS	13	4,448	#4687d7	2021-02-01	Top 200	kr
2tI4WyzqOOwC23S5m0kqcB	At My Worst	Pink Sweat$	14	4,333	#4687d7	2021-02-01	Top 200	kr
0SJ7vFES0Lj6pnumh3DhCe	People	Agust D	15	3,801	#4687d7	2021-02-01	Top 200	kr
6Im9k8u9iIzKMrmV7BWtlF	34+35	Ariana Grande	16	3,410	#4687d7	2021-02-01	Top 200	kr
