ID	Track	Artist	Position	Streams	Trend	Date	Chart	market
5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd, Daft Punk	1	2,583	#84bd00	2017-01-01	Top 200	lt
5GXAXm5YOmYT0kL5jHvYBt	I Feel It Coming	The Weeknd, Daft Punk	2	2,257	#bd3200	2017-01-01	Top 200	lt
3NdDpSvN911VPGivFlV5d0	"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""	ZAYN, Taylor Swift	3	1,972	#84bd00	2017-01-01	Top 200	lt
5knuzwU65gJK7IF5yJsuaW	Rockabye (feat. Sean Paul & Anne-Marie)	Clean Bandit	4	1,961	#84bd00	2017-01-01	Top 200	lt
7BKLCZ1jbUBVqRi2FVlTVw	Closer	The Chainsmokers, Halsey	5	1,944	#bd3200	2017-01-01	Top 200	lt
5MFzQMkrl1FOOng9tq6R9r	Don't Wanna Know	Maroon 5, Kendrick Lamar	6	1,795	#84bd00	2017-01-01	Top 200	lt
78rIJddV4X0HkNAInEcYde	Call On Me - Ryan Riback Extended Remix	Starley	7	1,731	#84bd00	2017-01-01	Top 200	lt
4pdPtRcBmOSQDlJ3Fk945m	Let Me Love You	DJ Snake, Justin Bieber	8	1,710	#bd3200	2017-01-01	Top 200	lt
6fujklziTHa8uoM5OQSfIo	Black Beatles	Rae Sremmurd, Gucci Mane	9	1,474	#84bd00	2017-01-01	Top 200	lt
1xznGGDReH1oQq0xzbwXa3	One Dance	Drake, WizKid, Kyla	10	1,414	#bd3200	2017-01-01	Top 200	lt
3EmmCZoqpWOTY1g2GBwJoR	Just Hold On	Steve Aoki, Louis Tomlinson	11	1,387	#84bd00	2017-01-01	Top 200	lt
343YBumqHu19cGoGARUTsd	Fake Love	Drake	12	1,378	#84bd00	2017-01-01	Top 200	lt
5uCax9HTNlzGybIStD3vDh	Say You Won't Let Go	James Arthur	13	1,359	#84bd00	2017-01-01	Top 200	lt
2rizacJSyD9S1IQUxUxnsK	All We Know	The Chainsmokers, Phoebe Ryan	14	1,270	#84bd00	2017-01-01	Top 200	lt
4b4KcovePX8Ke2cLIQTLM0	All Night	The Vamps, Matoma	15	1,269	#84bd00	2017-01-01	Top 200	lt
7abpmGpF7PGep2rDU68GBR	Tuesday	Burak Yeter, Danelle Sandoval	16	1,252	#bd3200	2017-01-01	Top 200	lt
0JiVRyTJcJnmlwCZ854K4p	Alone	Alan Walker	17	1,180	#84bd00	2017-01-01	Top 200	lt
1qOLh0tI7trd1zdDKxYZTe	Starving	Hailee Steinfeld, Grey, Zedd	18	1,179	#84bd00	2017-01-01	Top 200	lt
08WPvDEsHvTFuB9w8tC2OS	Now and Later	Sage The Gemini	19	1,170	#84bd00	2017-01-01	Top 200	lt
04DwTuZ2VBdJCCC5TROn7L	In the Name of Love	Martin Garrix, Bebe Rexha	20	1,135	#84bd00	2017-01-01	Top 200	lt
1a5Yu5L18qNxVhXx38njON	Hear Me Now	Alok, Bruno Martini, Zeeba	21	1,120	#84bd00	2017-01-01	Top 200	lt
1PSBzsahR2AKwLJgx8ehBj	Bad Things (with Camila Cabello)	Machine Gun Kelly	22	1,097	#84bd00	2017-01-01	Top 200	lt
6JV2JOEocMgcZxYSZelKcc	"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")"	Justin Timberlake	23	1,088	#bd3200	2017-01-01	Top 200	lt
6nxQdXa1uAL0rY72wPZu89	Love Me Now	John Legend	24	1,071	#84bd00	2017-01-01	Top 200	lt
1D3ODoXHBLpdxolZRHWV1j	By Your Side	Jonas Blue, RAYE	25	1,024	#84bd00	2017-01-01	Top 200	lt
1vvNmPOiUuyCbgWmtc6yfm	My Way	Calvin Harris	26	1,020	#bd3200	2017-01-01	Top 200	lt
0hNduWmlWmEmuwEFcYvRu1	Sunset Lover	Petit Biscuit	27	1,020	#84bd00	2017-01-01	Top 200	lt
7aV2mflaASUmGhCErm7kBO	The Mack	Nevada, Mark Morrison, Fetty Wap	28	1,017	#84bd00	2017-01-01	Top 200	lt
6b8Be6ljOzmkOmFslEb23P	24K Magic	Bruno Mars	29	1,012	#bd3200	2017-01-01	Top 200	lt
5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd, Daft Punk	1	3,263	#3e3e40	2017-01-02	Top 200	lt
5GXAXm5YOmYT0kL5jHvYBt	I Feel It Coming	The Weeknd, Daft Punk	2	2,882	#3e3e40	2017-01-02	Top 200	lt
3NdDpSvN911VPGivFlV5d0	"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""	ZAYN, Taylor Swift	3	2,727	#3e3e40	2017-01-02	Top 200	lt
5knuzwU65gJK7IF5yJsuaW	Rockabye (feat. Sean Paul & Anne-Marie)	Clean Bandit	4	2,556	#3e3e40	2017-01-02	Top 200	lt
78rIJddV4X0HkNAInEcYde	Call On Me - Ryan Riback Extended Remix	Starley	5	2,286	#84bd00	2017-01-02	Top 200	lt
7BKLCZ1jbUBVqRi2FVlTVw	Closer	The Chainsmokers, Halsey	6	2,280	#bd3200	2017-01-02	Top 200	lt
5MFzQMkrl1FOOng9tq6R9r	Don't Wanna Know	Maroon 5, Kendrick Lamar	7	2,249	#bd3200	2017-01-02	Top 200	lt
4pdPtRcBmOSQDlJ3Fk945m	Let Me Love You	DJ Snake, Justin Bieber	8	2,156	#3e3e40	2017-01-02	Top 200	lt
3EmmCZoqpWOTY1g2GBwJoR	Just Hold On	Steve Aoki, Louis Tomlinson	9	1,943	#84bd00	2017-01-02	Top 200	lt
5uCax9HTNlzGybIStD3vDh	Say You Won't Let Go	James Arthur	10	1,864	#84bd00	2017-01-02	Top 200	lt
343YBumqHu19cGoGARUTsd	Fake Love	Drake	11	1,740	#84bd00	2017-01-02	Top 200	lt
2rizacJSyD9S1IQUxUxnsK	All We Know	The Chainsmokers, Phoebe Ryan	12	1,678	#84bd00	2017-01-02	Top 200	lt
