ID	Track	Artist	Position	Streams	Trend	Date	Chart	market
5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd, Daft Punk	1	1,020	#84bd00	2017-01-01	Top 200	lu
5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd, Daft Punk	1	1,312	#3e3e40	2017-01-02	Top 200	lu
5knuzwU65gJK7IF5yJsuaW	Rockabye (feat. Sean Paul & Anne-Marie)	Clean Bandit	2	1,171	#4687d7	2017-01-02	Top 200	lu
4pdPtRcBmOSQDlJ3Fk945m	Let Me Love You	DJ Snake, Justin Bieber	3	1,040	#4687d7	2017-01-02	Top 200	lu
5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd, Daft Punk	1	1,335	#3e3e40	2017-01-03	Top 200	lu
5knuzwU65gJK7IF5yJsuaW	Rockabye (feat. Sean Paul & Anne-Marie)	Clean Bandit	2	1,185	#3e3e40	2017-01-03	Top 200	lu
7BKLCZ1jbUBVqRi2FVlTVw	Closer	The Chainsmokers, Halsey	3	1,087	#4687d7	2017-01-03	Top 200	lu
78rIJddV4X0HkNAInEcYde	Call On Me - Ryan Riback Extended Remix	Starley	4	1,070	#4687d7	2017-01-03	Top 200	lu
4pdPtRcBmOSQDlJ3Fk945m	Let Me Love You	DJ Snake, Justin Bieber	5	1,066	#bd3200	2017-01-03	Top 200	lu
3NdDpSvN911VPGivFlV5d0	"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""	ZAYN, Taylor Swift	6	1,060	#4687d7	2017-01-03	Top 200	lu
5uCax9HTNlzGybIStD3vDh	Say You Won't Let Go	James Arthur	7	1,060	#4687d7	2017-01-03	Top 200	lu
5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd, Daft Punk	1	1,394	#3e3e40	2017-01-04	Top 200	lu
5knuzwU65gJK7IF5yJsuaW	Rockabye (feat. Sean Paul & Anne-Marie)	Clean Bandit	2	1,169	#3e3e40	2017-01-04	Top 200	lu
7BKLCZ1jbUBVqRi2FVlTVw	Closer	The Chainsmokers, Halsey	3	1,157	#3e3e40	2017-01-04	Top 200	lu
5uCax9HTNlzGybIStD3vDh	Say You Won't Let Go	James Arthur	4	1,051	#84bd00	2017-01-04	Top 200	lu
4pdPtRcBmOSQDlJ3Fk945m	Let Me Love You	DJ Snake, Justin Bieber	5	1,023	#3e3e40	2017-01-04	Top 200	lu
78rIJddV4X0HkNAInEcYde	Call On Me - Ryan Riback Extended Remix	Starley	6	1,003	#bd3200	2017-01-04	Top 200	lu
5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd, Daft Punk	1	1,352	#3e3e40	2017-01-05	Top 200	lu
