ID	Track	Artist	Position	Streams	Trend	Date	Chart	market
5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd, Daft Punk	1	2,059	#84bd00	2017-01-01	Top 200	lv
7BKLCZ1jbUBVqRi2FVlTVw	Closer	The Chainsmokers, Halsey	2	1,775	#bd3200	2017-01-01	Top 200	lv
4pdPtRcBmOSQDlJ3Fk945m	Let Me Love You	DJ Snake, Justin Bieber	3	1,522	#3e3e40	2017-01-01	Top 200	lv
3NdDpSvN911VPGivFlV5d0	"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""	ZAYN, Taylor Swift	4	1,475	#84bd00	2017-01-01	Top 200	lv
6fujklziTHa8uoM5OQSfIo	Black Beatles	Rae Sremmurd, Gucci Mane	5	1,442	#84bd00	2017-01-01	Top 200	lv
5knuzwU65gJK7IF5yJsuaW	Rockabye (feat. Sean Paul & Anne-Marie)	Clean Bandit	6	1,411	#84bd00	2017-01-01	Top 200	lv
5GXAXm5YOmYT0kL5jHvYBt	I Feel It Coming	The Weeknd, Daft Punk	7	1,372	#bd3200	2017-01-01	Top 200	lv
5uCax9HTNlzGybIStD3vDh	Say You Won't Let Go	James Arthur	8	1,366	#84bd00	2017-01-01	Top 200	lv
343YBumqHu19cGoGARUTsd	Fake Love	Drake	9	1,255	#84bd00	2017-01-01	Top 200	lv
1xznGGDReH1oQq0xzbwXa3	One Dance	Drake, WizKid, Kyla	10	1,232	#bd3200	2017-01-01	Top 200	lv
78rIJddV4X0HkNAInEcYde	Call On Me - Ryan Riback Extended Remix	Starley	11	1,217	#84bd00	2017-01-01	Top 200	lv
5MFzQMkrl1FOOng9tq6R9r	Don't Wanna Know	Maroon 5, Kendrick Lamar	12	1,211	#3e3e40	2017-01-01	Top 200	lv
2rizacJSyD9S1IQUxUxnsK	All We Know	The Chainsmokers, Phoebe Ryan	13	1,163	#84bd00	2017-01-01	Top 200	lv
7abpmGpF7PGep2rDU68GBR	Tuesday	Burak Yeter, Danelle Sandoval	14	1,144	#84bd00	2017-01-01	Top 200	lv
04DwTuZ2VBdJCCC5TROn7L	In the Name of Love	Martin Garrix, Bebe Rexha	15	1,096	#84bd00	2017-01-01	Top 200	lv
3EmmCZoqpWOTY1g2GBwJoR	Just Hold On	Steve Aoki, Louis Tomlinson	16	1,030	#84bd00	2017-01-01	Top 200	lv
1qOLh0tI7trd1zdDKxYZTe	Starving	Hailee Steinfeld, Grey, Zedd	17	1,029	#84bd00	2017-01-01	Top 200	lv
4b4KcovePX8Ke2cLIQTLM0	All Night	The Vamps, Matoma	18	1,016	#84bd00	2017-01-01	Top 200	lv
5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd, Daft Punk	1	2,834	#3e3e40	2017-01-02	Top 200	lv
7BKLCZ1jbUBVqRi2FVlTVw	Closer	The Chainsmokers, Halsey	2	2,243	#3e3e40	2017-01-02	Top 200	lv
3NdDpSvN911VPGivFlV5d0	"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""	ZAYN, Taylor Swift	3	2,165	#84bd00	2017-01-02	Top 200	lv
5knuzwU65gJK7IF5yJsuaW	Rockabye (feat. Sean Paul & Anne-Marie)	Clean Bandit	4	1,971	#84bd00	2017-01-02	Top 200	lv
5GXAXm5YOmYT0kL5jHvYBt	I Feel It Coming	The Weeknd, Daft Punk	5	1,935	#84bd00	2017-01-02	Top 200	lv
4pdPtRcBmOSQDlJ3Fk945m	Let Me Love You	DJ Snake, Justin Bieber	6	1,929	#bd3200	2017-01-02	Top 200	lv
78rIJddV4X0HkNAInEcYde	Call On Me - Ryan Riback Extended Remix	Starley	7	1,820	#84bd00	2017-01-02	Top 200	lv
343YBumqHu19cGoGARUTsd	Fake Love	Drake	8	1,746	#84bd00	2017-01-02	Top 200	lv
6fujklziTHa8uoM5OQSfIo	Black Beatles	Rae Sremmurd, Gucci Mane	9	1,725	#bd3200	2017-01-02	Top 200	lv
5uCax9HTNlzGybIStD3vDh	Say You Won't Let Go	James Arthur	10	1,713	#bd3200	2017-01-02	Top 200	lv
2rizacJSyD9S1IQUxUxnsK	All We Know	The Chainsmokers, Phoebe Ryan	11	1,709	#84bd00	2017-01-02	Top 200	lv
5MFzQMkrl1FOOng9tq6R9r	Don't Wanna Know	Maroon 5, Kendrick Lamar	12	1,665	#3e3e40	2017-01-02	Top 200	lv
1qOLh0tI7trd1zdDKxYZTe	Starving	Hailee Steinfeld, Grey, Zedd	13	1,595	#84bd00	2017-01-02	Top 200	lv
04DwTuZ2VBdJCCC5TROn7L	In the Name of Love	Martin Garrix, Bebe Rexha	14	1,560	#84bd00	2017-01-02	Top 200	lv
3EmmCZoqpWOTY1g2GBwJoR	Just Hold On	Steve Aoki, Louis Tomlinson	15	1,522	#84bd00	2017-01-02	Top 200	lv
4b4KcovePX8Ke2cLIQTLM0	All Night	The Vamps, Matoma	16	1,455	#84bd00	2017-01-02	Top 200	lv
7abpmGpF7PGep2rDU68GBR	Tuesday	Burak Yeter, Danelle Sandoval	17	1,432	#bd3200	2017-01-02	Top 200	lv
1PSBzsahR2AKwLJgx8ehBj	Bad Things (with Camila Cabello)	Machine Gun Kelly	18	1,431	#4687d7	2017-01-02	Top 200	lv
