ID	Track	Artist	Position	Streams	Trend	Date	Chart	market
0TK2YIli7K1leLovkQiNik	Señorita	Shawn Mendes, Camila Cabello	1	4,643	#3e3e40	2019-07-08	Top 200	ma
6u7jPi22kF8CTQ3rb9DHE7	Old Town Road (feat. Billy Ray Cyrus) - Remix	Lil Nas X	2	3,012	#3e3e40	2019-07-08	Top 200	ma
6vBdBCoOhKHiYDDOcorfNo	Goodbyes (Feat. Young Thug)	Post Malone	3	2,787	#3e3e40	2019-07-08	Top 200	ma
2Fxmhks0bxGSBdJ92vM42m	bad guy	Billie Eilish	4	2,769	#3e3e40	2019-07-08	Top 200	ma
41khJYouW5ZuLiVzPFuljd	Espérance	Soolking	5	2,417	#84bd00	2019-07-08	Top 200	ma
02KelNc6okzvPvZkIVw6e5	Halala	Maestro	6	2,400	#3e3e40	2019-07-08	Top 200	ma
68av1mZz0VsIYXJWATZWUW	Zemër	Soolking, Dhurata Dora	7	2,228	#bd3200	2019-07-08	Top 200	ma
5lCxlSBFyP5g4EhVypAoOu	Au DD	PNL	8	2,157	#bd3200	2019-07-08	Top 200	ma
1f38Gx6xQz6r4H1jGVNBJo	Loco Contigo (with J. Balvin & Tyga)	DJ Snake, J Balvin	9	2,026	#84bd00	2019-07-08	Top 200	ma
3HVWdVOQ0ZA45FuZGSfvns	I Don't Care (with Justin Bieber)	Ed Sheeran	10	2,008	#bd3200	2019-07-08	Top 200	ma
4U5h7GaXXXNOLpuo5vr3dU	Maghrebins	Mister You, Balti	11	1,905	#3e3e40	2019-07-08	Top 200	ma
53CJANUxooaqGOtdsBTh7O	Old Town Road	Lil Nas X	12	1,862	#3e3e40	2019-07-08	Top 200	ma
5ry2OE6R2zPQFDO85XkgRb	Money In The Grave (Drake ft. Rick Ross)	Drake	13	1,702	#84bd00	2019-07-08	Top 200	ma
1KCBKqqyBIEa2btXmfuPyk	7ARRAGA	Lartiste, 7ari	14	1,693	#84bd00	2019-07-08	Top 200	ma
5vLEmh5EolySKTvXsyWSOg	Hola Señorita	GIMS, Maluma	15	1,689	#bd3200	2019-07-08	Top 200	ma
5KmYE2jcSQvtLpMGXqDBWJ	MIEL	Lartiste	16	1,646	#84bd00	2019-07-08	Top 200	ma
4evmHXcjt3bTUHD1cvny97	Beautiful People (feat. Khalid)	Ed Sheeran	17	1,627	#bd3200	2019-07-08	Top 200	ma
6fTt0CH2t0mdeB2N9XFG5r	Panini	Lil Nas X	18	1,562	#bd3200	2019-07-08	Top 200	ma
2QpUWi6VSNOt2WyH5FIeLD	Pookie	Aya Nakamura	19	1,522	#84bd00	2019-07-08	Top 200	ma
5w9c2J52mkdntKOmRLeM2m	Con Calma	Daddy Yankee, Snow	20	1,509	#bd3200	2019-07-08	Top 200	ma
5W3DfkKaK3aXBI4A447ilC	Rockstar	Soolking	21	1,468	#84bd00	2019-07-08	Top 200	ma
