ID	Track	Artist	Position	Streams	Trend	Date	Chart	market
6rQSrBHf7HlZjtcMZ4S4bO	Safari	J Balvin, Pharrell Williams, BIA, Sky	1	2,786	#3e3e40	2017-01-01	Top 200	ni
6mICuAdrwEjh6Y6lroV2Kg	Chantaje (feat. Maluma)	Shakira	2	2,609	#84bd00	2017-01-01	Top 200	ni
3QwBODjSEzelZyVjxPOHdq	Otra vez (feat. J Balvin)	Zion & Lennox	3	2,342	#bd3200	2017-01-01	Top 200	ni
0sXvAOmXgjR2QUqLK1MltU	La Bicicleta	Carlos Vives, Shakira	4	2,208	#84bd00	2017-01-01	Top 200	ni
4pdPtRcBmOSQDlJ3Fk945m	Let Me Love You	DJ Snake, Justin Bieber	5	2,013	#bd3200	2017-01-01	Top 200	ni
7DM4BPaS7uofFul3ywMe46	Vente Pa' Ca (feat. Maluma)	Ricky Martin	6	1,899	#84bd00	2017-01-01	Top 200	ni
3AEZUABDXNtecAOSC1qTfo	Reggaetón Lento (Bailemos)	CNCO	7	1,846	#bd3200	2017-01-01	Top 200	ni
7BKLCZ1jbUBVqRi2FVlTVw	Closer	The Chainsmokers, Halsey	8	1,825	#bd3200	2017-01-01	Top 200	ni
58IL315gMSTD37DOZPJ2hf	Shaky Shaky	Daddy Yankee	9	1,753	#84bd00	2017-01-01	Top 200	ni
1xznGGDReH1oQq0xzbwXa3	One Dance	Drake, WizKid, Kyla	10	1,563	#bd3200	2017-01-01	Top 200	ni
5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd, Daft Punk	11	1,338	#bd3200	2017-01-01	Top 200	ni
5mey7CLLuFToM2P68Qu1gF	Andas En Mi Cabeza	Chino & Nacho, Daddy Yankee	12	1,217	#4687d7	2017-01-01	Top 200	ni
5MFzQMkrl1FOOng9tq6R9r	Don't Wanna Know	Maroon 5, Kendrick Lamar	13	1,189	#bd3200	2017-01-01	Top 200	ni
6DNtNfH8hXkqOX1sjqmI7p	Cold Water (feat. Justin Bieber & MØ)	Major Lazer	14	1,143	#bd3200	2017-01-01	Top 200	ni
0JoHqmlqE0W0i9prt6kcHR	Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)	Maluma	15	1,116	#bd3200	2017-01-01	Top 200	ni
0OMRAvrtLWE2TvcXorRiB9	La Gozadera (feat. Marc Anthony)	Gente De Zona	16	1,110	#4687d7	2017-01-01	Top 200	ni
6DUdDIRgLqCGq1DwkNWQTN	Borro Cassette	Maluma	17	1,096	#4687d7	2017-01-01	Top 200	ni
17Fd6Yb7mSbinKG8LoWfFl	I Took A Pill In Ibiza - Seeb Remix	Mike Posner	18	1,092	#bd3200	2017-01-01	Top 200	ni
