ID	Track	Artist	Position	Streams	Trend	Date	Chart	market
3TZ7NHkMT82AhwuYsd00Hz	Your eyes tell	BTS	1	48,000	#4687d7	2020-07-15	Top 200	ru
7ytR5pFWmSjzHJIeQkgog4	ROCKSTAR (feat. Roddy Ricch)	DaBaby	2	47,223	#4687d7	2020-07-15	Top 200	ru
0VjIjW4GlUZAMYd2vXMi3b	Blinding Lights	The Weeknd	3	47,150	#4687d7	2020-07-15	Top 200	ru
6qWaZ2KzYhyrv1ILuAcIIv	Cadillac	MORGENSHTERN, Eldzhey	4	38,870	#4687d7	2020-07-15	Top 200	ru
3vAn0qZzdyuHamcrpkfiX3	How You Like That	BLACKPINK	5	37,970	#4687d7	2020-07-15	Top 200	ru
3Ys2PYl1wyPKQIwyqhP9cQ	Stay Gold	BTS	6	35,073	#4687d7	2020-07-15	Top 200	ru
7y7w4tl4MaRC2UMEj1mPtr	Come & Go (with Marshmello)	Juice WRLD	7	34,989	#4687d7	2020-07-15	Top 200	ru
6o3QUC5oAE4g6WxRIFcZtb	Wishing Well	Juice WRLD	8	26,043	#4687d7	2020-07-15	Top 200	ru
6UelLqGlWMcVH1E5c4H7lY	Watermelon Sugar	Harry Styles	9	25,939	#4687d7	2020-07-15	Top 200	ru
1xQ6trAsedVPCdbtDAmk0c	Savage Love (Laxed - Siren Beat)	Jawsh 685, Jason Derulo	10	23,115	#4687d7	2020-07-15	Top 200	ru
1GOiMxQXZUzjzH0Sxpck0B	Дежавю	kizaru	11	20,232	#4687d7	2020-07-15	Top 200	ru
466cKvZn1j45IpxDdYZqdA	Toosie Slide	Drake	12	20,213	#4687d7	2020-07-15	Top 200	ru
7ju97lgwC2rKQ6wwsf9no9	Rain On Me (with Ariana Grande)	Lady Gaga	13	18,995	#4687d7	2020-07-15	Top 200	ru
5rsylaCMgQ5q5IjrZBGm8q	Friendly Fire - Prod. Avepack	Boulevard Depo	14	17,970	#4687d7	2020-07-15	Top 200	ru
4h5N4KyWZMtpeH9vhXSXjd	Life's A Mess (feat. Halsey)	Juice WRLD	15	17,666	#4687d7	2020-07-15	Top 200	ru
0H4ugk6rhnXmTl47ayy9O5	Daechwita	Agust D	16	17,423	#4687d7	2020-07-15	Top 200	ru
017PF4Q3l4DBUiWoXk4OWT	Break My Heart	Dua Lipa	17	17,243	#4687d7	2020-07-15	Top 200	ru
24Yi9hE78yPEbZ4kxyoXAI	Roses - Imanbek Remix	SAINt JHN	18	17,142	#4687d7	2020-07-15	Top 200	ru
41bGn6u78I8eNZg86tx3vp	Москва любит...	Scriptonite	19	16,674	#4687d7	2020-07-15	Top 200	ru
0RzT9tBLcQhofW2TNiHP9B	God’s Menu	Stray Kids	20	16,004	#4687d7	2020-07-15	Top 200	ru
3H7ihDc1dqLriiWXwsc2po	Breaking Me	Topic, A7S	21	15,533	#4687d7	2020-07-15	Top 200	ru
39Yp9wwQiSRIDOvrVg7mbk	THE SCOTTS	THE SCOTTS, Travis Scott, Kid Cudi	22	15,335	#4687d7	2020-07-15	Top 200	ru
2QyuXBcV1LJ2rq01KhreMF	ON	BTS	23	15,171	#4687d7	2020-07-15	Top 200	ru
3TDUktzfYXMWjkWqwoT5F1	Lights	BTS	24	15,091	#4687d7	2020-07-15	Top 200	ru
5raJ9QoZOdoRZ1MZOcygkR	INTRO : Calling	BTS	25	15,007	#4687d7	2020-07-15	Top 200	ru
0VF357Gjay5vvCqWA1kSu6	OUTRO : The Journey	BTS	26	14,992	#4687d7	2020-07-15	Top 200	ru
2MbdDtCv5LUVjYy9RuGTgC	WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix	Tory Lanez, Jack Harlow	27	14,465	#4687d7	2020-07-15	Top 200	ru
0XkmeG97T4mtYlWRJcrxec	Party Girl (Remix)	StaySolidRocky, Lil Uzi Vert	28	14,337	#4687d7	2020-07-15	Top 200	ru
19guFw87TvSkoxnC9EBu2Y	Колхозник	Mnogoznaal	29	14,214	#4687d7	2020-07-15	Top 200	ru
22LAwLoDA5b4AaGSkg6bKW	Blueberry Faygo	Lil Mosey	30	14,103	#4687d7	2020-07-15	Top 200	ru
1GAAUZBTaIM1LwNpOJQJrZ	Boy With Luv - Japanese ver.	BTS	31	13,634	#4687d7	2020-07-15	Top 200	ru
5KawlOMHjWeUjQtnuRs22c	Boy With Luv (feat. Halsey)	BTS	32	13,333	#4687d7	2020-07-15	Top 200	ru
6o92Z50qYohU4Q03xbMneu	X.O	The Limba, Andro	33	13,138	#4687d7	2020-07-15	Top 200	ru
5NlUfFPL2z3RWAXy8NcRs8	Gimme The Loot	Big BaTape	34	13,070	#4687d7	2020-07-15	Top 200	ru
3DXdjHnePKnh6oXw2ZgGSl	Smile	Katy Perry	35	13,007	#4687d7	2020-07-15	Top 200	ru
6j0NiWoRQDiNC05RwVVZNa	Dionysus - Japanese ver.	BTS	36	12,758	#4687d7	2020-07-15	Top 200	ru
0ono6UCNVZ1XqOm6j78Blu	Filter	BTS	37	12,660	#4687d7	2020-07-15	Top 200	ru
2fZTS0VboxRpF0FdfY7E5P	Conversations	Juice WRLD	38	12,493	#4687d7	2020-07-15	Top 200	ru
14JceK2UBLd0UUm23N5lRy	Малый повзрослел	Max Korzh	39	12,420	#4687d7	2020-07-15	Top 200	ru
4U18T8waKsJDbQaOdINByr	Honey's Kettle	kizaru, HoodRich Pablo Juan	40	12,315	#4687d7	2020-07-15	Top 200	ru
15epnOVXX9PRB7A6z3YtZV	Trap Luv	Big BaTape	41	12,133	#4687d7	2020-07-15	Top 200	ru
5smmjzMNkj4YSacTBH6taZ	Black Swan - Japanese ver.	BTS	42	11,973	#4687d7	2020-07-15	Top 200	ru
6P0Ni8GrnwRScC4uk8tKqM	Make It Right - Japanese ver.	BTS	43	11,762	#4687d7	2020-07-15	Top 200	ru
2kqnQCChvRpDRAasIwc4Rh	Maria	Hwa Sa	44	11,752	#4687d7	2020-07-15	Top 200	ru
5ct1HcejSSMlu6vCyWGNXM	Сияй	Ramil'	45	11,732	#4687d7	2020-07-15	Top 200	ru
1hfISzdAwnywAKxaSpfloo	Положение	Scriptonite	46	11,626	#4687d7	2020-07-15	Top 200	ru
3PfIrDoz19wz7qK7tYeu62	Don't Start Now	Dua Lipa	47	11,551	#4687d7	2020-07-15	Top 200	ru
2hhizKAVm9wNn0d2N05jkG	ON - Japanese ver.	BTS	48	11,424	#4687d7	2020-07-15	Top 200	ru
2xLMifQCjDGFmkHkpNLD9h	SICKO MODE	Travis Scott	49	11,399	#4687d7	2020-07-15	Top 200	ru
1rgnBhdG2JDFTbYkYRZAku	Dance Monkey	Tones And I	50	11,393	#4687d7	2020-07-15	Top 200	ru
571md1FedFYFaYUMUktYaF	ЮМОРИСТ - Original Motion Picture Soundtrack	FACE	51	11,259	#4687d7	2020-07-15	Top 200	ru
7eJMfftS33KTjuF7lTsMCx	death bed (coffee for your head)	Powfu, beabadoobee	52	11,197	#4687d7	2020-07-15	Top 200	ru
5kz9d0Cxx7RK8PjRLlWnAt	2 типа людей	Max Korzh	53	11,096	#4687d7	2020-07-15	Top 200	ru
615vw74T1NebV8pKoutm2J	Righteous	Juice WRLD	54	11,063	#4687d7	2020-07-15	Top 200	ru
2Fxmhks0bxGSBdJ92vM42m	bad guy	Billie Eilish	55	11,039	#4687d7	2020-07-15	Top 200	ru
3aK0rnYRvQPGV1W49NGWum	Надежда	FACE	56	11,038	#4687d7	2020-07-15	Top 200	ru
6c1QaQHdDhtFMfUkhueuXK	Monster	Red Velvet - IRENE & SEULGI	57	10,959	#4687d7	2020-07-15	Top 200	ru
5jKFnadawzHXGWiLBeboas	Плачу на техно	Cream Soda, HLEB	58	10,900	#4687d7	2020-07-15	Top 200	ru
2vYF5MHeCNtqCVastthDAo	IDOL - Japanese ver.	BTS	59	10,835	#4687d7	2020-07-15	Top 200	ru
4d1ib2A9wmfGOT3zPn8FFw	Choco	HLEB	60	10,814	#4687d7	2020-07-15	Top 200	ru
24IgCW19L8lXKyFZwzFtD3	MAMACITA	Black Eyed Peas, Ozuna, J. Rey Soul	61	10,792	#4687d7	2020-07-15	Top 200	ru
7szuecWAPwGoV1e5vGu8tl	In Your Eyes	The Weeknd	62	10,671	#4687d7	2020-07-15	Top 200	ru
0OukVtUSfeSV8Mr7otfyMZ	MONEY LONG	kizaru	63	10,663	#4687d7	2020-07-15	Top 200	ru
02mPTM1usfKo8tsTGEJuuk	Краш	Klava Koka, NILETTO	64	10,373	#4687d7	2020-07-15	Top 200	ru
3bkkMZEAhx7rTVz1C0itRQ	Black Swan	BTS	65	10,361	#4687d7	2020-07-15	Top 200	ru
3eekarcy7kvN4yt5ZFzltW	HIGHEST IN THE ROOM	Travis Scott	66	10,271	#4687d7	2020-07-15	Top 200	ru
272fe0z4cll7gJM3G8HFA8	Новый Мерин	MORGENSHTERN	67	10,241	#4687d7	2020-07-15	Top 200	ru
2b5Fq8pe5UI6pYRGMv0wNn	Мультибрендовый	Scriptonite, 104, T-Fest, Niman	68	10,204	#4687d7	2020-07-15	Top 200	ru
7FuvJwX4VDPE0bAIq9tfbP	Ламбада	T-Fest, Scriptonite	69	10,156	#4687d7	2020-07-15	Top 200	ru
0eou4g499YFO8jSxYQjvFH	РАТАТАТАТА	MORGENSHTERN, Vitya AK	70	10,093	#4687d7	2020-07-15	Top 200	ru
4BzDIOl9JXFhjglnAxvUCz	Шантаж	Max Korzh	71	10,063	#4687d7	2020-07-15	Top 200	ru
5OxclJsdFESni44YlpNpkR	Parasite Eve	Bring Me The Horizon	72	10,004	#4687d7	2020-07-15	Top 200	ru
1qtmO3AkZ2OBrPaxnaKnS6	Проснулся В Темноте	GONE.Fludd	73	9,899	#4687d7	2020-07-15	Top 200	ru
2Lwy5x78uQLpndcCXBVnxw	Конфеты	Markul, Платина	74	9,885	#4687d7	2020-07-15	Top 200	ru
3Z8FwOEN59mRMxDCtb8N0A	Be Kind (with Halsey)	Marshmello	75	9,867	#4687d7	2020-07-15	Top 200	ru
62aP9fBQKYKxi7PDXwcUAS	ily (i love you baby) (feat. Emilee)	Surf Mesa	76	9,839	#4687d7	2020-07-15	Top 200	ru
0nbXyq5TXYPCO7pr3N8S4I	The Box	Roddy Ricch	77	9,789	#4687d7	2020-07-15	Top 200	ru
0XSxhXEd9Ery8eXsfuHt1u	Серпантин	Markul	78	9,627	#4687d7	2020-07-15	Top 200	ru
7aeleTqgkiIZLitnXp9NMl	Angry toy$ - Prod. Ray Qwa	Boulevard Depo	79	9,530	#4687d7	2020-07-15	Top 200	ru
2D0dj3hVkRQJCp63cxCPEx	Stunnin' (feat. Harm Franklin)	Curtis Waters	80	9,502	#4687d7	2020-07-15	Top 200	ru
1KWRf0ZISGMBgwMMCUYVDr	МОЙ КАЛАШНИКОВ	FACE	81	9,452	#4687d7	2020-07-15	Top 200	ru
2fP2RBX81C55kEBaHZHomY	Малиновый закат	Max Korzh	82	9,366	#4687d7	2020-07-15	Top 200	ru
4nK5YrxbMGZstTLbvj6Gxw	Supalonely	BENEE, Gus Dapperton	83	9,343	#4687d7	2020-07-15	Top 200	ru
7ycWLEP1GsNjVvcjawXz3z	Praise The Lord (Da Shine) (feat. Skepta)	A$AP Rocky	84	9,343	#4687d7	2020-07-15	Top 200	ru
6gBFPUFcJLzWGx4lenP6h2	goosebumps	Travis Scott	85	9,185	#4687d7	2020-07-15	Top 200	ru
4w98f7dBwMsNAcVlLaL9GU	Рашан моуст уонтэд	kizaru	86	9,184	#4687d7	2020-07-15	Top 200	ru
2rRJrJEo19S2J82BDsQ3F7	Falling	Trevor Daniel	87	9,107	#4687d7	2020-07-15	Top 200	ru
06jEcxzahUi9GdN5RFsqO4	Малолетка	Max Korzh	88	9,061	#4687d7	2020-07-15	Top 200	ru
39EXZNMxb4RBHlRjnRaOKp	Sweet Night	V	89	8,906	#4687d7	2020-07-15	Top 200	ru
2z8QxqQ6Kesq4NFfi7A638	Цепи	Scriptonite, 104	90	8,891	#4687d7	2020-07-15	Top 200	ru
2qFbvcFsaL7Fgk7o2X4Drf	Гостиница Космос	Mnogoznaal	91	8,890	#4687d7	2020-07-15	Top 200	ru
0yJF3zE5pxzNoK9kZl5Ru2	ВТОРНИК	GONE.Fludd	92	8,809	#4687d7	2020-07-15	Top 200	ru
4VCeADBqj7tNKIPwjjIM4K	2 минуты	Markul	93	8,784	#4687d7	2020-07-15	Top 200	ru
1IWNylpZ477gIVUDpJL66u	Sour Candy (with BLACKPINK)	Lady Gaga	94	8,729	#4687d7	2020-07-15	Top 200	ru
3AqhKp7RpfGBsmtulKpQfD	Без ключа	PHARAOH	95	8,723	#4687d7	2020-07-15	Top 200	ru
1H7KnK26kc1YyellpbINEn	The Woo (feat. 50 Cent & Roddy Ricch)	Pop Smoke	96	8,621	#4687d7	2020-07-15	Top 200	ru
66FgjA5ZQJJuypFG1bc8se	Hate The Other Side (with Marshmello & The Kid Laroi)	Juice WRLD, Polo G	97	8,575	#4687d7	2020-07-15	Top 200	ru
