ID	Track	Artist	Position	Streams	Trend	Date	Chart	market
5KawlOMHjWeUjQtnuRs22c	Boy With Luv (feat. Halsey)	BTS	1	14,556	#4687d7	2019-04-12	Top 200	sa
5hnbE5BF2e8BCk9OMR1UVC	Mikrokosmos	BTS	2	11,426	#4687d7	2019-04-12	Top 200	sa
6KUE0HSSudAp9AOycaF6SH	Make It Right	BTS	3	11,040	#4687d7	2019-04-12	Top 200	sa
7lthOBXNue2IvedLRfkod8	HOME	BTS	4	10,159	#4687d7	2019-04-12	Top 200	sa
6JdS5rJvJaRA7B1tcm7kxZ	Dionysus	BTS	5	9,933	#4687d7	2019-04-12	Top 200	sa
0eeeyCAGnGZInPtpkdYiPa	Jamais Vu	BTS	6	9,789	#4687d7	2019-04-12	Top 200	sa
2isSdmQfVv32j2haL6hk9x	Intro : Persona	BTS	7	6,323	#4687d7	2019-04-12	Top 200	sa
5Aigt44wICHJ2BDshPZqvh	Al Mafrood	Aseel Hameem	8	3,381	#bd3200	2019-04-12	Top 200	sa
2Fxmhks0bxGSBdJ92vM42m	bad guy	Billie Eilish	9	3,127	#bd3200	2019-04-12	Top 200	sa
5p7ujcrUXASCNwRaWNHR1C	Without Me	Halsey	10	2,940	#bd3200	2019-04-12	Top 200	sa
4pUCKHjJ4Ijewc37rRrvHn	Kill This Love	BLACKPINK	11	2,831	#bd3200	2019-04-12	Top 200	sa
6u7jPi22kF8CTQ3rb9DHE7	Old Town Road (feat. Billy Ray Cyrus) - Remix	Lil Nas X	12	2,556	#bd3200	2019-04-12	Top 200	sa
53CJANUxooaqGOtdsBTh7O	Old Town Road	Lil Nas X	13	2,488	#bd3200	2019-04-12	Top 200	sa
2qxmye6gAegTMjLKEBoR3d	Let Me Down Slowly	Alec Benjamin	14	2,420	#bd3200	2019-04-12	Top 200	sa
3aW0ds4A4tSQDIp75FqWTo	FAKE LOVE	BTS	15	2,335	#4687d7	2019-04-12	Top 200	sa
6ocbgoVGwYJhOv1GgI9NsF	7 rings	Ariana Grande	16	2,318	#bd3200	2019-04-12	Top 200	sa
6nDKrPlXdpomGBgAlO7UdP	SOS	Avicii, Aloe Blacc	17	1,944	#84bd00	2019-04-12	Top 200	sa
3p6hnejEQYXkiTO1lAzVc0	Euphoria	BTS	18	1,905	#4687d7	2019-04-12	Top 200	sa
3KkXRkHbMCARz0aVfEt68P	Sunflower - Spider-Man: Into the Spider-Verse	Post Malone, Swae Lee	19	1,848	#bd3200	2019-04-12	Top 200	sa
5RGf8qn1TBWVplLyyKUsuV	Blood Sweat & Tears	BTS	20	1,807	#4687d7	2019-04-12	Top 200	sa
5SE57ljOIUJ1ybL9U6CuBH	DNA	BTS	21	1,713	#4687d7	2019-04-12	Top 200	sa
0WNGsQ1oAuHzNTk8jivBKW	Spring Day	BTS	22	1,673	#4687d7	2019-04-12	Top 200	sa
2J0X46UkpfLlWbuCXFgDLr	Waste It On Me (feat. BTS)	Steve Aoki	23	1,663	#4687d7	2019-04-12	Top 200	sa
2AIWoHr9DF6y4KALCBKWQS	IDOL	BTS	24	1,646	#4687d7	2019-04-12	Top 200	sa
6MWtB6iiXyIwun0YzU6DFP	Wow.	Post Malone	25	1,631	#bd3200	2019-04-12	Top 200	sa
4n7jnSxVLd8QioibtTDBDq	On My Way	Alan Walker, Sabrina Carpenter, Farruko	26	1,631	#bd3200	2019-04-12	Top 200	sa
4y3OI86AEP6PQoDE6olYhO	Sucker	Jonas Brothers	27	1,599	#bd3200	2019-04-12	Top 200	sa
5WHTFyqSii0lmT9R21abT8	Don't Call Me Up	Mabel	28	1,491	#bd3200	2019-04-12	Top 200	sa
2dpaYNEQHiRxtZbfNsse99	Happier	Marshmello, Bastille	29	1,451	#bd3200	2019-04-12	Top 200	sa
0EQMrxdeiBhry9JCxskko3	I'm Fine	BTS	30	1,445	#4687d7	2019-04-12	Top 200	sa
4SSnFejRGlZikf02HLewEF	bury a friend	Billie Eilish	31	1,441	#bd3200	2019-04-12	Top 200	sa
5icOoE6VgqFKohjWWNp0Ac	Here With Me	Marshmello, CHVRCHES	32	1,398	#bd3200	2019-04-12	Top 200	sa
5cQB9fbuQCz4muQUFkv3rR	Serendipity (Full Length Edition)	BTS	33	1,356	#4687d7	2019-04-12	Top 200	sa
25sgk305KZfyuqVBQIahim	Sweet but Psycho	Ava Max	34	1,308	#bd3200	2019-04-12	Top 200	sa
03iCbZaM4OkRR4We6wIzvx	IDOL	BTS, Nicki Minaj	35	1,291	#4687d7	2019-04-12	Top 200	sa
1NJcg626wLln4pGHpiV7mf	lovely	Billie Eilish, Khalid	36	1,268	#bd3200	2019-04-12	Top 200	sa
0i0wnv9UoFdZ5MfuFGQzMy	Last Hurrah	Bebe Rexha	37	1,263	#bd3200	2019-04-12	Top 200	sa
7COXchtUOMd6uIT6HvmRaI	i'm so tired...	Lauv, Troye Sivan	38	1,262	#bd3200	2019-04-12	Top 200	sa
3ee8Jmje8o58CHK66QrVC2	SAD!	XXXTENTACION	39	1,217	#bd3200	2019-04-12	Top 200	sa
6Qs4SXO9dwPj5GKvVOv8Ki	Dancing With A Stranger (with Normani)	Sam Smith	40	1,193	#bd3200	2019-04-12	Top 200	sa
7FGq80cy8juXBCD2nrqdWU	Eastside (with Halsey & Khalid)	benny blanco	41	1,185	#bd3200	2019-04-12	Top 200	sa
0JP9xo3adEtGSdUEISiszL	Moonlight	XXXTENTACION	42	1,165	#bd3200	2019-04-12	Top 200	sa
6tsOcBnaKgzK22yEiqRh8P	MONOPOLY (with Victoria Monét)	Ariana Grande	43	1,164	#bd3200	2019-04-12	Top 200	sa
4kV4N9D1iKVxx1KLvtTpjS	break up with your girlfriend, i'm bored	Ariana Grande	44	1,070	#bd3200	2019-04-12	Top 200	sa
0e7ipj03S05BNilyu5bRzt	rockstar (feat. 21 Savage)	Post Malone	45	1,048	#bd3200	2019-04-12	Top 200	sa
1wJRveJZLSb1rjhnUHQiv6	Swervin (feat. 6ix9ine)	A Boogie Wit da Hoodie	46	1,043	#bd3200	2019-04-12	Top 200	sa
43zdsphuZLzwA9k4DJhU0I	when the party's over	Billie Eilish	47	1,042	#bd3200	2019-04-12	Top 200	sa
0pqnGHJpmpxLKifKRmU6WP	Believer	Imagine Dragons	48	1,040	#bd3200	2019-04-12	Top 200	sa
09oZ9eXQ2fo6YDrPzJqAoP	Outta My Head (with John Mayer)	Khalid	49	1,034	#bd3200	2019-04-12	Top 200	sa
3e9HZxeyfWwjeyPAMmWSSQ	thank u, next	Ariana Grande	50	1,032	#bd3200	2019-04-12	Top 200	sa
3Fj47GNK2kUF0uaEDgXLaD	wish you were gay	Billie Eilish	51	1,024	#bd3200	2019-04-12	Top 200	sa
5Aigt44wICHJ2BDshPZqvh	Al Mafrood	Aseel Hameem	1	12,542	#84bd00	2019-06-04	Top 200	sa
