ID	Track	Artist	Position	Streams	Trend	Date	Chart	market
0VjIjW4GlUZAMYd2vXMi3b	Blinding Lights	The Weeknd	1	11,078	#4687d7	2020-07-15	Top 200	ua
7ytR5pFWmSjzHJIeQkgog4	ROCKSTAR (feat. Roddy Ricch)	DaBaby	2	10,470	#4687d7	2020-07-15	Top 200	ua
7y7w4tl4MaRC2UMEj1mPtr	Come & Go (with Marshmello)	Juice WRLD	3	8,725	#4687d7	2020-07-15	Top 200	ua
6qWaZ2KzYhyrv1ILuAcIIv	Cadillac	MORGENSHTERN, Eldzhey	4	6,624	#4687d7	2020-07-15	Top 200	ua
3vAn0qZzdyuHamcrpkfiX3	How You Like That	BLACKPINK	5	6,534	#4687d7	2020-07-15	Top 200	ua
6UelLqGlWMcVH1E5c4H7lY	Watermelon Sugar	Harry Styles	6	6,207	#4687d7	2020-07-15	Top 200	ua
6o3QUC5oAE4g6WxRIFcZtb	Wishing Well	Juice WRLD	7	5,965	#4687d7	2020-07-15	Top 200	ua
1xQ6trAsedVPCdbtDAmk0c	Savage Love (Laxed - Siren Beat)	Jawsh 685, Jason Derulo	8	5,500	#4687d7	2020-07-15	Top 200	ua
3Ys2PYl1wyPKQIwyqhP9cQ	Stay Gold	BTS	9	5,336	#4687d7	2020-07-15	Top 200	ua
3TZ7NHkMT82AhwuYsd00Hz	Your eyes tell	BTS	10	5,251	#4687d7	2020-07-15	Top 200	ua
3H7ihDc1dqLriiWXwsc2po	Breaking Me	Topic, A7S	11	4,247	#4687d7	2020-07-15	Top 200	ua
24Yi9hE78yPEbZ4kxyoXAI	Roses - Imanbek Remix	SAINt JHN	12	4,156	#4687d7	2020-07-15	Top 200	ua
466cKvZn1j45IpxDdYZqdA	Toosie Slide	Drake	13	3,851	#4687d7	2020-07-15	Top 200	ua
7ju97lgwC2rKQ6wwsf9no9	Rain On Me (with Ariana Grande)	Lady Gaga	14	3,835	#4687d7	2020-07-15	Top 200	ua
39Yp9wwQiSRIDOvrVg7mbk	THE SCOTTS	THE SCOTTS, Travis Scott, Kid Cudi	15	3,717	#4687d7	2020-07-15	Top 200	ua
62aP9fBQKYKxi7PDXwcUAS	ily (i love you baby) (feat. Emilee)	Surf Mesa	16	3,687	#4687d7	2020-07-15	Top 200	ua
017PF4Q3l4DBUiWoXk4OWT	Break My Heart	Dua Lipa	17	3,663	#4687d7	2020-07-15	Top 200	ua
0XkmeG97T4mtYlWRJcrxec	Party Girl (Remix)	StaySolidRocky, Lil Uzi Vert	18	3,467	#4687d7	2020-07-15	Top 200	ua
1GOiMxQXZUzjzH0Sxpck0B	Дежавю	kizaru	19	3,467	#4687d7	2020-07-15	Top 200	ua
2xLMifQCjDGFmkHkpNLD9h	SICKO MODE	Travis Scott	20	3,197	#4687d7	2020-07-15	Top 200	ua
22LAwLoDA5b4AaGSkg6bKW	Blueberry Faygo	Lil Mosey	21	3,188	#4687d7	2020-07-15	Top 200	ua
4h5N4KyWZMtpeH9vhXSXjd	Life's A Mess (feat. Halsey)	Juice WRLD	22	3,138	#4687d7	2020-07-15	Top 200	ua
7eJMfftS33KTjuF7lTsMCx	death bed (coffee for your head)	Powfu, beabadoobee	23	3,027	#4687d7	2020-07-15	Top 200	ua
3eekarcy7kvN4yt5ZFzltW	HIGHEST IN THE ROOM	Travis Scott	24	2,952	#4687d7	2020-07-15	Top 200	ua
2MbdDtCv5LUVjYy9RuGTgC	WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix	Tory Lanez, Jack Harlow	25	2,902	#4687d7	2020-07-15	Top 200	ua
3DXdjHnePKnh6oXw2ZgGSl	Smile	Katy Perry	26	2,835	#4687d7	2020-07-15	Top 200	ua
3PfIrDoz19wz7qK7tYeu62	Don't Start Now	Dua Lipa	27	2,810	#4687d7	2020-07-15	Top 200	ua
4U18T8waKsJDbQaOdINByr	Honey's Kettle	kizaru, HoodRich Pablo Juan	28	2,766	#4687d7	2020-07-15	Top 200	ua
6o92Z50qYohU4Q03xbMneu	X.O	The Limba, Andro	29	2,558	#4687d7	2020-07-15	Top 200	ua
72C89HxJey7d0oasJzGIjY	Last Dance	Vremya i Steklo	30	2,528	#4687d7	2020-07-15	Top 200	ua
3nkpdYrBmSb5ixRTpOcuqe	ВЕЧЕРиНОЧКА	MONATIK, Vera Brezhneva	31	2,480	#4687d7	2020-07-15	Top 200	ua
7szuecWAPwGoV1e5vGu8tl	In Your Eyes	The Weeknd	32	2,461	#4687d7	2020-07-15	Top 200	ua
5rsylaCMgQ5q5IjrZBGm8q	Friendly Fire - Prod. Avepack	Boulevard Depo	33	2,448	#4687d7	2020-07-15	Top 200	ua
1rgnBhdG2JDFTbYkYRZAku	Dance Monkey	Tones And I	34	2,447	#4687d7	2020-07-15	Top 200	ua
6gBFPUFcJLzWGx4lenP6h2	goosebumps	Travis Scott	35	2,399	#4687d7	2020-07-15	Top 200	ua
615vw74T1NebV8pKoutm2J	Righteous	Juice WRLD	36	2,380	#4687d7	2020-07-15	Top 200	ua
0nbXyq5TXYPCO7pr3N8S4I	The Box	Roddy Ricch	37	2,368	#4687d7	2020-07-15	Top 200	ua
2fZTS0VboxRpF0FdfY7E5P	Conversations	Juice WRLD	38	2,304	#4687d7	2020-07-15	Top 200	ua
2Fxmhks0bxGSBdJ92vM42m	bad guy	Billie Eilish	39	2,286	#4687d7	2020-07-15	Top 200	ua
0RzT9tBLcQhofW2TNiHP9B	God’s Menu	Stray Kids	40	2,229	#4687d7	2020-07-15	Top 200	ua
3Dv1eDb0MEgF93GpLXlucZ	Say So	Doja Cat	41	2,229	#4687d7	2020-07-15	Top 200	ua
24IgCW19L8lXKyFZwzFtD3	MAMACITA	Black Eyed Peas, Ozuna, J. Rey Soul	42	2,167	#4687d7	2020-07-15	Top 200	ua
0H4ugk6rhnXmTl47ayy9O5	Daechwita	Agust D	43	2,158	#4687d7	2020-07-15	Top 200	ua
76nqCfJOcFFWBJN32PAksn	Kings & Queens	Ava Max	44	2,151	#4687d7	2020-07-15	Top 200	ua
14JceK2UBLd0UUm23N5lRy	Малый повзрослел	Max Korzh	45	2,131	#4687d7	2020-07-15	Top 200	ua
7ycWLEP1GsNjVvcjawXz3z	Praise The Lord (Da Shine) (feat. Skepta)	A$AP Rocky	46	2,104	#4687d7	2020-07-15	Top 200	ua
4HBZA5flZLE435QTztThqH	Stuck with U (with Justin Bieber)	Ariana Grande	47	2,101	#4687d7	2020-07-15	Top 200	ua
1hfISzdAwnywAKxaSpfloo	Положение	Scriptonite	48	2,099	#4687d7	2020-07-15	Top 200	ua
41bGn6u78I8eNZg86tx3vp	Москва любит...	Scriptonite	49	2,045	#4687d7	2020-07-15	Top 200	ua
6PBVlqjvNb26dYZOFKTX51	Поболело и прошло	HENSY	50	2,025	#4687d7	2020-07-15	Top 200	ua
2D0dj3hVkRQJCp63cxCPEx	Stunnin' (feat. Harm Franklin)	Curtis Waters	51	1,996	#4687d7	2020-07-15	Top 200	ua
4w47S36wQGBhGg073q3nt7	TKN (feat. Travis Scott)	ROSALÍA	52	1,984	#4687d7	2020-07-15	Top 200	ua
0pqnGHJpmpxLKifKRmU6WP	Believer	Imagine Dragons	53	1,975	#4687d7	2020-07-15	Top 200	ua
5KawlOMHjWeUjQtnuRs22c	Boy With Luv (feat. Halsey)	BTS	54	1,966	#4687d7	2020-07-15	Top 200	ua
4nK5YrxbMGZstTLbvj6Gxw	Supalonely	BENEE, Gus Dapperton	55	1,961	#4687d7	2020-07-15	Top 200	ua
2QyuXBcV1LJ2rq01KhreMF	ON	BTS	56	1,958	#4687d7	2020-07-15	Top 200	ua
7qEHsqek33rTcFNT9PFqLf	Someone You Loved	Lewis Capaldi	57	1,944	#4687d7	2020-07-15	Top 200	ua
21jGcNKet2qwijlDFuPiPb	Circles	Post Malone	58	1,936	#4687d7	2020-07-15	Top 200	ua
4BzDIOl9JXFhjglnAxvUCz	Шантаж	Max Korzh	59	1,914	#4687d7	2020-07-15	Top 200	ua
3Z8FwOEN59mRMxDCtb8N0A	Be Kind (with Halsey)	Marshmello	60	1,890	#4687d7	2020-07-15	Top 200	ua
5kz9d0Cxx7RK8PjRLlWnAt	2 типа людей	Max Korzh	61	1,884	#4687d7	2020-07-15	Top 200	ua
1YaLBadQjS701ZLZRGjPMX	queen of broken hearts	blackbear	62	1,877	#4687d7	2020-07-15	Top 200	ua
6ocbgoVGwYJhOv1GgI9NsF	7 rings	Ariana Grande	63	1,871	#4687d7	2020-07-15	Top 200	ua
5d65qZVChlrFCIY3SITuLs	Разнесем	Max Korzh	64	1,869	#4687d7	2020-07-15	Top 200	ua
1H7KnK26kc1YyellpbINEn	The Woo (feat. 50 Cent & Roddy Ricch)	Pop Smoke	65	1,821	#4687d7	2020-07-15	Top 200	ua
5raJ9QoZOdoRZ1MZOcygkR	INTRO : Calling	BTS	66	1,813	#4687d7	2020-07-15	Top 200	ua
0OukVtUSfeSV8Mr7otfyMZ	MONEY LONG	kizaru	67	1,812	#4687d7	2020-07-15	Top 200	ua
3TDUktzfYXMWjkWqwoT5F1	Lights	BTS	68	1,806	#4687d7	2020-07-15	Top 200	ua
7FIWs0pqAYbP91WWM0vlTQ	Godzilla (feat. Juice WRLD)	Eminem	69	1,806	#4687d7	2020-07-15	Top 200	ua
0VF357Gjay5vvCqWA1kSu6	OUTRO : The Journey	BTS	70	1,793	#4687d7	2020-07-15	Top 200	ua
0PvFJmanyNQMseIFrU708S	For The Night (feat. Lil Baby & DaBaby)	Pop Smoke	71	1,735	#4687d7	2020-07-15	Top 200	ua
1K5KBOgreBi5fkEHvg5ap3	Life Is Good (feat. Drake)	Future	72	1,716	#4687d7	2020-07-15	Top 200	ua
2fP2RBX81C55kEBaHZHomY	Малиновый закат	Max Korzh	73	1,699	#4687d7	2020-07-15	Top 200	ua
3ZCTVFBt2Brf31RLEnCkWJ	everything i wanted	Billie Eilish	74	1,696	#4687d7	2020-07-15	Top 200	ua
5NlUfFPL2z3RWAXy8NcRs8	Gimme The Loot	Big BaTape	75	1,694	#4687d7	2020-07-15	Top 200	ua
2b5Fq8pe5UI6pYRGMv0wNn	Мультибрендовый	Scriptonite, 104, T-Fest, Niman	76	1,690	#4687d7	2020-07-15	Top 200	ua
