country,providers,number_of_sources,origin_platforms,number_of_origin_platforms,common_start,common_end
AE,MGD,1,SPOTIFY,1,2019-06-04,2022-03-13
AR,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
AT,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
AU,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
BE,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
BG,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
BO,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
BR,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
CA,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
CH,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
CL,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
CO,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
CR,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
CZ,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
DE,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
DK,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
DO,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
EC,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
EE,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
EG,MGD,1,SPOTIFY,1,2019-07-22,2022-03-13
ES,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
FI,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
FR,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
GB,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
GLOBAL,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
GR,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
GT,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
HK,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
HN,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
HU,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
ID,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
IE,MGD,1,SPOTIFY,1,2017-01-02,2022-03-13
IL,MGD,1,SPOTIFY,1,2018-03-14,2022-03-13
IN,MGD,1,SPOTIFY,1,2019-02-27,2022-03-13
IS,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
IT,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
JP,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
KR,MGD,1,SPOTIFY,1,2021-02-01,2022-03-13
LT,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
LU,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
LV,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
MA,MGD,1,SPOTIFY,1,2019-07-08,2022-03-13
MX,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
MY,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
NI,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
NL,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
NO,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
NZ,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
PA,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
PE,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
PH,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
PL,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
PT,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
PY,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
RO,MGD,1,SPOTIFY,1,2018-03-14,2022-03-13
RU,MGD,1,SPOTIFY,1,2020-07-15,2022-03-13
SA,MGD,1,SPOTIFY,1,2019-04-12,2022-03-13
SE,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
SG,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
SK,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
SV,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
TH,MGD,1,SPOTIFY,1,2017-08-23,2022-03-13
TR,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
TW,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
UA,MGD,1,SPOTIFY,1,2020-07-15,2022-03-13
US,MGD,1,SPOTIFY,1,2017-01-01,2022-03-13
VN,MGD,1,SPOTIFY,1,2018-03-14,2022-03-13
ZA,MGD,1,SPOTIFY,1,2018-04-20,2022-03-13
