provider,origin_platform,country_code,chart_name,period_start,rank,track_title,artist,source_artifact
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,1,Peão Todo Tatuado,"Jeninho, Mariana Fagundes",data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,2,"Cuida Do Pet (Feat. Mc Negão Original, Du'l, Dj Aladin Gdb)","Oldilla, Aaron Modesto, Mc Willian, Mc Iguinho Ct",data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,3,Cadeira Cativa (Ao Vivo),Zé Neto & Cristiano,data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,4,Pau Pra Toda Obra,"Mc Jacaré, Mc Ryan Sp, Mc Lele Jp, Mc Ig",data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,5,Eu Te Seguro (Ao Vivo),"Panda, MJ Records",data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,6,Quem É Esse? (Ao Vivo),Julliany Souza,data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,7,"Ta Pedindo Toma (Feat. Mc Rn Do Capão, Mc Pelourinho)","Mc Leozinho Zs, Mc Murilo Mt, Mc Dr, Dj Jhow Beats",data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,8,Famoso Ímã / O Poderoso Chatão,"Mc Lele Jp, Mc Poze Do Rodo, Mc Leozinho Zs, Dj Gordinho Da Vf",data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,9,"Diário De Um Cafajeste (Feat. Mc Tuto, Mc Negão Original)","Dj Oreia, Mc Lele Jp, Mc Meno K, Mc Ryan Sp",data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,10,Só Com Ela (Ao Vivo),"Murilo Huff, Matheus Fernandes",data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,11,"Menos Foco Mais Ansiedade (Ce Ta Nervosa) (Feat. Mc Lele Jp, Zanolini)","Dj Andreoli, Mc Jacaré, Mc Ryan Sp, Mc Luuky",data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,12,Apaga Apaga Apaga (Ao Vivo),Danilo & Davi,data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,13,"Reliquia Do 2T (Feat. Mc Dkziin, Mc Fr Da Norte)","Dj Gu, Mc Vine7, Mc Tuto, Mc Joãozinho Vt",data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,14,Mente Barulhenta,"Mc Ig, Mc Lele Jp, Dj Oreia, Dj Noiskita",data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
PRO_MUSICA_BRASIL,MULTI_PLATFORM_AGGREGATE,BR,TOP_50_STREAMING,2026-08-01,15,Saudade Estranha (Ao Vivo),Murilo Huff,data\raw\pro_musica\2026\09\top-50-streaming-a07c2b7abada
