provider,origin_platform,country_code,year,chart_name,artist,chart_appearances,unique_tracks,best_rank,mean_rank,top10_appearances,top50_appearances,streams_sum,stream_observations,artist_rank
MGD,SPOTIFY,AE,2019,Top 200,Post Malone,1069,31,2,38.138447,221,729,2195945,1069,1
MGD,SPOTIFY,AE,2019,Top 200,Ed Sheeran,804,16,2,29.547264,239,646,1929101,804,2
MGD,SPOTIFY,AE,2019,Top 200,XXXTENTACION,582,11,6,49.731959,17,340,947792,582,3
MGD,SPOTIFY,AE,2019,Top 200,Billie Eilish,569,7,1,32.040422,108,459,1264848,569,4
MGD,SPOTIFY,AE,2019,Top 200,Ariana Grande,521,9,3,45.629559,38,308,869033,521,5
MGD,SPOTIFY,AE,2019,Top 200,Taylor Swift,458,22,3,43.161572,24,297,733394,458,6
MGD,SPOTIFY,AE,2019,Top 200,Lil Nas X,396,11,1,29.628788,144,310,1046361,396,7
MGD,SPOTIFY,AE,2019,Top 200,Sam Smith,376,4,4,35.726064,89,268,765305,376,8
MGD,SPOTIFY,AE,2019,Top 200,Halsey,329,3,12,37.167173,0,260,567789,329,9
MGD,SPOTIFY,AE,2019,Top 200,Lauv,328,4,27,57.871951,0,118,428577,328,10
MGD,SPOTIFY,AE,2019,Top 200,Camila Cabello,304,8,9,43.098684,5,184,544048,304,11
MGD,SPOTIFY,AE,2019,Top 200,Maroon 5,299,2,1,36.923077,95,178,768328,299,12
MGD,SPOTIFY,AE,2019,Top 200,Khalid,297,4,9,52.558923,2,144,424759,297,13
MGD,SPOTIFY,AE,2019,Top 200,Lewis Capaldi,282,4,5,25.12766,77,247,686590,282,14
MGD,SPOTIFY,AE,2019,Top 200,Travis Scott,266,4,1,52.75188,65,101,592049,266,15
MGD,SPOTIFY,AE,2019,Top 200,Jonas Brothers,259,4,7,49.96139,5,134,373072,259,16
MGD,SPOTIFY,AE,2019,Top 200,Lil Tecca,253,11,2,26.146245,80,204,660562,253,17
MGD,SPOTIFY,AE,2019,Top 200,Katy Perry,245,4,11,47.212245,0,158,372533,245,18
MGD,SPOTIFY,AE,2019,Top 200,Drake,238,4,4,42.617647,27,144,429411,238,19
MGD,SPOTIFY,AE,2019,Top 200,Juice WRLD,237,7,3,52.71308,11,129,416934,237,20
MGD,SPOTIFY,AE,2019,Top 200,Chris Brown,229,3,11,46.056769,0,137,351428,229,21
MGD,SPOTIFY,AE,2019,Top 200,Lizzo,229,3,22,49.502183,0,156,322780,229,22
MGD,SPOTIFY,AE,2019,Top 200,"Post Malone, Swae Lee",211,3,4,18.14218,79,209,524449,211,23
MGD,SPOTIFY,AE,2019,Top 200,"Marshmello, Bastille",211,1,8,34.061611,6,177,379902,211,24
MGD,SPOTIFY,AE,2019,Top 200,Bazzi,207,5,16,47.125604,0,136,318239,207,25
